unit_index,sample_mean,sample_std,q025,q500,q975,num_finite_samples
0,0.275,0.24854577043273135,-0.184,0.33999999999999997,0.6050000000000001,8
1,0.25,0.16340134638368192,-0.0049999999999999975,0.24,0.49900000000000005,8
2,0.235,0.19538423682579922,-0.033,0.24,0.513,8
3,0.31000000000000005,0.18520259177452134,-0.019,0.33999999999999997,0.52,8
4,0.23,0.12124355652982141,0.028000000000000004,0.22,0.393,8
5,0.22,0.12489995996796796,-0.0049999999999999975,0.22,0.36,8
6,0.33499999999999996,0.1495827530165159,0.2,0.3,0.612,8
7,0.485,0.18159019797334877,0.247,0.48,0.779,8
8,0.24,0.07745966692414835,0.12,0.26,0.34600000000000003,8
9,0.21500000000000002,0.15223337347638327,-0.019,0.22,0.452,8
10,0.315,0.18159019797334877,0.0020000000000000087,0.30000000000000004,0.553,8
11,0.25,0.2104756517984919,0.047,0.16,0.626,8
12,0.44,0.14282856857085702,0.188,0.44,0.6,8
13,0.265,0.10380269746013347,0.04900000000000001,0.28,0.353,8
14,0.295,0.1263922465976454,0.094,0.30000000000000004,0.473,8
15,0.22,0.1777638883463118,-0.14400000000000002,0.26,0.393,8
16,0.305,0.1719738352191984,0.087,0.30000000000000004,0.6240000000000001,8
17,0.175,0.15612494995995996,-0.033,0.22,0.386,8
18,0.275,0.17937391114652096,0.014000000000000002,0.28,0.5910000000000001,8
19,0.26,0.12000000000000001,0.087,0.28,0.4,8
20,0.24,0.05656854249492381,0.134,0.24,0.313,8
21,0.155,0.13332291625973383,-0.092,0.22,0.28,8
22,0.27999999999999997,0.13711309200802088,0.061,0.28,0.473,8
23,0.28500000000000003,0.19019726601610235,0.007000000000000001,0.28,0.546,8
24,0.375,0.12318684994754919,0.24,0.34,0.553,8
25,0.33999999999999997,0.1918332609325088,0.087,0.36,0.645,8
26,0.36000000000000004,0.09165151389911681,0.21400000000000002,0.36,0.506,8
27,0.32,0.12165525060596438,0.2,0.30000000000000004,0.558,8
28,0.27999999999999997,0.10954451150103321,0.127,0.26,0.459,8
29,0.29500000000000004,0.07193747284969079,0.2,0.30000000000000004,0.393,8
30,0.22,0.16248076809271922,0.007000000000000001,0.2,0.49200000000000005,8
31,0.31499999999999995,0.13332291625973383,0.134,0.3,0.48,8
32,0.335,0.14413535305399575,0.127,0.32,0.546,8
33,0.255,0.1468843082156838,0.047,0.3,0.433,8
34,0.22000000000000003,0.14560219778561037,0.014000000000000002,0.22,0.459,8
35,0.42999999999999994,0.0888819441731559,0.261,0.44,0.546,8
36,0.365,0.13028814220795384,0.167,0.38,0.553,8
37,0.245,0.14203872711341792,0.087,0.22,0.459,8
38,0.24,0.14832396974191325,0.047,0.26,0.49200000000000005,8
39,0.08499999999999999,0.09041570660012563,-0.033,0.06,0.233,8
40,0.35500000000000004,0.16545392107774298,0.16,0.36,0.619,8
41,0.19,0.1493318452306808,-0.019,0.18,0.445,8
42,0.27,0.17635192088548396,0.007000000000000001,0.3,0.473,8
43,0.07,0.19570385790780928,-0.271,0.08,0.339,8
44,0.255,0.1370218960604472,0.028000000000000004,0.26,0.466,8
45,0.225,0.10758717395675008,0.061,0.2,0.386,8
46,0.15000000000000002,0.07141428428542851,0.08,0.14,0.29200000000000004,8
47,0.325,0.13481468762712764,0.108,0.33999999999999997,0.539,8
48,0.32,0.16248076809271922,0.08,0.36,0.539,8
49,0.335,0.19792675412889488,-0.056999999999999995,0.4,0.546,8
50,0.155,0.15024979201316718,-0.033,0.14,0.353,8
51,0.16999999999999998,0.10723805294763608,-0.019,0.16,0.313,8
52,0.13,0.15968719422671313,-0.12,0.18,0.313,8
53,0.19,0.28407745422683583,-0.139,0.1,0.666,8
54,0.24,0.10770329614269007,0.035,0.26,0.36,8
55,0.255,0.23059705115200413,-0.019,0.22,0.659,8
56,0.225,0.1370218960604472,0.04,0.22000000000000003,0.4,8
57,0.34,0.17663521732655693,0.127,0.33999999999999997,0.652,8
58,0.28,0.13564659966250536,0.061,0.26,0.473,8
59,0.155,0.09260129588726067,-0.019,0.18,0.24,8
60,0.265,0.15866631652622432,0.04,0.33999999999999997,0.433,8
61,0.29000000000000004,0.0714142842854285,0.167,0.30000000000000004,0.36,8
62,0.28500000000000003,0.15929532322073992,-0.0049999999999999975,0.32,0.49900000000000005,8
63,0.28500000000000003,0.12399596767637244,0.12,0.3,0.44,8
