unit_index,sample_mean,sample_std,q025,q500,q975,num_finite_samples
0,0.4600000000000001,0.15620499351813308,0.28700000000000003,0.42000000000000004,0.732,8
1,0.39,0.14387494569938158,0.115,0.42000000000000004,0.553,8
2,0.225,0.13257073583562853,0.028000000000000004,0.2,0.452,8
3,0.385,0.1295183384698862,0.20700000000000002,0.44,0.546,8
4,0.285,0.12874393189583733,0.12,0.26,0.49900000000000005,8
5,0.275,0.05809475019311125,0.174,0.28,0.353,8
6,0.31,0.31288975694324034,-0.24500000000000002,0.42,0.64,8
7,0.355,0.1434398828778105,0.174,0.33999999999999997,0.612,8
8,0.395,0.11034038245356956,0.21400000000000002,0.42000000000000004,0.52,8
9,0.31,0.05916079783099615,0.20700000000000002,0.33999999999999997,0.36,8
10,0.33,0.13527749258468683,0.167,0.30000000000000004,0.5720000000000001,8
11,0.28500000000000003,0.12399596767637244,0.094,0.28,0.473,8
12,0.275,0.15419143945109273,0.054,0.28,0.473,8
13,0.305,0.11821590417536888,0.167,0.24,0.473,8
14,0.36,0.1019803902718557,0.181,0.38,0.473,8
15,0.49000000000000005,0.12124355652982141,0.29400000000000004,0.5,0.666,8
16,0.385,0.07729812416870153,0.254,0.38,0.48,8
17,0.49000000000000005,0.1797220075561143,0.162,0.5,0.68,8
18,0.39,0.1705872210923198,0.141,0.36,0.626,8
19,0.275,0.11736694594305502,0.127,0.28,0.48500000000000004,8
20,0.17500000000000002,0.15866631652622432,-0.125,0.22,0.37900000000000006,8
21,0.21,0.1646207763315433,-0.07799999999999999,0.22,0.459,8
22,0.49000000000000005,0.15198684153570666,0.254,0.5,0.732,8
23,0.22000000000000003,0.1131370849898476,0.0020000000000000087,0.22,0.353,8
24,0.29000000000000004,0.17521415467935234,0.021,0.32,0.513,8
25,0.35500000000000004,0.09886859966642594,0.181,0.4,0.473,8
26,0.33499999999999996,0.1719738352191984,0.101,0.32,0.619,8
27,0.35000000000000003,0.1493318452306808,0.16,0.34,0.586,8
28,0.375,0.19384271974980127,0.009000000000000001,0.4,0.593,8
