time_index,sample_mean,sample_std,q025,q500,q975,num_finite_samples
0,0.20350000000000001,0.05155337040388339,0.1296,0.212,0.27370000000000005,8
1,0.276,0.0448998886412873,0.2075,0.292,0.3365,8
2,0.29000000000000004,0.039749213828703577,0.21050000000000002,0.302,0.3299,8
3,0.315,0.04371498598878879,0.26680000000000004,0.298,0.39370000000000005,8
4,0.29050000000000004,0.03481019965469892,0.2239,0.294,0.33390000000000003,8
5,0.2625,0.04242346049062947,0.1901,0.274,0.3118,8
6,0.2855,0.0422817927718303,0.2235,0.28,0.34,8
7,0.3045,0.05155337040388339,0.2275,0.314,0.3751,8
8,0.30050000000000004,0.049333051800998486,0.2428,0.29000000000000004,0.3713,8
9,0.28750000000000003,0.046623491932715644,0.2207,0.30000000000000004,0.336,8
10,0.3045,0.053270535946243314,0.211,0.32,0.3808,8
11,0.33749999999999997,0.03815429202593072,0.292,0.33599999999999997,0.384,8
12,0.3185,0.036820510588529316,0.2609,0.32599999999999996,0.3586,8
13,0.306,0.048538644398046386,0.22089999999999999,0.32,0.3605,8
14,0.32599999999999996,0.026153393661244043,0.292,0.324,0.3678,8
15,0.31799999999999995,0.058,0.21799999999999997,0.32,0.4076,8
16,0.3115,0.043883368147853,0.24559999999999998,0.316,0.3685,8
17,0.28300000000000003,0.06339558344238186,0.1788,0.316,0.34659999999999996,8
18,0.25549999999999995,0.06868587918924819,0.1656,0.256,0.3539,8
19,0.2715,0.04797655677515843,0.2127,0.276,0.3478,8
20,0.311,0.04765501022977542,0.2501,0.31,0.3999,8
21,0.2945,0.038311225508981056,0.2213,0.292,0.33790000000000003,8
22,0.29700000000000004,0.02833725463060951,0.2475,0.308,0.3299,8
23,0.29400000000000004,0.06864400920692205,0.1537,0.316,0.35459999999999997,8
24,0.3105,0.06846714540566154,0.19519999999999998,0.324,0.3965,8
25,0.2915,0.030360335966520532,0.2345,0.288,0.32330000000000003,8
26,0.298,0.05744562646538029,0.215,0.29600000000000004,0.3751,8
27,0.30600000000000005,0.03616628264005024,0.2404,0.314,0.35509999999999997,8
28,0.30100000000000005,0.02511971337416093,0.276,0.298,0.3483,8
29,0.27,0.037309516212355266,0.2174,0.278,0.3219,8
30,0.28850000000000003,0.02716155371108214,0.2435,0.306,0.3146,8
31,0.26,0.04870318264754368,0.2127,0.246,0.3528,8
32,0.306,0.032619012860600184,0.2609,0.296,0.3631,8
33,0.31799999999999995,0.030265491900843107,0.2741,0.326,0.3513,8
34,0.28600000000000003,0.0681175454637056,0.17520000000000002,0.278,0.38430000000000003,8
35,0.2985,0.019384271974980122,0.27740000000000004,0.294,0.33699999999999997,8
36,0.2975,0.052609409804710794,0.1928,0.314,0.3532,8
37,0.301,0.05241183072551463,0.21000000000000002,0.298,0.3772,8
38,0.3205,0.04347125487031631,0.2361,0.32,0.368,8
39,0.29600000000000004,0.034928498393145956,0.2343,0.304,0.3457,8
40,0.3245,0.04738934479395131,0.2748,0.304,0.41109999999999997,8
41,0.27649999999999997,0.07569511212753437,0.12100000000000001,0.302,0.3452,8
42,0.3095,0.035153235981912105,0.2727,0.3,0.3723,8
43,0.29550000000000004,0.02603363209388963,0.2621,0.294,0.33530000000000004,8
44,0.281,0.022248595461286984,0.2527,0.286,0.3132,8
45,0.297,0.05606246516163912,0.1961,0.294,0.3725,8
46,0.29800000000000004,0.044631827208842796,0.2409,0.28400000000000003,0.377,8
47,0.315,0.04325505750776433,0.2574,0.324,0.364,8
48,0.3015,0.0445841900229218,0.2534,0.29,0.3831,8
49,0.28800000000000003,0.041617304093369625,0.2407,0.28,0.3591,8
