time_index,sample_mean,sample_std,q025,q500,q975,num_finite_samples
0,0.372,0.04335896677735761,0.3016,0.374,0.437,8
1,0.4215,0.05823873281588466,0.3164,0.44,0.4871,8
2,0.45349999999999996,0.040196392872992974,0.3849,0.466,0.5097,8
3,0.2945,0.019072231122760647,0.25880000000000003,0.3,0.3146,8
4,0.28300000000000003,0.04637887450122092,0.1983,0.304,0.32730000000000004,8
5,0.378,0.03555277766926236,0.3119,0.38,0.4271,8
6,0.2945,0.04865953144040743,0.219,0.30200000000000005,0.35459999999999997,8
7,0.3275,0.027087820141163073,0.2828,0.33,0.3659,8
8,0.3705,0.02712471198003769,0.3256,0.374,0.4092,8
9,0.241,0.02133072900770155,0.2174,0.23199999999999998,0.2765,8
10,0.401,0.049386232899462985,0.3237,0.398,0.4713,8
11,0.4175,0.03846751876583671,0.3437,0.436,0.4572,8
12,0.2765,0.03635587985457098,0.2162,0.28200000000000003,0.32380000000000003,8
13,0.2235,0.023953079134006974,0.2014,0.214,0.27230000000000004,8
14,0.21300000000000002,0.03948417404479927,0.1647,0.20400000000000001,0.2751,8
15,0.2205,0.0377591048622713,0.14980000000000002,0.22599999999999998,0.2652,8
16,0.28,0.05122499389946278,0.1957,0.28600000000000003,0.344,8
17,0.32,0.05079370039680117,0.2536,0.306,0.4043,8
18,0.377,0.045508241011931024,0.307,0.374,0.44380000000000003,8
19,0.405,0.03433656942677878,0.34490000000000004,0.416,0.44,8
20,0.275,0.033211443810831236,0.2183,0.28200000000000003,0.3212,8
21,0.30000000000000004,0.031240998703626614,0.2687,0.286,0.35509999999999997,8
22,0.417,0.05802585630561603,0.3341,0.43,0.4991,8
23,0.4495,0.03898397106504159,0.3967,0.458,0.5104,8
24,0.381,0.028827070610799147,0.3428,0.376,0.4219,8
25,0.33599999999999997,0.026981475126464084,0.29619999999999996,0.33399999999999996,0.3746,8
26,0.337,0.049628620774710225,0.276,0.332,0.41059999999999997,8
27,0.40249999999999997,0.05425633603552676,0.3294,0.406,0.4805,8
28,0.362,0.03903844259188627,0.3049,0.362,0.4165,8
29,0.3895,0.040690908075391975,0.31329999999999997,0.39,0.4372,8
30,0.31799999999999995,0.03532704346531139,0.2755,0.308,0.38430000000000003,8
31,0.4025,0.04161430042665622,0.34140000000000004,0.4,0.4657,8
32,0.42200000000000004,0.04770744176750624,0.3477,0.422,0.4951,8
33,0.4755,0.03518167136450456,0.4275,0.476,0.5344,8
34,0.4795,0.032584505520262236,0.4322,0.482,0.512,8
35,0.4745,0.029525412782889254,0.4447,0.462,0.5259,8
36,0.32949999999999996,0.031364789175124384,0.27740000000000004,0.34199999999999997,0.3593,8
37,0.392,0.028142494558940582,0.364,0.384,0.436,8
38,0.448,0.05983310120660637,0.3663,0.438,0.5266000000000001,8
39,0.4415,0.04774672763656165,0.36579999999999996,0.432,0.5111,8
40,0.194,0.024083189157584593,0.1541,0.202,0.2252,8
41,0.397,0.02673948391424188,0.35669999999999996,0.402,0.4346,8
42,0.428,0.035832945734337825,0.3847,0.422,0.48919999999999997,8
43,0.40700000000000003,0.04018706259482024,0.34840000000000004,0.392,0.46730000000000005,8
44,0.42,0.0447213595499958,0.3508,0.424,0.4857,8
45,0.4655,0.03789129187557479,0.3938,0.478,0.4993,8
46,0.47,0.037894590642992845,0.4155,0.476,0.5264,8
47,0.47450000000000003,0.038258985872602534,0.4117,0.47,0.5351,8
48,0.388,0.034871191548325395,0.34469999999999995,0.382,0.44380000000000003,8
49,0.365,0.031480152477394385,0.32280000000000003,0.36,0.41059999999999997,8
