category,name,estimate,true,squared_error
scalar,beta,-0.1521381992688376,-0.3,0.021863112115461977
scalar,xi,0.6141092322388033,0.8,0.03455537753884718
scalar,eta,0.1972807772915522,0.3,0.010551238713827698
metric,final_loss,0.6612681620545632,,
metric,field_rmse,0.7500000000000001,,
metric,interaction_fro_error,0.47810290377748454,,
latent_diagnostic,estimated_field_max_abs_entry,0.0,,
latent_diagnostic,estimated_field_rank,0.0,0.0,
latent_diagnostic,true_field_max_abs_entry,4.71073439759398,,
latent_diagnostic,true_field_rank,3.0,,
