time_index,sample_mean,sample_std,q025,q500,q975,num_finite_samples
0,-0.32099999999999995,0.050586559479766965,-0.3937,-0.322,-0.22809999999999997,8
1,-0.3945,0.028701045277132332,-0.4405,-0.388,-0.35029999999999994,8
2,-0.2945,0.0297279329923895,-0.31930000000000003,-0.304,-0.2331,8
3,-0.3075,0.020043702252827464,-0.336,-0.3,-0.28469999999999995,8
4,-0.22849999999999998,0.028315190269535544,-0.2626,-0.23399999999999999,-0.17759999999999998,8
5,-0.3655,0.05059397197295346,-0.4457,-0.364,-0.2955,8
6,-0.3665,0.016725728683677745,-0.388,-0.362,-0.34469999999999995,8
7,-0.397,0.02978254522367085,-0.4273,-0.398,-0.3385,8
8,-0.2685,0.04258814389005466,-0.3497,-0.25,-0.2294,8
9,-0.386,0.021071307505705482,-0.4224,-0.386,-0.3548,8
10,-0.28400000000000003,0.041904653679513924,-0.3596,-0.274,-0.2263,8
11,-0.2905,0.040984753262646334,-0.34259999999999996,-0.298,-0.21969999999999998,8
12,-0.2665,0.01130265455545731,-0.2892,-0.264,-0.256,8
13,-0.3825,0.037573261769508384,-0.44780000000000003,-0.376,-0.33740000000000003,8
14,-0.31099999999999994,0.029512709126747406,-0.3586,-0.306,-0.2715,8
15,-0.36750000000000005,0.0601477347869394,-0.4386,-0.376,-0.2637,8
16,-0.3175,0.03142849025963545,-0.3532,-0.322,-0.2552,8
17,-0.28950000000000004,0.051378497447862374,-0.3716,-0.28800000000000003,-0.20199999999999999,8
18,-0.3515,0.0380230193435503,-0.4099,-0.346,-0.2988,8
19,-0.43799999999999994,0.0364417343165772,-0.5064,-0.422,-0.40140000000000003,8
20,-0.4,0.043127717305695645,-0.4725,-0.384,-0.3456,8
21,-0.3765,0.020340845606807996,-0.4,-0.382,-0.3421,8
22,-0.3145,0.034924919470200634,-0.3626,-0.31,-0.2687,8
23,-0.40900000000000003,0.03135283081318177,-0.4485,-0.418,-0.35169999999999996,8
24,-0.2385,0.03452173228561974,-0.27130000000000004,-0.256,-0.17689999999999997,8
25,-0.375,0.03011644069275119,-0.4226,-0.366,-0.3407,8
26,-0.369,0.04497777228809806,-0.4535,-0.354,-0.311,8
27,-0.33149999999999996,0.03926512447452573,-0.3772,-0.33599999999999997,-0.2578,8
28,-0.2575,0.03610747844976162,-0.3158,-0.256,-0.2049,8
29,-0.3345,0.04083809496046552,-0.4048,-0.334,-0.2703,8
30,-0.3815,0.04766287863736306,-0.4346,-0.388,-0.3021,8
31,-0.435,0.05350700888668698,-0.4979,-0.446,-0.3347,8
32,-0.308,0.02473863375370596,-0.35559999999999997,-0.304,-0.2781,8
33,-0.39,0.044452221541785734,-0.4664,-0.382,-0.3289,8
34,-0.3535,0.015866631652622434,-0.3779,-0.354,-0.3275,8
35,-0.32299999999999995,0.036152454965050436,-0.3732,-0.33,-0.2682,8
36,-0.2935,0.0328595496012955,-0.34709999999999996,-0.29000000000000004,-0.2423,8
37,-0.311,0.031288975694324025,-0.34259999999999996,-0.324,-0.2548,8
38,-0.3945,0.04547251917367236,-0.4678,-0.384,-0.3454,8
39,-0.3165,0.04296219268147285,-0.364,-0.32799999999999996,-0.2607,8
40,-0.4185,0.08277529824772606,-0.521,-0.44,-0.2742,8
41,-0.393,0.04786439177509728,-0.47959999999999997,-0.38,-0.3388,8
42,-0.3865,0.016605721905415618,-0.4139,-0.384,-0.368,8
43,-0.296,0.034058772731852795,-0.3497,-0.294,-0.2397,8
44,-0.353,0.03565108693995176,-0.4024,-0.358,-0.2877,8
45,-0.33249999999999996,0.04567001204291499,-0.3793,-0.346,-0.2517,8
46,-0.34750000000000003,0.03765302112712869,-0.39580000000000004,-0.36,-0.2856,8
47,-0.365,0.03740320841853008,-0.4113,-0.368,-0.316,8
48,-0.395,0.03357082066318904,-0.4433,-0.388,-0.3468,8
49,-0.378,0.027276363393971704,-0.4245,-0.368,-0.3428,8
