unit_index,sample_mean,sample_std,q025,q500,q975,num_finite_samples
0,-0.24000000000000002,0.15362291495737218,-0.433,-0.28,-0.04,8
1,-0.31500000000000006,0.15288884851420656,-0.52,-0.28,-0.09399999999999999,8
2,-0.28,0.23664319132398465,-0.586,-0.28,0.11100000000000004,8
3,-0.245,0.17485708450045712,-0.473,-0.24,0.0,8
4,-0.215,0.10571187255932987,-0.353,-0.22,-0.027999999999999973,8
5,-0.23,0.15459624833740307,-0.492,-0.2,-0.013999999999999986,8
6,-0.29500000000000004,0.11989578808281799,-0.525,-0.28,-0.167,8
7,-0.23,0.10723805294763608,-0.36,-0.26,-0.053999999999999986,8
8,-0.275,0.19843134832984427,-0.6,-0.2,-0.053999999999999986,8
9,-0.22999999999999998,0.15716233645501712,-0.433,-0.26,0.026000000000000016,8
10,-0.11499999999999999,0.17022044530549202,-0.438,-0.07999999999999999,0.07300000000000001,8
11,-0.08,0.0894427190999916,-0.252,-0.06,0.0,8
12,-0.22,0.21725560982400433,-0.525,-0.32,0.08,8
13,-0.245,0.07599342076785333,-0.386,-0.24,-0.16,8
14,-0.16999999999999998,0.2389560629069704,-0.46599999999999997,-0.24,0.16,8
15,-0.365,0.14891272611835432,-0.546,-0.4,-0.08199999999999996,8
16,-0.355,0.12399596767637246,-0.546,-0.33999999999999997,-0.14799999999999996,8
17,-0.18500000000000003,0.17993054215446583,-0.393,-0.22,0.15800000000000006,8
18,-0.27,0.19261360284258222,-0.598,-0.28,-0.013999999999999986,8
19,-0.24500000000000002,0.1666583331249896,-0.433,-0.26,0.019000000000000024,8
20,-0.19,0.18303005217723126,-0.36,-0.24,0.18400000000000005,8
21,-0.24,0.13999999999999999,-0.433,-0.22000000000000003,-0.053999999999999986,8
22,-0.265,0.12318684994754919,-0.485,-0.26,-0.09399999999999999,8
23,-0.245,0.14756354563373705,-0.426,-0.30000000000000004,-0.013999999999999986,8
24,-0.25,0.17521415467935234,-0.499,-0.24,0.03800000000000005,8
25,-0.28500000000000003,0.11390785749894518,-0.433,-0.32,-0.127,8
26,-0.34500000000000003,0.21903196113809512,-0.6,-0.4,0.0,8
27,-0.325,0.10087120500916007,-0.473,-0.30000000000000004,-0.174,8
28,-0.195,0.1737095276604021,-0.48,-0.12,-0.013999999999999986,8
29,-0.29500000000000004,0.20874625745148104,-0.652,-0.26,-0.020999999999999977,8
30,-0.25,0.17406895185529211,-0.45899999999999996,-0.28,0.09700000000000007,8
31,-0.305,0.1263922465976454,-0.46599999999999997,-0.33999999999999997,-0.06799999999999998,8
32,-0.365,0.13332291625973383,-0.48,-0.4,-0.08899999999999995,8
33,-0.245,0.10851267207105353,-0.393,-0.26,-0.087,8
34,-0.25,0.18520259177452136,-0.539,-0.22,-0.013999999999999986,8
35,-0.24500000000000002,0.1580348062927911,-0.506,-0.2,-0.053999999999999986,8
36,-0.225,0.10943034314119646,-0.32,-0.26,-0.00199999999999996,8
37,-0.23500000000000001,0.11034038245356956,-0.393,-0.24000000000000002,-0.06099999999999998,8
38,-0.22000000000000003,0.09591663046625439,-0.353,-0.22,-0.06099999999999998,8
39,-0.22,0.10392304845413265,-0.386,-0.22,-0.087,8
40,-0.20500000000000002,0.20438933435969697,-0.499,-0.18,0.06600000000000002,8
41,-0.255,0.03968626966596887,-0.313,-0.26,-0.2,8
42,-0.10500000000000001,0.11478240283248997,-0.273,-0.1,0.09200000000000003,8
43,-0.215,0.1370218960604472,-0.426,-0.18,-0.020999999999999977,8
44,-0.315,0.13181426326464069,-0.584,-0.28,-0.174,8
45,-0.25,0.11789826122551596,-0.419,-0.28,-0.053999999999999986,8
46,-0.37,0.15066519173319365,-0.645,-0.33999999999999997,-0.2,8
47,-0.11000000000000001,0.1915724406066802,-0.386,-0.12,0.17900000000000002,8
48,-0.29,0.17748239349298847,-0.572,-0.28,-0.020999999999999977,8
49,-0.24500000000000002,0.09682458365518541,-0.426,-0.22,-0.16,8
50,-0.16499999999999998,0.18159019797334877,-0.45899999999999996,-0.07999999999999999,0.03300000000000001,8
51,-0.31000000000000005,0.10723805294763607,-0.426,-0.36,-0.10099999999999998,8
52,-0.35,0.12922847983320085,-0.513,-0.38,-0.14099999999999996,8
53,-0.27,0.10344080432788601,-0.45199999999999996,-0.26,-0.127,8
54,-0.195,0.21673716801693244,-0.492,-0.24000000000000002,0.19800000000000004,8
55,-0.325,0.14620191517213446,-0.546,-0.33999999999999997,-0.09399999999999999,8
56,-0.165,0.19435791725576812,-0.499,-0.14,0.04,8
57,-0.28500000000000003,0.1713913650100261,-0.532,-0.28,0.03100000000000005,8
58,-0.325,0.18159019797334877,-0.612,-0.32,-0.06099999999999998,8
59,-0.155,0.11390785749894516,-0.33899999999999997,-0.16,0.026000000000000016,8
60,-0.24,0.12489995996796796,-0.44,-0.2,-0.087,8
61,-0.245,0.08587782018658834,-0.36,-0.22,-0.127,8
62,-0.275,0.19742087022399635,-0.473,-0.34,0.08500000000000002,8
63,-0.225,0.13991068579633223,-0.393,-0.26,0.019000000000000024,8
64,-0.245,0.19742087022399635,-0.553,-0.2,0.019000000000000024,8
65,-0.24000000000000002,0.1673320053068151,-0.46599999999999997,-0.28,0.04500000000000003,8
66,-0.29500000000000004,0.22885584982691615,-0.704,-0.24,-0.04699999999999999,8
67,-0.21000000000000002,0.13379088160259653,-0.4,-0.16,-0.04699999999999999,8
68,-0.12,0.11135528725660045,-0.273,-0.12,0.04,8
69,-0.135,0.1325707358356285,-0.33899999999999997,-0.12,0.059000000000000025,8
70,-0.18,0.1777638883463118,-0.426,-0.14,0.06600000000000002,8
71,-0.33499999999999996,0.09785192895390464,-0.44,-0.38,-0.2,8
72,-0.29,0.09539392014169455,-0.46599999999999997,-0.24,-0.2,8
73,-0.23500000000000001,0.1377497731395591,-0.426,-0.26,-0.013999999999999986,8
74,-0.32,0.1574801574802362,-0.612,-0.28,-0.127,8
75,-0.26,0.1562049935181331,-0.499,-0.24000000000000002,-0.08,8
76,-0.135,0.12155245781143217,-0.24,-0.16,0.09900000000000002,8
77,-0.21,0.10344080432788601,-0.353,-0.24,-0.04699999999999999,8
78,-0.21500000000000002,0.15740076238697195,-0.4,-0.22,0.059000000000000025,8
79,-0.22000000000000003,0.1414213562373095,-0.4,-0.22000000000000003,-0.013999999999999986,8
80,-0.29000000000000004,0.09327379053088815,-0.426,-0.28,-0.13399999999999998,8
81,-0.195,0.14620191517213446,-0.419,-0.2,0.03300000000000001,8
82,-0.25,0.2527844931952908,-0.553,-0.33999999999999997,0.153,8
83,-0.125,0.13028814220795384,-0.372,-0.07999999999999999,0.0,8
84,-0.17,0.1841195263952197,-0.544,-0.1,-0.006999999999999993,8
85,-0.155,0.14203872711341792,-0.353,-0.12,0.059000000000000025,8
86,-0.29000000000000004,0.1987460691435179,-0.612,-0.28,-0.08,8
87,-0.28,0.19899748742132398,-0.572,-0.32,0.019000000000000024,8
88,-0.13,0.17291616465790582,-0.32,-0.2,0.14600000000000002,8
89,-0.3,0.1414213562373095,-0.48,-0.3,-0.09399999999999999,8
90,-0.22500000000000003,0.1295183384698862,-0.386,-0.28,-0.006999999999999993,8
91,-0.16999999999999998,0.15459624833740307,-0.379,-0.22,0.09900000000000002,8
92,-0.28,0.17204650534085253,-0.48,-0.30000000000000004,-0.020999999999999977,8
93,-0.21999999999999997,0.2154065922853802,-0.473,-0.24,0.14600000000000002,8
94,-0.27,0.18841443681416772,-0.513,-0.26,-0.04,8
95,-0.26,0.14966629547095767,-0.46599999999999997,-0.28,-0.020999999999999977,8
96,-0.24,0.17320508075688773,-0.433,-0.30000000000000004,0.0,8
97,-0.21000000000000002,0.13228756555322954,-0.386,-0.24000000000000002,-0.04,8
98,-0.1,0.12489995996796797,-0.299,-0.1,0.09900000000000002,8
99,-0.22999999999999998,0.14798648586948743,-0.433,-0.22,-0.04,8
100,-0.2,0.16970562748477142,-0.5509999999999999,-0.12,-0.08,8
101,-0.32,0.20493901531919198,-0.593,-0.3,-0.013999999999999986,8
102,-0.28,0.08944271909999159,-0.426,-0.28,-0.16,8
103,-0.23,0.07416198487095663,-0.346,-0.24,-0.127,8
104,-0.21,0.1774823934929885,-0.433,-0.24,0.07300000000000001,8
105,-0.27999999999999997,0.17320508075688773,-0.52,-0.2,-0.08,8
106,-0.21499999999999997,0.13555441711725957,-0.45899999999999996,-0.18,-0.04699999999999999,8
107,-0.36,0.09797958971132711,-0.48,-0.36,-0.181,8
108,-0.255,0.0526782687642637,-0.346,-0.24,-0.174,8
