unit_index,sample_mean,sample_std,q025,q500,q975,num_finite_samples
0,0.415,0.15223337347638327,0.148,0.44,0.6,8
1,0.24,0.1296148139681572,0.047,0.24,0.433,8
2,0.24,0.15491933384829668,0.014000000000000002,0.24000000000000002,0.49200000000000005,8
3,0.37,0.05196152422706632,0.32,0.36,0.44,8
4,0.29000000000000004,0.1819340539866025,0.014000000000000002,0.28,0.513,8
5,0.32,0.14560219778561034,0.134,0.28,0.579,8
6,0.4,0.1854723699099141,0.094,0.42,0.6,8
7,0.355,0.11034038245356956,0.20700000000000002,0.33999999999999997,0.546,8
8,0.375,0.11651180197731045,0.24,0.36,0.553,8
9,0.305,0.14413535305399575,0.087,0.32,0.506,8
10,0.175,0.1413329402510257,-0.11099999999999999,0.2,0.313,8
11,0.275,0.11034038245356956,0.134,0.24,0.466,8
12,0.255,0.19487175269905074,0.007000000000000001,0.26,0.5980000000000001,8
13,0.315,0.14203872711341792,0.167,0.26,0.5720000000000001,8
14,0.36,0.14832396974191325,0.148,0.32,0.612,8
15,0.36,0.16248076809271922,0.07500000000000001,0.42000000000000004,0.553,8
16,0.43,0.11269427669584646,0.261,0.42000000000000004,0.619,8
17,0.28500000000000003,0.10283481900601565,0.167,0.26,0.466,8
18,0.21000000000000002,0.10908712114635714,0.054,0.2,0.353,8
19,0.27,0.18734993995195195,-0.066,0.36,0.466,8
20,0.265,0.11651180197731043,0.094,0.26,0.433,8
21,0.39,0.15066519173319365,0.174,0.4,0.652,8
22,0.265,0.13555441711725957,0.061,0.24,0.473,8
23,0.285,0.18701604209265044,0.007000000000000001,0.30000000000000004,0.5910000000000001,8
24,0.39,0.18841443681416772,0.101,0.4,0.666,8
25,0.265,0.14413535305399575,0.028000000000000004,0.28,0.44,8
26,0.21500000000000002,0.12796483892069727,0.021,0.2,0.393,8
27,0.28500000000000003,0.16424067705656842,0.094,0.24,0.579,8
28,0.33,0.11958260743101398,0.167,0.34,0.506,8
29,0.35,0.17406895185529211,0.068,0.38,0.553,8
30,0.39,0.17748239349298847,0.068,0.44,0.619,8
31,0.275,0.06763874629234341,0.167,0.28,0.36,8
32,0.29500000000000004,0.11821590417536888,0.127,0.28,0.466,8
33,0.44,0.18654758106177632,0.24,0.42000000000000004,0.772,8
34,0.235,0.15288884851420653,0.04,0.28,0.459,8
35,0.335,0.18967076738390656,0.094,0.32,0.678,8
36,0.33,0.18947295321496416,0.0020000000000000087,0.34,0.56,8
37,0.22500000000000003,0.09785192895390464,0.087,0.26,0.353,8
38,0.265,0.16844880527923017,-0.038,0.30000000000000004,0.5180000000000001,8
39,0.34,0.23323807579381203,0.054,0.24000000000000002,0.673,8
40,0.38,0.09380831519646858,0.247,0.4,0.48,8
41,0.21000000000000002,0.17521415467935234,-0.092,0.26,0.433,8
42,0.4,0.18439088914585774,0.115,0.33999999999999997,0.64,8
43,0.25,0.12124355652982141,0.054,0.28,0.393,8
44,0.36,0.09165151389911681,0.24,0.36,0.506,8
45,0.30500000000000005,0.1495827530165159,0.134,0.26,0.579,8
46,0.30500000000000005,0.17993054215446583,0.028000000000000004,0.28,0.6050000000000001,8
47,0.44,0.09591663046625439,0.28700000000000003,0.44,0.586,8
48,0.23,0.0888819441731559,0.094,0.24000000000000002,0.353,8
49,0.375,0.20093531297410122,-0.023999999999999994,0.42000000000000004,0.612,8
50,0.30000000000000004,0.15099668870541502,0.087,0.32,0.532,8
51,0.24000000000000002,0.15362291495737218,-0.038,0.26,0.433,8
52,0.155,0.1462019151721345,-0.092,0.16,0.37900000000000006,8
53,0.275,0.088175960442742,0.174,0.24,0.452,8
54,0.35500000000000004,0.16904141504376968,0.042,0.38,0.52,8
55,0.335,0.14413535305399575,0.141,0.30000000000000004,0.586,8
56,0.30500000000000005,0.16240381768911716,0.028000000000000004,0.32,0.539,8
57,0.41000000000000003,0.1396424004376894,0.188,0.38,0.626,8
58,0.345,0.1384738242412623,0.174,0.3,0.553,8
59,0.435,0.06461423991660042,0.327,0.45999999999999996,0.513,8
60,0.42500000000000004,0.13847382424126228,0.247,0.44,0.626,8
61,0.195,0.21112792330717414,-0.09899999999999999,0.18000000000000002,0.49900000000000005,8
62,0.46,0.15362291495737215,0.28700000000000003,0.4,0.713,8
63,0.31,0.12922847983320085,0.094,0.32,0.473,8
64,0.17,0.12124355652982141,-0.059,0.22,0.306,8
65,0.33999999999999997,0.14,0.07500000000000001,0.36,0.513,8
66,0.20500000000000002,0.18914280319377738,-0.118,0.2,0.433,8
67,0.43500000000000005,0.19538423682579922,0.167,0.44,0.732,8
68,0.28500000000000003,0.09473647660748208,0.16,0.32,0.426,8
69,0.385,0.09151502608861564,0.254,0.36,0.546,8
70,0.31999999999999995,0.18973665961010275,0.08,0.3,0.6380000000000001,8
71,0.33999999999999997,0.11135528725660045,0.20700000000000002,0.32,0.513,8
72,0.31,0.19672315572906002,0.087,0.24,0.593,8
73,0.44,0.19183326093250877,0.122,0.44,0.739,8
74,0.42,0.1371130920080209,0.24,0.42000000000000004,0.652,8
75,0.305,0.1495827530165159,0.12,0.28,0.513,8
76,0.2,0.18110770276274835,-0.073,0.2,0.466,8
77,0.33,0.20952326839756963,-0.07099999999999998,0.38,0.586,8
78,0.48,0.1562049935181331,0.254,0.48,0.7580000000000001,8
79,0.365,0.15548311805466214,0.134,0.38,0.56,8
80,0.30000000000000004,0.12489995996796796,0.094,0.32,0.44,8
81,0.21,0.1571623364550171,0.007000000000000001,0.18,0.459,8
82,0.32,0.10583005244258364,0.20700000000000002,0.28,0.532,8
83,0.34500000000000003,0.11124297730643495,0.20700000000000002,0.32,0.539,8
84,0.385,0.16844880527923015,0.16,0.4,0.633,8
85,0.245,0.14756354563373705,-0.06399999999999999,0.30000000000000004,0.36,8
86,0.45999999999999996,0.0721110255092798,0.327,0.48,0.52,8
87,0.25,0.11789826122551596,0.028000000000000004,0.26,0.393,8
88,0.365,0.14062361110425234,0.2,0.36,0.6310000000000001,8
89,0.30000000000000004,0.19183326093250877,0.087,0.24000000000000002,0.652,8
90,0.34,0.19595917942265426,0.12,0.30000000000000004,0.666,8
91,0.21500000000000002,0.1370218960604472,-0.052,0.28,0.353,8
92,0.39,0.06244997998398397,0.28700000000000003,0.4,0.473,8
93,0.35000000000000003,0.15198684153570666,0.2,0.36,0.6310000000000001,8
94,0.35500000000000004,0.11905880899790659,0.20700000000000002,0.36,0.546,8
95,0.325,0.17712989583918354,-0.016999999999999987,0.36,0.5650000000000001,8
96,0.27,0.17748239349298847,0.007000000000000001,0.32,0.513,8
97,0.425,0.17656443583009573,0.20700000000000002,0.42,0.706,8
98,0.37,0.16217274740226856,0.134,0.33999999999999997,0.626,8
99,0.45499999999999996,0.13105342422081157,0.254,0.48,0.633,8
100,0.28500000000000003,0.19019726601610237,0.087,0.22,0.626,8
101,0.475,0.088175960442742,0.327,0.48,0.593,8
102,0.35,0.1337908816025965,0.148,0.33999999999999997,0.579,8
103,0.23,0.12767145334803706,0.021,0.2,0.393,8
104,0.35000000000000003,0.1997498435543818,0.068,0.28,0.633,8
105,0.28,0.16,0.021,0.28,0.513,8
106,0.2,0.09797958971132711,0.08,0.2,0.353,8
107,0.265,0.16605721905415613,-0.019,0.30000000000000004,0.473,8
108,0.395,0.12874393189583733,0.167,0.44,0.52,8
109,0.3,0.13114877048604,0.134,0.24,0.513,8
110,0.355,0.17485708450045712,0.108,0.32,0.671,8
111,0.315,0.18701604209265046,0.021,0.38,0.553,8
112,0.245,0.1713913650100261,0.014000000000000002,0.2,0.513,8
113,0.27,0.19874606914351792,-0.052,0.28,0.539,8
114,0.24,0.1341640786499874,0.12,0.2,0.49200000000000005,8
115,0.495,0.16844880527923015,0.15000000000000002,0.52,0.64,8
116,0.325,0.2203973684053419,-0.026,0.38,0.586,8
117,0.28500000000000003,0.17255433926737399,0.007000000000000001,0.32,0.513,8
118,0.47000000000000003,0.14106735979665885,0.247,0.5,0.633,8
119,0.11499999999999999,0.11034038245356956,-0.033,0.1,0.306,8
120,0.22500000000000003,0.1263922465976454,-0.0049999999999999975,0.22,0.393,8
121,0.21000000000000002,0.19672315572906002,-0.184,0.26,0.4,8
122,0.26,0.18,-0.07799999999999999,0.33999999999999997,0.433,8
123,0.27499999999999997,0.1255985668708047,0.12,0.28,0.49200000000000005,8
124,0.315,0.18048545647780045,-0.030999999999999993,0.36,0.539,8
125,0.32,0.12806248474865697,0.167,0.28,0.5650000000000001,8
126,0.32,0.18867962264113208,0.054,0.34,0.586,8
127,0.275,0.19332614929181205,-0.08499999999999999,0.33999999999999997,0.506,8
128,0.34500000000000003,0.1522333734763833,0.108,0.32,0.586,8
129,0.275,0.1489127261183543,-0.0049999999999999975,0.28,0.466,8
130,0.325,0.13629013170439008,0.127,0.36,0.48,8
131,0.265,0.10380269746013346,0.101,0.26,0.426,8
132,0.235,0.17022044530549202,0.08,0.12,0.473,8
133,0.23,0.15716233645501712,0.047,0.22000000000000003,0.49200000000000005,8
134,0.23500000000000004,0.15929532322073992,-0.019,0.24000000000000002,0.466,8
135,0.41500000000000004,0.21254411306832285,0.05600000000000001,0.4,0.713,8
136,0.26,0.1,0.127,0.24,0.426,8
137,0.33,0.1915724406066802,0.035,0.30000000000000004,0.593,8
138,0.255,0.18323482201808694,-0.07799999999999999,0.28,0.49900000000000005,8
139,0.3,0.18973665961010278,0.087,0.28,0.593,8
140,0.365,0.11905880899790657,0.20700000000000002,0.38,0.5720000000000001,8
141,0.39,0.11789826122551596,0.28,0.36,0.619,8
142,0.365,0.1678541033159452,0.167,0.32,0.6,8
143,0.25,0.08426149773176358,0.127,0.26,0.386,8
144,0.30500000000000005,0.17428425057933378,0.054,0.26,0.553,8
145,0.29500000000000004,0.15992185591719477,0.028000000000000004,0.32,0.513,8
146,0.365,0.1826882590644511,0.127,0.36,0.652,8
147,0.35,0.08426149773176358,0.21400000000000002,0.33999999999999997,0.473,8
148,0.21999999999999997,0.19287301521985908,-0.073,0.30000000000000004,0.459,8
149,0.33999999999999997,0.2584569596664017,-0.059,0.42000000000000004,0.699,8
150,0.30500000000000005,0.11478240283248997,0.2,0.26,0.532,8
151,0.23000000000000004,0.1786057109949175,-0.052,0.2,0.49900000000000005,8
152,0.30000000000000004,0.13564659966250536,0.12,0.36,0.466,8
153,0.335,0.10758717395675008,0.2,0.32,0.532,8
154,0.385,0.15354152532784088,0.141,0.44,0.56,8
155,0.405,0.10665364503850769,0.28,0.4,0.579,8
156,0.255,0.15354152532784088,0.054,0.22,0.44,8
157,0.315,0.11034038245356956,0.134,0.32,0.49200000000000005,8
158,0.24,0.10770329614269007,0.094,0.22,0.41900000000000004,8
159,0.29500000000000004,0.1340708767779192,0.167,0.26,0.5650000000000001,8
160,0.265,0.14551632210855248,0.035,0.22,0.473,8
161,0.35,0.23130067012440753,0.08,0.3,0.666,8
162,0.35000000000000003,0.19773719933285192,-0.056999999999999995,0.42000000000000004,0.546,8
163,0.53,0.10148891565092219,0.374,0.54,0.699,8
164,0.29000000000000004,0.12767145334803706,0.127,0.3,0.466,8
165,0.23,0.1905255888325765,-0.08499999999999999,0.24000000000000002,0.49900000000000005,8
166,0.21500000000000002,0.14823967080373593,0.007000000000000001,0.24000000000000002,0.393,8
167,0.265,0.11302654555457316,0.127,0.26,0.459,8
168,0.23500000000000001,0.15419143945109273,-0.019,0.24,0.433,8
169,0.32999999999999996,0.21142374511865974,0.04,0.34,0.633,8
170,0.265,0.22265444078212318,-0.038,0.2,0.678,8
171,0.295,0.17993054215446583,0.08,0.32,0.513,8
172,0.29,0.19570385790780925,0.061,0.22,0.671,8
173,0.375,0.15866631652622432,0.122,0.33999999999999997,0.626,8
174,0.36,0.08,0.247,0.36,0.49900000000000005,8
175,0.195,0.15024979201316718,0.007000000000000001,0.18,0.433,8
176,0.31000000000000005,0.1014889156509222,0.174,0.30000000000000004,0.49200000000000005,8
177,0.26,0.15748015748023622,0.021,0.30000000000000004,0.49200000000000005,8
178,0.41000000000000003,0.23727621035409344,0.16,0.33999999999999997,0.819,8
179,0.32,0.15874507866387544,0.028000000000000004,0.33999999999999997,0.513,8
180,0.355,0.10283481900601565,0.20700000000000002,0.36,0.48,8
181,0.295,0.21160103969498825,0.08,0.26,0.671,8
182,0.3,0.19697715603592209,0.127,0.22,0.685,8
183,0.355,0.12874393189583733,0.16,0.42000000000000004,0.506,8
184,0.25,0.07937253933193772,0.127,0.26,0.353,8
185,0.31,0.232163735324878,-0.11099999999999999,0.36,0.586,8
186,0.39,0.11618950038622251,0.247,0.38,0.56,8
187,0.195,0.1737095276604021,-0.033,0.14,0.459,8
188,0.395,0.11034038245356956,0.247,0.42000000000000004,0.553,8
189,0.325,0.179373911146521,0.061,0.33999999999999997,0.6380000000000001,8
190,0.34500000000000003,0.18861336113860017,0.021,0.36,0.56,8
191,0.25,0.2133072900770154,-0.04,0.22,0.546,8
192,0.31500000000000006,0.12874393189583733,0.108,0.30000000000000004,0.506,8
193,0.29000000000000004,0.1260952021291849,0.087,0.30000000000000004,0.466,8
194,0.30000000000000004,0.09591663046625439,0.134,0.33999999999999997,0.4,8
195,0.29000000000000004,0.09539392014169458,0.167,0.28,0.4,8
196,0.30000000000000004,0.17549928774784246,0.04,0.30000000000000004,0.546,8
197,0.33000000000000007,0.16340134638368192,0.134,0.32,0.6310000000000001,8
198,0.31000000000000005,0.11958260743101398,0.134,0.28,0.506,8
199,0.18,0.17663521732655693,-0.106,0.22,0.426,8
200,0.28,0.18000000000000002,0.014000000000000002,0.33999999999999997,0.532,8
201,0.30000000000000004,0.19999999999999998,0.021,0.26,0.6,8
202,0.37,0.12922847983320085,0.122,0.36,0.513,8
203,0.20500000000000002,0.13919410907075055,0.04,0.2,0.426,8
204,0.35,0.10908712114635713,0.167,0.36,0.48,8
205,0.23,0.13527749258468685,-0.011999999999999997,0.24,0.4,8
206,0.38,0.14560219778561037,0.174,0.38,0.593,8
207,0.365,0.061441028637222526,0.28700000000000003,0.36,0.473,8
208,0.30000000000000004,0.1341640786499874,0.127,0.30000000000000004,0.532,8
209,0.28,0.09797958971132713,0.127,0.32,0.393,8
210,0.245,0.12072696467649635,0.087,0.22,0.426,8
211,0.42,0.11135528725660045,0.202,0.44,0.546,8
212,0.355,0.16178689687363434,0.101,0.38,0.586,8
213,0.33499999999999996,0.23574350468252564,0.0,0.4,0.678,8
214,0.505,0.10943034314119644,0.334,0.52,0.6920000000000001,8
215,0.29500000000000004,0.07466592261534039,0.2,0.32,0.41900000000000004,8
216,0.275,0.15803480629279107,0.094,0.24,0.5910000000000001,8
217,0.27,0.2046948949045872,0.007000000000000001,0.28,0.6050000000000001,8
218,0.26,0.14560219778561037,0.061,0.26,0.5250000000000001,8
219,0.305,0.1719738352191984,0.08,0.30000000000000004,0.5980000000000001,8
220,0.255,0.15091388272786568,0.021,0.26,0.473,8
221,0.29000000000000004,0.22158519806160337,-0.15599999999999997,0.34,0.48,8
222,0.335,0.10758717395675008,0.174,0.34,0.49900000000000005,8
223,0.19499999999999998,0.1434398828778105,0.047,0.12,0.459,8
224,0.37,0.1161895003862225,0.20700000000000002,0.38,0.513,8
225,0.315,0.14620191517213446,0.134,0.28,0.5720000000000001,8
226,0.35000000000000003,0.20952326839756966,0.028000000000000004,0.30000000000000004,0.659,8
227,0.33,0.09110433579144299,0.148,0.36,0.433,8
228,0.22999999999999998,0.17291616465790585,-0.104,0.24,0.433,8
