time_index,sample_mean,sample_std,q025,q500,q975,num_finite_samples
0,-0.2715,0.04254115654281158,-0.3226,-0.27,-0.19329999999999997,8
1,-0.32099999999999995,0.03479942528261063,-0.36,-0.328,-0.259,8
2,-0.3575,0.050316498288334816,-0.4391,-0.354,-0.28819999999999996,8
3,-0.429,0.011789826122551606,-0.4466,-0.43,-0.4094,8
4,-0.3525,0.04314800111245015,-0.412,-0.352,-0.2948,8
5,-0.4185,0.03799671038392665,-0.4782,-0.42,-0.3519,8
6,-0.40750000000000003,0.028666182166448326,-0.4466,-0.404,-0.3727,8
7,-0.21650000000000003,0.0284561065502644,-0.2626,-0.21,-0.1788,8
8,-0.3955,0.045670012042914994,-0.45130000000000003,-0.398,-0.3126,8
9,-0.3935,0.03481019965469892,-0.4431,-0.398,-0.344,8
10,-0.3065,0.03762645346029838,-0.3525,-0.316,-0.24089999999999998,8
11,-0.2665,0.0279240040108864,-0.3019,-0.268,-0.2176,8
12,-0.4475,0.03437659087227819,-0.4713,-0.458,-0.374,8
13,-0.3645,0.026186828750346985,-0.4097,-0.362,-0.332,8
14,-0.384,0.030133038346638726,-0.4299,-0.388,-0.3421,8
15,-0.33399999999999996,0.04634652090502587,-0.4057,-0.33,-0.2663,8
16,-0.3915,0.022039736840534188,-0.4273,-0.39,-0.368,8
17,-0.34299999999999997,0.04958830507286976,-0.4203,-0.352,-0.2755,8
18,-0.2785,0.03452173228561974,-0.3365,-0.264,-0.2414,8
19,-0.404,0.028565713714171402,-0.4412,-0.414,-0.3621,8
20,-0.3545,0.025054939632735095,-0.38330000000000003,-0.356,-0.3155,8
21,-0.472,0.04829078587059857,-0.553,-0.46599999999999997,-0.416,8
22,-0.31699999999999995,0.031096623610932423,-0.3579,-0.314,-0.2623,8
23,-0.41250000000000003,0.028526303651191826,-0.4532,-0.41000000000000003,-0.36819999999999997,8
24,-0.495,0.03718870796357412,-0.5525,-0.496,-0.4376,8
25,-0.33949999999999997,0.033372893191930486,-0.3793,-0.35,-0.296,8
26,-0.442,0.04732863826479693,-0.484,-0.46,-0.35359999999999997,8
27,-0.364,0.021908902300206638,-0.4017,-0.366,-0.3315,8
28,-0.22299999999999998,0.022605309110914636,-0.248,-0.226,-0.179,8
29,-0.4235,0.06955393590588531,-0.5259,-0.398,-0.3421,8
30,-0.46349999999999997,0.05622944068724142,-0.54,-0.47,-0.3894,8
31,-0.46849999999999997,0.02803123258081956,-0.5132,-0.464,-0.4301,8
32,-0.365,0.027258026340878014,-0.40709999999999996,-0.366,-0.332,8
33,-0.3775,0.04059248698958959,-0.4278,-0.384,-0.30579999999999996,8
34,-0.3685,0.02641495788374457,-0.4113,-0.36,-0.34,8
35,-0.3635,0.024854577043273138,-0.39390000000000003,-0.368,-0.3195,8
36,-0.4205,0.04300872004605577,-0.48919999999999997,-0.41200000000000003,-0.3616,8
37,-0.5115000000000001,0.04465142774872938,-0.5651999999999999,-0.524,-0.4348,8
38,-0.4,0.047916594202843756,-0.47559999999999997,-0.404,-0.3218,8
39,-0.4885,0.029081781238431744,-0.5339,-0.486,-0.4442,8
40,-0.4235,0.037864891390310365,-0.4718,-0.432,-0.3595,8
41,-0.3365,0.041493975466325224,-0.40499999999999997,-0.334,-0.27740000000000004,8
42,-0.45099999999999996,0.022338307903688674,-0.4899,-0.446,-0.4228,8
43,-0.348,0.043726422218150894,-0.4012,-0.36,-0.2783,8
44,-0.47450000000000003,0.03463740752423598,-0.5153,-0.476,-0.4124,8
45,-0.259,0.03386738844375219,-0.3026,-0.264,-0.2167,8
46,-0.2705,0.04113088863615762,-0.3259,-0.274,-0.199,8
47,-0.347,0.018520259177452127,-0.368,-0.348,-0.3129,8
48,-0.2605,0.03982147661752387,-0.3205,-0.258,-0.19379999999999997,8
49,-0.31799999999999995,0.05355371135598354,-0.4265,-0.306,-0.268,8
