generation_spec_path,experiment_name,experiment_slug,experiment_path
/orcd/home/002/phevosp/MPLE-Causal-Inference/data/configs/FINAL/synth/generation_spec.yaml,confounding_strong_1,confounding_strong_1,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/FINAL/Synthetic/confounding_strong_1
/orcd/home/002/phevosp/MPLE-Causal-Inference/data/configs/FINAL/synth/generation_spec.yaml,confounding_strong_2,confounding_strong_2,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/FINAL/Synthetic/confounding_strong_2
/orcd/home/002/phevosp/MPLE-Causal-Inference/data/configs/FINAL/synth/generation_spec.yaml,confounding_strong_3,confounding_strong_3,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/FINAL/Synthetic/confounding_strong_3
/orcd/home/002/phevosp/MPLE-Causal-Inference/data/configs/FINAL/synth/generation_spec.yaml,confounding_strong_4,confounding_strong_4,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/FINAL/Synthetic/confounding_strong_4
/orcd/home/002/phevosp/MPLE-Causal-Inference/data/configs/FINAL/synth/generation_spec.yaml,confounding_strong_5,confounding_strong_5,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/FINAL/Synthetic/confounding_strong_5
/orcd/home/002/phevosp/MPLE-Causal-Inference/data/configs/FINAL/synth/generation_spec.yaml,confounding_strong_6,confounding_strong_6,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/FINAL/Synthetic/confounding_strong_6
/orcd/home/002/phevosp/MPLE-Causal-Inference/data/configs/FINAL/synth/generation_spec.yaml,confounding_strong_7,confounding_strong_7,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/FINAL/Synthetic/confounding_strong_7
/orcd/home/002/phevosp/MPLE-Causal-Inference/data/configs/FINAL/synth/generation_spec.yaml,confounding_strong_8,confounding_strong_8,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/FINAL/Synthetic/confounding_strong_8
/orcd/home/002/phevosp/MPLE-Causal-Inference/data/configs/FINAL/synth/generation_spec.yaml,confounding_strong_9,confounding_strong_9,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/FINAL/Synthetic/confounding_strong_9
/orcd/home/002/phevosp/MPLE-Causal-Inference/data/configs/FINAL/synth/generation_spec.yaml,confounding_strong_10,confounding_strong_10,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/FINAL/Synthetic/confounding_strong_10
