time_index,observed_value,sample_mean,sample_std,abs_error,squared_error,q025,q500,q975,in_95_interval,num_finite_samples
0,-1.0,-0.9440942269409422,0.0047591202016526455,0.05590577305905775,0.0031254554613308672,-0.9527040477770405,-0.9439283344392834,-0.9369940278699402,False,8
1,-0.9993364299933643,-0.9414399469143995,0.004485237503183724,0.05789648307896478,0.0033520027529128547,-0.947976111479761,-0.942601194426012,-0.934422694094227,False,8
2,-0.9900464499004645,-0.9349701393497014,0.005688927737054501,0.05507631055076312,0.003033399983884101,-0.942120106171201,-0.9356337093563372,-0.924220305242203,False,8
3,-0.9435965494359655,-0.9172196416721964,0.008776638398414933,0.02637690776376911,0.0006957412631783831,-0.9323324485733244,-0.9170537491705375,-0.9064366290643663,False,8
4,-0.8102189781021898,-0.7907266091572661,0.005925289100758462,0.019492368944923677,0.000379952447085025,-0.7988221632382216,-0.7906436629064366,-0.7804246848042469,False,8
5,-0.6980756469807564,-0.6946748506967485,0.011571819532401276,0.003400796284007912,1.1565415365322022e-05,-0.713420703384207,-0.688122096881221,-0.684256801592568,True,8
6,-0.6456536164565362,-0.6482249502322495,0.01091586527222169,0.0025713337757132804,6.611757386123914e-06,-0.6647810218978102,-0.6443264764432648,-0.6336595885865959,True,8
7,-0.621765096217651,-0.6421698739216988,0.013626430686486142,0.020404777704047805,0.00041635495315160643,-0.6625746516257466,-0.6446582614465826,-0.6190942269409423,True,8
8,-0.6330457863304578,-0.6315527538155276,0.012938551672223247,0.0014930325149302703,2.229146090639008e-06,-0.6494027869940279,-0.6280690112806901,-0.6163735899137359,True,8
9,-0.6164565361645654,-0.6198573324485733,0.010701995165733242,0.003400796284007912,1.1565415365322022e-05,-0.6343895155938951,-0.6217650962176509,-0.599369608493696,True,8
10,-0.617120106171201,-0.6293961512939615,0.012383183547791311,0.012276045122760482,0.00015070128385605142,-0.6499668214996682,-0.6284007962840079,-0.6145819508958195,True,8
11,-0.6376907763769077,-0.6559389515593896,0.016405753570107633,0.018248175182481896,0.0003329958974905482,-0.6754810882548109,-0.6589250165892502,-0.6271234240212343,True,8
12,-0.641672196416722,-0.6626575978765759,0.017631298262926202,0.020985401459853836,0.0004403870744312355,-0.6851692103516921,-0.6635700066357,-0.6348540145985401,True,8
13,-0.6854678168546782,-0.6850530856005308,0.010144906337584811,0.00041473125414737133,1.720020131666515e-07,-0.7,-0.6854678168546782,-0.6696914399469144,True,8
14,-0.7040477770404777,-0.7048772395487723,0.006683223980916937,0.0008294625082946316,6.880080526664218e-07,-0.7154943596549436,-0.7047113470471135,-0.6955706702057067,True,8
15,-0.7352355673523556,-0.7461015262110153,0.00856839187362674,0.010865958858659708,0.00011806906191808538,-0.7632050431320504,-0.7451891174518912,-0.7375746516257465,False,8
16,-0.7259455872594559,-0.7402952886529529,0.013883279726148815,0.014349701393497005,0.0002059139300825299,-0.7518248175182481,-0.7465162574651626,-0.7124419376244194,True,8
17,-0.7584605175846052,-0.7452720637027206,0.010986230139555084,0.01318845388188461,0.00017393531579459724,-0.7608161911081619,-0.7485069674850697,-0.7281187790311877,True,8
18,-0.6721964167219642,-0.6602521566025216,0.012356486031543521,0.011944260119442607,0.00014266534980090712,-0.682100199071002,-0.6599203715992037,-0.6443596549435965,True,8
19,-0.6529528865295289,-0.6394326476443266,0.011304755449932815,0.013520238885202263,0.00018279685951293532,-0.6554578633045787,-0.6403450564034505,-0.6242203052422031,True,8
20,-0.5600530856005309,-0.552007299270073,0.013761830425400636,0.008045786330457938,6.47346776753838e-05,-0.5770570670205707,-0.5484406104844062,-0.5336098208360982,True,8
21,-0.42800265428002654,-0.4085932315859323,0.01851690290320799,0.019409422694094236,0.00037672568931802037,-0.433792302587923,-0.4107498341074983,-0.3772063702720637,True,8
22,-0.45786330457863306,-0.4397810218978102,0.019185523401161877,0.018082282680822848,0.0003269689469491859,-0.47140013271400133,-0.43795620437956206,-0.41473125414731254,True,8
23,-0.44990046449900467,-0.4168049104180491,0.015850982958581675,0.03309555408095555,0.0010953156999254535,-0.43757465162574655,-0.41771731917717314,-0.3956038487060385,False,8
24,-0.42203052422030524,-0.4204545454545454,0.012099637743622145,0.0015759787657598223,2.4837090701258527e-06,-0.4348374253483742,-0.4233576642335766,-0.39827471798274716,True,8
25,-0.41274054412740546,-0.4399469143994692,0.01960060449600787,0.02720637027206374,0.0007401865833806336,-0.4641672196416722,-0.44625082946250827,-0.40628732581287325,True,8
26,-0.45985401459854014,-0.46109820836098203,0.017595361423379696,0.001244193762441892,1.548018118499311e-06,-0.4808228268082283,-0.46648971466489714,-0.4298606502986065,True,8
27,-0.4804246848042468,-0.48133709356337095,0.015153306159957783,0.0009124087591241281,8.324897437264313e-07,-0.5025713337757133,-0.47876575978765756,-0.45572329130723294,True,8
28,-0.46582614465826144,-0.47163238221632386,0.013048687017239843,0.0058062375580624215,3.371239458065467e-05,-0.48832116788321167,-0.4747843397478434,-0.44961844724618444,True,8
29,-0.43861977438619776,-0.43571665560716655,0.015911633583661742,0.0029031187790312107,8.428098645163667e-06,-0.45248838752488385,-0.44160583941605835,-0.4039980092899801,True,8
