category,name,estimate,true,squared_error
scalar,beta,-0.29423991442035635,-0.3,3.317858588481857e-05
scalar,xi,0.8382120423036779,0.8,0.0014601601770180624
scalar,eta,0.2906757854160002,0.3,8.694097760847439e-05
metric,final_loss,0.5279306008563115,,
metric,field_rmse,0.23036386346974136,,
metric,interaction_fro_error,0.2895333278826812,,
metric,penalized_objective,0.5286986273024215,,
metric,mple_loss_without_penalty,0.5279306008563115,,
metric,lambda_uv_ridge,0.005,,
metric,u_frobenius_norm,230.73822677925648,,
metric,v_frobenius_norm,1.0,,
metric,effective_rank,1.0,,
latent_diagnostic,estimated_field_max_abs_entry,1.3866319168007184,,
latent_diagnostic,estimated_field_rank,1.0,1.0,
latent_diagnostic,true_field_max_abs_entry,0.6094569926029922,,
latent_diagnostic,true_field_rank,1.0,,
