category,name,estimate,true,squared_error
scalar,beta,-0.07483121618671713,-0.3,0.050700981203952916
scalar,xi,0.9166455088744119,0.8,0.013606174740570489
scalar,eta,0.314202717421435,0.3,0.0002017171821531341
metric,final_loss,0.5327718855174831,,
metric,field_rmse,0.5450338944049473,,
metric,interaction_fro_error,1.2905828985705594,,
metric,penalized_objective,0.5353330839229001,,
metric,mple_loss_without_penalty,0.5327718855174831,,
metric,lambda_uv_ridge,0.005,,
metric,u_frobenius_norm,383.75914277970276,,
metric,v_frobenius_norm,2.2360679774997907,,
metric,effective_rank,5.0,,
latent_diagnostic,estimated_field_max_abs_entry,16.728222068882143,,
latent_diagnostic,estimated_field_rank,5.0,5.0,
latent_diagnostic,true_field_max_abs_entry,3.00588959115821,,
latent_diagnostic,true_field_rank,5.0,,
