category,name,estimate,true,squared_error
scalar,beta,-0.047963617855277835,-0.3,0.06352233792460041
scalar,xi,0.8632261810800029,0.8,0.003997549973961315
scalar,eta,0.266518582080744,0.3,0.0011210053458838743
metric,final_loss,0.630879508962633,,
metric,field_rmse,0.4999999999999999,,
metric,interaction_fro_error,0.6995436758017979,,
latent_diagnostic,estimated_field_max_abs_entry,0.0,,
latent_diagnostic,estimated_field_rank,0.0,0.0,
latent_diagnostic,true_field_max_abs_entry,2.939160724000868,,
latent_diagnostic,true_field_rank,5.0,,
