time_index,sample_mean,sample_std,q025,q500,q975,num_finite_samples
0,-0.1695,0.04643005492135455,-0.24029999999999999,-0.176,-0.0943,8
1,-0.213,0.03824918299781054,-0.27559999999999996,-0.212,-0.1498,8
2,-0.2475,0.03313231051405861,-0.29059999999999997,-0.238,-0.20350000000000001,8
3,-0.2605,0.04531831859193366,-0.3186,-0.248,-0.20679999999999998,8
4,-0.312,0.029189039038652855,-0.3624,-0.308,-0.2741,8
5,-0.258,0.02884441020371192,-0.31420000000000003,-0.254,-0.2228,8
6,-0.276,0.015999999999999986,-0.292,-0.28,-0.2527,8
7,-0.32899999999999996,0.03988734135035825,-0.3779,-0.33799999999999997,-0.2661,8
8,-0.29050000000000004,0.035380079140668985,-0.33930000000000005,-0.28800000000000003,-0.248,8
9,-0.28400000000000003,0.019999999999999993,-0.3172,-0.276,-0.2607,8
10,-0.1775,0.03267644411498901,-0.2389,-0.174,-0.13219999999999998,8
11,-0.33349999999999996,0.03486760674322228,-0.4003,-0.326,-0.2908,8
12,-0.275,0.02861817604250837,-0.3205,-0.274,-0.2374,8
13,-0.192,0.06006662967072482,-0.2852,-0.186,-0.1129,8
14,-0.278,0.03334666400106613,-0.3153,-0.278,-0.22039999999999998,8
15,-0.1955,0.033312910410229844,-0.23529999999999998,-0.2,-0.1395,8
16,-0.23049999999999998,0.04560427611529427,-0.2925,-0.22999999999999998,-0.1493,8
17,-0.193,0.032969683043669075,-0.24710000000000001,-0.194,-0.14609999999999998,8
18,-0.29400000000000004,0.013711309200802088,-0.3172,-0.294,-0.2741,8
19,-0.21100000000000002,0.03404408906109841,-0.2697,-0.212,-0.1654,8
20,-0.2995,0.02866618216644832,-0.3544,-0.286,-0.276,8
21,-0.2355,0.026565955657570455,-0.28099999999999997,-0.238,-0.20070000000000002,8
22,-0.2375,0.0445841900229218,-0.2873,-0.24,-0.15589999999999998,8
23,-0.2445,0.03270703288285258,-0.2833,-0.252,-0.1901,8
24,-0.251,0.03691882988394946,-0.3151,-0.246,-0.2028,8
25,-0.1995,0.025014995502697982,-0.249,-0.192,-0.1734,8
26,-0.2955,0.043379142453487944,-0.3537,-0.304,-0.2171,8
27,-0.199,0.031543620591175006,-0.2424,-0.208,-0.1423,8
28,-0.2755,0.033132310514058634,-0.3304,-0.27,-0.2367,8
29,-0.30000000000000004,0.039749213828703577,-0.3419,-0.316,-0.23270000000000002,8
30,-0.249,0.048155996511338034,-0.3224,-0.252,-0.1894,8
31,-0.28300000000000003,0.03433656942677879,-0.3139,-0.292,-0.21139999999999998,8
32,-0.268,0.02690724809414742,-0.3151,-0.266,-0.2308,8
33,-0.23349999999999999,0.04098475326264635,-0.2859,-0.23199999999999998,-0.17479999999999998,8
34,-0.3205,0.027381563140186138,-0.36,-0.322,-0.28469999999999995,8
35,-0.28700000000000003,0.03626292872893749,-0.3509,-0.28800000000000003,-0.2343,8
36,-0.29100000000000004,0.025436194683953806,-0.3226,-0.298,-0.2567,8
37,-0.28600000000000003,0.027422618401604173,-0.3179,-0.292,-0.2324,8
38,-0.2965,0.05308248298638638,-0.3709,-0.304,-0.1994,8
39,-0.31899999999999995,0.031096623610932426,-0.3513,-0.334,-0.2623,8
40,-0.22699999999999998,0.03691882988394946,-0.28259999999999996,-0.226,-0.1814,8
41,-0.23049999999999998,0.03230711995830022,-0.2725,-0.24,-0.17479999999999998,8
42,-0.265,0.027549954627911818,-0.296,-0.268,-0.2188,8
43,-0.31799999999999995,0.02973213749463701,-0.3626,-0.316,-0.28140000000000004,8
44,-0.31799999999999995,0.032372828112477284,-0.36519999999999997,-0.308,-0.2722,8
45,-0.23299999999999998,0.03474190553208042,-0.2982,-0.228,-0.1868,8
46,-0.33299999999999996,0.0239791576165636,-0.3758,-0.328,-0.304,8
47,-0.3245,0.046365396579777035,-0.3779,-0.324,-0.23609999999999998,8
48,-0.3125,0.0346662660233259,-0.3553,-0.312,-0.2555,8
49,-0.2975,0.024974987487484362,-0.324,-0.302,-0.24839999999999998,8
