time_index,sample_mean,sample_std,q025,q500,q975,num_finite_samples
0,0.2435,0.03797038319532738,0.17120000000000002,0.25,0.2833,8
1,0.2365,0.04415597354832072,0.1736,0.22999999999999998,0.2946,8
2,0.22949999999999998,0.03316247879758086,0.1847,0.226,0.28049999999999997,8
3,0.178,0.02979932885150268,0.1355,0.18,0.2238,8
4,0.20800000000000002,0.012328828005937955,0.1868,0.208,0.2266,8
5,0.3225,0.052227866125278376,0.2463,0.31,0.4005,8
6,0.253,0.02260530911091464,0.2174,0.262,0.276,8
7,0.269,0.03315116890850155,0.2268,0.258,0.32,8
8,0.29350000000000004,0.03440566813767755,0.2329,0.302,0.33390000000000003,8
9,0.183,0.03479942528261063,0.123,0.184,0.2358,8
10,0.301,0.033749074061372404,0.2402,0.312,0.3438,8
11,0.236,0.02645751311064591,0.1922,0.248,0.2659,8
12,0.227,0.03824918299781056,0.17809999999999998,0.218,0.27930000000000005,8
13,0.2645,0.030753048629363556,0.2214,0.27,0.3026,8
14,0.22499999999999998,0.03210918871600465,0.1618,0.236,0.2546,8
15,0.32199999999999995,0.022627416997969513,0.2783,0.324,0.3473,8
16,0.2985,0.011821590417536887,0.2781,0.3,0.3153,8
17,0.253,0.039230090491866064,0.18109999999999998,0.264,0.3038,8
18,0.16799999999999998,0.022891046284519198,0.1308,0.18,0.1946,8
19,0.253,0.051720402163943004,0.1599,0.26,0.316,8
20,0.2405,0.029219000667373964,0.2087,0.23199999999999998,0.2899,8
21,0.3035,0.03580153627988609,0.2621,0.286,0.3593,8
22,0.31899999999999995,0.04663689526544407,0.2595,0.312,0.40099999999999997,8
23,0.2595,0.059881132253824326,0.1927,0.252,0.36810000000000004,8
24,0.2785,0.03810183722604463,0.22820000000000001,0.27,0.3299,8
25,0.30600000000000005,0.028142494558940582,0.2536,0.31,0.33930000000000005,8
26,0.346,0.029732137494637018,0.29169999999999996,0.352,0.38970000000000005,8
27,0.263,0.03803945320322046,0.1969,0.27,0.3099,8
28,0.2545,0.03463740752423599,0.21409999999999998,0.244,0.3118,8
29,0.266,0.027055498516937355,0.22540000000000002,0.264,0.3,8
30,0.254,0.014966629547095772,0.2275,0.256,0.2746,8
31,0.259,0.04723346271447818,0.1974,0.262,0.3186,8
32,0.20900000000000002,0.03536947836765479,0.151,0.214,0.2591,8
33,0.2025,0.015483862567202019,0.18209999999999998,0.202,0.2311,8
34,0.3285,0.055006817759255984,0.2541,0.33,0.4279,8
35,0.252,0.023748684174075836,0.2247,0.244,0.2833,8
36,0.2015,0.03709110405474607,0.1418,0.198,0.26430000000000003,8
37,0.194,0.03487119154832539,0.1574,0.182,0.2558,8
38,0.271,0.025903667693977235,0.2294,0.274,0.3026,8
39,0.1525,0.03367120431466626,0.1207,0.134,0.2111,8
40,0.321,0.023043437243605813,0.2802,0.324,0.3513,8
41,0.26,0.046432747064975605,0.1842,0.266,0.33020000000000005,8
42,0.31099999999999994,0.031288975694324025,0.2748,0.298,0.3645,8
43,0.2625,0.03230711995830022,0.20959999999999998,0.27,0.3078,8
44,0.218,0.03255764119219941,0.1767,0.218,0.2763,8
45,0.1845,0.027816362091402255,0.1475,0.178,0.2306,8
46,0.2795,0.034896274872828474,0.23220000000000002,0.274,0.3372,8
47,0.254,0.02315167380558045,0.2294,0.248,0.301,8
48,0.2435,0.04197320573889967,0.1887,0.242,0.313,8
49,0.2585,0.03682051058852932,0.2089,0.248,0.3146,8
