time_index,sample_mean,sample_std,q025,q500,q975,num_finite_samples
0,-0.1795,0.04415597354832073,-0.2537,-0.166,-0.11950000000000001,8
1,-0.2235,0.053644664226743,-0.2951,-0.23399999999999999,-0.13169999999999998,8
2,-0.264,0.043863424398922615,-0.345,-0.248,-0.22,8
3,-0.24000000000000002,0.0706257743320383,-0.3544,-0.226,-0.168,8
4,-0.242,0.06046486583132389,-0.3165,-0.264,-0.1548,8
5,-0.251,0.03386738844375219,-0.2953,-0.252,-0.2002,8
6,-0.2495,0.05881963957727044,-0.3455,-0.246,-0.15139999999999998,8
7,-0.2555,0.052093665641803316,-0.3398,-0.244,-0.1785,8
8,-0.2535,0.031933524703671536,-0.3038,-0.242,-0.2082,8
9,-0.2465,0.05476997352564633,-0.3137,-0.266,-0.1432,8
10,-0.2305,0.04987734956871707,-0.313,-0.22,-0.1647,8
11,-0.249,0.05365631370118525,-0.3226,-0.238,-0.1651,8
12,-0.24150000000000002,0.04685883054451956,-0.3019,-0.238,-0.18209999999999998,8
13,-0.2315,0.05661934298453135,-0.3446,-0.202,-0.1847,8
14,-0.256,0.04613025037868319,-0.3172,-0.256,-0.1856,8
15,-0.23650000000000002,0.030360335966520536,-0.27530000000000004,-0.23,-0.19340000000000002,8
16,-0.2145,0.047029246219772655,-0.2765,-0.21000000000000002,-0.1371,8
17,-0.21900000000000003,0.04453088815642464,-0.2786,-0.22,-0.16140000000000002,8
18,-0.2545,0.04967645317451721,-0.332,-0.238,-0.1858,8
19,-0.274,0.03867815921162743,-0.32380000000000003,-0.28,-0.2056,8
20,-0.237,0.059422218066982314,-0.3392,-0.244,-0.1515,8
21,-0.238,0.0661513416341649,-0.3066,-0.254,-0.11069999999999999,8
22,-0.248,0.06393746945258312,-0.3457,-0.24,-0.1588,8
23,-0.24,0.042426406871192854,-0.2965,-0.24,-0.1736,8
24,-0.2525,0.04442690626185892,-0.2986,-0.268,-0.188,8
25,-0.2445,0.03101209441492141,-0.2885,-0.252,-0.1967,8
26,-0.2865,0.04237629054082011,-0.3584,-0.28,-0.227,8
27,-0.241,0.05701754116059373,-0.2958,-0.254,-0.12379999999999998,8
28,-0.242,0.0501597448159378,-0.3066,-0.238,-0.1604,8
29,-0.2535,0.04529624708516149,-0.3271,-0.248,-0.1941,8
30,-0.2445,0.03875241927931726,-0.2932,-0.256,-0.1901,8
31,-0.227,0.038039453203220476,-0.2751,-0.236,-0.15639999999999998,8
32,-0.2485,0.028173569173961608,-0.29059999999999997,-0.242,-0.2127,8
33,-0.269,0.045464271686677216,-0.358,-0.262,-0.2221,8
34,-0.276,0.03046309242345563,-0.3099,-0.29,-0.2275,8
35,-0.272,0.049030602688525056,-0.3299,-0.29,-0.18439999999999998,8
36,-0.266,0.049598387070548984,-0.32780000000000004,-0.28,-0.18419999999999997,8
37,-0.256,0.04791659420284375,-0.3106,-0.258,-0.1863,8
38,-0.2485,0.05697148409511551,-0.3377,-0.25,-0.1661,8
39,-0.27149999999999996,0.055657434364153,-0.35059999999999997,-0.262,-0.212,8
40,-0.28700000000000003,0.049547956567349984,-0.3728,-0.28,-0.21239999999999998,8
41,-0.26,0.0462601340248815,-0.33959999999999996,-0.26,-0.1969,8
42,-0.273,0.03897435053981015,-0.3259,-0.278,-0.2155,8
43,-0.264,0.019183326093250876,-0.2913,-0.266,-0.2367,8
44,-0.23149999999999998,0.03844151401805085,-0.2899,-0.22999999999999998,-0.1729,8
45,-0.242,0.025612496949731393,-0.2885,-0.236,-0.2127,8
46,-0.252,0.03954743986657038,-0.3184,-0.246,-0.1974,8
47,-0.245,0.025514701644346154,-0.2706,-0.246,-0.19379999999999997,8
48,-0.26,0.049598387070548984,-0.3372,-0.246,-0.20070000000000002,8
49,-0.2415,0.046986700245920665,-0.2998,-0.258,-0.172,8
