unit_index,sample_mean,sample_std,q025,q500,q975,num_finite_samples
0,-0.18500000000000003,0.10758717395675008,-0.313,-0.2,-0.006999999999999993,8
1,-0.145,0.12639224659764536,-0.306,-0.18,0.06600000000000002,8
2,-0.41000000000000003,0.18734993995195195,-0.633,-0.42000000000000004,-0.07499999999999996,8
3,-0.15000000000000002,0.07416198487095663,-0.24,-0.16,-0.04699999999999999,8
4,-0.30000000000000004,0.16492422502470644,-0.546,-0.24000000000000002,-0.06799999999999998,8
5,-0.125,0.10087120500916007,-0.299,-0.12,0.026000000000000016,8
6,-0.375,0.12951833846988617,-0.579,-0.38,-0.174,8
7,-0.14,0.1341640786499874,-0.353,-0.12,0.059000000000000025,8
8,-0.06,0.18439088914585774,-0.32,-0.04,0.153,8
9,-0.16499999999999998,0.1255985668708047,-0.353,-0.14,0.0,8
10,-0.36,0.22181073012818833,-0.699,-0.34,-0.027999999999999973,8
11,-0.45,0.15459624833740307,-0.673,-0.42000000000000004,-0.22099999999999997,8
12,-0.25,0.08185352771872449,-0.32,-0.28,-0.09399999999999999,8
13,-0.425,0.09578622030334008,-0.586,-0.4,-0.32,8
14,-0.41500000000000004,0.16725728683677732,-0.652,-0.46,-0.167,8
15,-0.22499999999999998,0.16116761461286197,-0.492,-0.2,-0.04,8
16,-0.275,0.10087120500916007,-0.426,-0.30000000000000004,-0.127,8
17,-0.345,0.08231038816577163,-0.44,-0.36,-0.214,8
18,-0.42500000000000004,0.09785192895390464,-0.56,-0.42000000000000004,-0.28700000000000003,8
19,-0.16499999999999998,0.15419143945109276,-0.445,-0.14,0.05200000000000003,8
20,-0.21000000000000002,0.17291616465790582,-0.393,-0.26,0.11800000000000005,8
21,-0.35,0.16340134638368192,-0.612,-0.36,-0.09399999999999999,8
22,-0.32,0.17204650534085253,-0.612,-0.3,-0.12,8
23,-0.285,0.1255985668708047,-0.473,-0.26,-0.10099999999999998,8
24,-0.165,0.1713913650100261,-0.426,-0.14,0.04,8
25,-0.29000000000000004,0.07937253933193772,-0.426,-0.28,-0.174,8
26,-0.315,0.1377497731395591,-0.48,-0.34,-0.12,8
27,-0.14500000000000002,0.1522333734763833,-0.346,-0.16,0.09900000000000002,8
28,-0.375,0.1340708767779192,-0.513,-0.42000000000000004,-0.13399999999999998,8
29,-0.35,0.13674794331177342,-0.586,-0.33999999999999997,-0.2,8
30,-0.265,0.16844880527923017,-0.539,-0.26,0.005000000000000032,8
31,-0.095,0.19176808910765106,-0.405,-0.060000000000000005,0.12,8
32,-0.045,0.06461423991660042,-0.153,-0.02,0.03300000000000001,8
33,-0.175,0.06910137480542627,-0.273,-0.16,-0.087,8
34,-0.235,0.046636895265444074,-0.313,-0.24,-0.167,8
35,-0.16,0.18867962264113208,-0.36,-0.2,0.19800000000000004,8
36,-0.30000000000000004,0.132664991614216,-0.506,-0.3,-0.127,8
37,-0.315,0.15419143945109276,-0.546,-0.30000000000000004,-0.06799999999999998,8
38,-0.13,0.10344080432788601,-0.299,-0.12,0.026000000000000016,8
39,-0.27,0.1915724406066802,-0.513,-0.28,0.04500000000000003,8
40,-0.305,0.14551632210855248,-0.473,-0.30000000000000004,-0.041999999999999954,8
41,-0.32,0.1264911064067352,-0.532,-0.33999999999999997,-0.13399999999999998,8
42,-0.255,0.14274102423620197,-0.499,-0.18,-0.09399999999999999,8
43,-0.18,0.0916515138991168,-0.33899999999999997,-0.2,-0.08,8
44,-0.355,0.1362901317043901,-0.546,-0.36,-0.13399999999999998,8
45,-0.29500000000000004,0.1295183384698862,-0.499,-0.32,-0.127,8
46,-0.21000000000000002,0.16583123951777,-0.4,-0.22000000000000003,0.05200000000000003,8
47,-0.155,0.16301840386901106,-0.353,-0.18,0.10600000000000001,8
48,-0.30000000000000004,0.128062484748657,-0.499,-0.30000000000000004,-0.127,8
49,-0.355,0.15288884851420656,-0.553,-0.33999999999999997,-0.10099999999999998,8
50,-0.35500000000000004,0.1448274835796024,-0.513,-0.4,-0.09399999999999999,8
51,-0.165,0.18914280319377738,-0.4,-0.14,0.04,8
52,-0.39,0.09327379053088816,-0.539,-0.4,-0.247,8
53,-0.24,0.11489125293076058,-0.419,-0.24,-0.06099999999999998,8
54,-0.255,0.06304760106459247,-0.32,-0.26,-0.16,8
55,-0.235,0.1678541033159452,-0.492,-0.24,0.06400000000000006,8
56,-0.13,0.07937253933193772,-0.266,-0.12,-0.04,8
57,-0.10500000000000001,0.07193747284969079,-0.252,-0.08,-0.04,8
58,-0.24000000000000002,0.09797958971132713,-0.346,-0.26,-0.041999999999999954,8
59,-0.325,0.14062361110425234,-0.605,-0.28,-0.174,8
60,-0.29500000000000004,0.17428425057933378,-0.553,-0.28,-0.053999999999999986,8
61,-0.04000000000000001,0.21071307505705478,-0.45,0.0,0.21900000000000003,8
62,-0.155,0.11034038245356956,-0.306,-0.15999999999999998,-0.006999999999999993,8
63,-0.25,0.15198684153570666,-0.4,-0.32,0.0,8
64,-0.32,0.14966629547095767,-0.553,-0.30000000000000004,-0.10099999999999998,8
65,-0.16,0.132664991614216,-0.346,-0.18,0.059000000000000025,8
66,-0.185,0.0998749217771909,-0.313,-0.2,-0.013999999999999986,8
67,-0.37,0.15716233645501712,-0.586,-0.33999999999999997,-0.174,8
68,-0.265,0.1455163221085525,-0.499,-0.24,-0.027999999999999973,8
69,-0.41500000000000004,0.09578622030334008,-0.52,-0.4,-0.235,8
70,-0.30000000000000004,0.12806248474865697,-0.46599999999999997,-0.30000000000000004,-0.06799999999999998,8
71,-0.25,0.16703293088490068,-0.499,-0.28,0.03800000000000005,8
72,-0.32999999999999996,0.1307669683062202,-0.52,-0.33999999999999997,-0.167,8
73,-0.265,0.2097021697551077,-0.593,-0.24,0.04500000000000003,8
74,-0.275,0.11565033506220378,-0.426,-0.32,-0.12,8
75,-0.395,0.1462019151721345,-0.645,-0.4,-0.2,8
76,-0.22,0.1371130920080209,-0.45199999999999996,-0.22,-0.04,8
77,-0.14,0.10770329614269007,-0.306,-0.12,-0.006999999999999993,8
78,-0.325,0.13481468762712764,-0.433,-0.38,-0.041999999999999954,8
79,-0.11,0.19874606914351792,-0.393,-0.12,0.16,8
80,-0.36,0.12649110640673517,-0.513,-0.36,-0.174,8
81,-0.27499999999999997,0.15803480629279107,-0.473,-0.28,-0.013999999999999986,8
82,-0.33999999999999997,0.07745966692414832,-0.46599999999999997,-0.33999999999999997,-0.214,8
83,-0.27999999999999997,0.14422205101855956,-0.506,-0.28,-0.06099999999999998,8
84,-0.21000000000000002,0.12124355652982141,-0.386,-0.22,-0.013999999999999986,8
85,-0.33999999999999997,0.15491933384829668,-0.579,-0.32,-0.10099999999999998,8
86,-0.35500000000000004,0.16178689687363437,-0.553,-0.38,-0.087,8
87,-0.32,0.24166091947189144,-0.56,-0.38,0.15100000000000005,8
88,-0.255,0.16363068171953574,-0.525,-0.26,-0.013999999999999986,8
89,-0.29500000000000004,0.16963195453687374,-0.539,-0.33999999999999997,-0.08,8
90,-0.045,0.14482748357960237,-0.24,0.0,0.17200000000000004,8
91,-0.23,0.15968719422671313,-0.5509999999999999,-0.18,-0.053999999999999986,8
92,-0.325,0.18159019797334877,-0.56,-0.32,-0.08,8
93,-0.18500000000000003,0.11302654555457316,-0.32,-0.2,-0.04,8
94,-0.41000000000000003,0.14106735979665885,-0.586,-0.44,-0.14799999999999996,8
95,-0.21,0.18520259177452134,-0.426,-0.28,0.10600000000000001,8
96,-0.33499999999999996,0.15483862567202022,-0.579,-0.30000000000000004,-0.10099999999999998,8
97,-0.175,0.11302654555457314,-0.353,-0.18,-0.04,8
98,-0.030000000000000002,0.1260952021291849,-0.23299999999999998,-0.02,0.14600000000000002,8
99,-0.355,0.11565033506220378,-0.539,-0.33999999999999997,-0.2,8
100,-0.155,0.12718097341976903,-0.306,-0.2,0.06600000000000002,8
101,-0.22500000000000003,0.18540496217739158,-0.433,-0.24000000000000002,0.13700000000000007,8
102,-0.28500000000000003,0.11736694594305502,-0.4,-0.30000000000000004,-0.06799999999999998,8
103,-0.365,0.12072696467649636,-0.586,-0.32,-0.24,8
104,-0.16,0.11661903789690602,-0.346,-0.16,0.026000000000000016,8
105,-0.345,0.08703447592764604,-0.46599999999999997,-0.36,-0.207,8
106,-0.46,0.11832159566199232,-0.633,-0.44,-0.32,8
107,-0.315,0.1066536450385077,-0.499,-0.3,-0.2,8
108,-0.155,0.15157506391224118,-0.379,-0.16,0.09900000000000002,8
109,-0.29500000000000004,0.1522333734763833,-0.473,-0.32,-0.087,8
110,-0.28,0.07211102550927978,-0.36,-0.28,-0.167,8
111,-0.33999999999999997,0.17088007490635063,-0.612,-0.36,-0.127,8
112,-0.33,0.1053565375285274,-0.499,-0.33999999999999997,-0.2,8
113,-0.095,0.07984359711335656,-0.2,-0.07999999999999999,0.0,8
114,-0.35,0.17175564037317667,-0.6,-0.28,-0.16,8
115,-0.435,0.12559856687080467,-0.6,-0.44,-0.28,8
116,-0.275,0.19332614929181205,-0.553,-0.24000000000000002,0.03800000000000005,8
117,-0.42000000000000004,0.08944271909999159,-0.52,-0.42000000000000004,-0.28700000000000003,8
118,-0.13,0.20273134932713294,-0.426,-0.1,0.153,8
119,-0.2,0.10392304845413265,-0.386,-0.16,-0.087,8
120,-0.25,0.19157244060668016,-0.579,-0.16,-0.04699999999999999,8
121,-0.23500000000000001,0.11034038245356956,-0.386,-0.24,-0.087,8
122,-0.24,0.12806248474865697,-0.433,-0.22,-0.08,8
123,-0.28,0.0938083151964686,-0.433,-0.26,-0.167,8
124,-0.31999999999999995,0.0938083151964686,-0.44,-0.26,-0.24,8
125,-0.35,0.15968719422671313,-0.645,-0.33999999999999997,-0.16,8
126,-0.32000000000000006,0.10954451150103323,-0.46599999999999997,-0.33999999999999997,-0.13399999999999998,8
127,-0.32,0.14966629547095767,-0.546,-0.32,-0.06799999999999998,8
128,-0.26,0.10770329614269007,-0.45899999999999996,-0.24,-0.127,8
129,-0.19,0.13820274961085255,-0.386,-0.2,0.05200000000000003,8
130,-0.155,0.18914280319377738,-0.393,-0.13999999999999999,0.13200000000000003,8
131,-0.25,0.11445523142259598,-0.4,-0.26,-0.087,8
