unit_index,sample_mean,sample_std,q025,q500,q975,num_finite_samples
0,0.33,0.12767145334803706,0.108,0.33999999999999997,0.532,8
1,0.2,0.22181073012818833,-0.243,0.26,0.452,8
2,0.19,0.20856653614614212,-0.17200000000000001,0.22,0.433,8
3,0.31,0.1260952021291849,0.101,0.33999999999999997,0.49900000000000005,8
4,0.27,0.19570385790780928,-0.11099999999999999,0.36,0.466,8
5,0.21500000000000002,0.13991068579633223,-0.045,0.22,0.393,8
6,0.135,0.14133294025102572,-0.08,0.18,0.28,8
7,0.255,0.14823967080373593,0.087,0.18,0.473,8
8,0.26,0.14832396974191325,0.047,0.26,0.49900000000000005,8
9,0.275,0.08817596044274198,0.108,0.28,0.393,8
10,0.29500000000000004,0.11302654555457314,0.101,0.30000000000000004,0.466,8
11,0.265,0.16844880527923017,0.047,0.26,0.506,8
12,0.335,0.2226544407821232,0.007000000000000001,0.38,0.652,8
13,0.21999999999999997,0.2720294101747089,-0.243,0.22,0.657,8
14,0.24,0.1341640786499874,0.12,0.18,0.459,8
15,0.31,0.14106735979665885,0.061,0.36,0.44,8
16,0.19,0.2224859546128699,-0.153,0.2,0.44,8
17,0.275,0.11213830746002902,0.087,0.32,0.393,8
18,0.265,0.16240381768911713,0.08,0.26,0.473,8
19,0.36,0.1216552506059644,0.24,0.33999999999999997,0.5980000000000001,8
20,0.22,0.17549928774784243,-0.026,0.18,0.466,8
21,0.245,0.19640519341402357,0.0,0.28,0.5910000000000001,8
22,0.255,0.16844880527923017,-0.097,0.30000000000000004,0.4,8
23,0.33,0.13820274961085255,0.07500000000000001,0.32,0.506,8
24,0.23,0.14387494569938158,0.054,0.18,0.473,8
25,0.26,0.16852299546352717,0.021,0.26,0.513,8
26,0.37,0.2007485989988473,0.101,0.30000000000000004,0.64,8
27,0.18,0.1673320053068151,-0.08499999999999999,0.16,0.426,8
28,0.29000000000000004,0.22605309110914631,0.007000000000000001,0.32,0.619,8
29,0.09,0.1396424004376894,-0.132,0.08,0.325,8
30,0.29500000000000004,0.1263922465976454,0.127,0.32,0.466,8
31,0.2,0.20784609690826528,-0.11299999999999999,0.26,0.49200000000000005,8
32,0.30500000000000005,0.11478240283248996,0.16,0.32,0.473,8
33,0.25,0.1532970971675589,0.014000000000000002,0.26,0.466,8
34,0.16,0.19390719429665315,-0.186,0.24,0.353,8
35,0.23,0.17860571099491754,0.014000000000000002,0.18,0.539,8
36,0.41000000000000003,0.18083141320025126,0.148,0.4,0.7440000000000001,8
37,0.255,0.15740076238697193,-0.019,0.26,0.44,8
