category,name,estimate,true,squared_error
parameter,field::intercept,-0.09059877158447825,,
parameter,field::total_pop,5.704614886821796,,
parameter,field::black_share,0.2871265186445487,,
parameter,field::hispanic_share,0.26309950920509967,,
parameter,field::male_1521_share,-0.11192172005780493,,
parameter,field::family_household_share,-0.28399018351596855,,
parameter,field::female_household_share,0.20573897089631674,,
parameter,field::renter_share,0.11758255342431728,,
parameter,field::vacant_share,1.5838512847754995,,
parameter,tau::t_0,-0.10596354817557109,,
parameter,tau::t_1,0.023596321191161142,,
parameter,tau::t_2,-0.03175952258235879,,
parameter,tau::t_3,-0.11877787794726109,,
parameter,tau::t_4,-0.07880533106493406,,
parameter,tau::t_5,-0.031007373641334306,,
parameter,tau::t_6,-0.031247762413894896,,
parameter,tau::t_7,-0.0756485614074952,,
parameter,tau::t_8,-0.03447135135689661,,
parameter,tau::t_9,0.030276242941613074,,
parameter,tau::t_10,-0.003665953489226322,,
parameter,tau::t_11,-0.01163381425304233,,
parameter,tau::t_12,0.01938035906702784,,
parameter,tau::t_13,0.03923211489233406,,
parameter,tau::t_14,-0.17782990785009223,,
parameter,beta,0.1656580117663656,,
parameter,interaction::contiguity,2.0522621054142114,,
parameter,eta,0.4055647352146066,,
parameter,zeta,0.6060366333345524,,
parameter,psi,3.525459410573943,,
metric,final_loss,0.3615296510032129,,
