category,name,estimate,true,squared_error
scalar,beta,-0.3083871925808692,-0.3,7.034499938858784e-05
scalar,xi,0.8684745000396756,0.8,0.004688757155683532
scalar,eta,0.3034787740190271,0.3,1.2101868675458178e-05
metric,final_loss,0.5675221795294929,,
metric,field_rmse,0.14841053475490348,,
metric,interaction_fro_error,0.2425874826735822,,
metric,penalized_objective,0.583516577132657,,
metric,mple_loss_without_penalty,0.5675221795294929,,
metric,lambda_uv_ridge,0.5,,
metric,u_frobenius_norm,23.42594135811739,,
metric,v_frobenius_norm,1.7320508075688772,,
metric,effective_rank,3.0,,
latent_diagnostic,estimated_field_max_abs_entry,0.7603909107530697,,
latent_diagnostic,estimated_field_rank,3.0,3.0,
latent_diagnostic,true_field_max_abs_entry,0.0,,
latent_diagnostic,true_field_rank,0.0,,
