time_index,sample_mean,sample_std,q025,q500,q975,num_finite_samples
0,0.29725,0.030812943708772782,0.2375,0.294,0.3475,16
1,0.3715,0.037996710383926664,0.3065,0.366,0.433,16
2,0.3855,0.04163832369344376,0.328,0.402,0.451,16
3,0.42400000000000004,0.042871902220452035,0.3355,0.43,0.484,16
4,0.47824999999999995,0.041736524771475644,0.395,0.488,0.5465,16
5,0.34175,0.03446646921284511,0.295,0.34,0.408,16
6,0.4285,0.04002186902182355,0.361,0.436,0.4875,16
7,0.4725,0.03857136243380574,0.40850000000000003,0.474,0.5425,16
8,0.48675,0.0290764079624702,0.4295,0.488,0.524,16
9,0.44699999999999995,0.039736632972611055,0.385,0.442,0.52,16
10,0.33,0.04101219330881976,0.253,0.322,0.39,16
11,0.4335,0.0448971045837034,0.3545,0.43,0.518,16
12,0.479,0.02896549671592048,0.431,0.48,0.517,16
13,0.37775000000000003,0.033999080869929414,0.3095,0.382,0.4305,16
14,0.34724999999999995,0.035248226905760814,0.294,0.35,0.3985,16
15,0.254,0.026305892875931818,0.20800000000000002,0.246,0.3025,16
16,0.33849999999999997,0.03804931011201123,0.256,0.34199999999999997,0.385,16
17,0.33075,0.0357971716759858,0.2595,0.346,0.3865,16
18,0.42925,0.030650244697228764,0.387,0.422,0.495,16
19,0.335,0.04561797891182818,0.2495,0.336,0.3945,16
20,0.43775,0.054368534098318315,0.3545,0.43,0.539,16
21,0.33149999999999996,0.031650434436196924,0.292,0.332,0.3785,16
22,0.37925,0.034299234685339554,0.3145,0.372,0.433,16
23,0.401,0.04710626285325552,0.3185,0.40800000000000003,0.4735,16
24,0.46149999999999997,0.03431836243179443,0.4165,0.46,0.5369999999999999,16
25,0.30275,0.03775496656070563,0.2405,0.316,0.3555,16
26,0.4325,0.0375466376657085,0.37,0.44,0.488,16
27,0.323,0.03263433774416144,0.263,0.324,0.3765,16
28,0.42075,0.06226104319717105,0.29200000000000004,0.424,0.516,16
29,0.40900000000000003,0.03681032463861191,0.35100000000000003,0.4,0.4825,16
30,0.41025,0.04870254100147137,0.3115,0.40800000000000003,0.49,16
31,0.35124999999999995,0.039222920594978644,0.279,0.354,0.417,16
32,0.2975,0.03893263412614153,0.2285,0.306,0.356,16
33,0.265,0.04306971093471606,0.193,0.276,0.3195,16
34,0.3815,0.04225813531144032,0.3185,0.378,0.4385,16
35,0.3205,0.03906084996515053,0.2335,0.33,0.3725,16
36,0.3975,0.03989674172159927,0.3285,0.402,0.4665,16
37,0.41425,0.03475539526462043,0.357,0.414,0.4755,16
38,0.41825,0.04751775983777014,0.3075,0.434,0.4665,16
39,0.47700000000000004,0.05678908345800274,0.35250000000000004,0.486,0.5485,16
40,0.36175,0.037840950040927884,0.3055,0.358,0.4305,16
41,0.355,0.033,0.298,0.354,0.4075,16
42,0.376,0.033645207682521446,0.32,0.382,0.434,16
43,0.4075,0.03931602726624347,0.343,0.418,0.4715,16
44,0.41450000000000004,0.033162478797580865,0.3485,0.426,0.4555,16
45,0.38625,0.03408720434415236,0.3375,0.384,0.45999999999999996,16
46,0.41975000000000007,0.036013018479433244,0.3535,0.43,0.469,16
47,0.40525,0.05397626793323154,0.32,0.384,0.4965,16
48,0.47650000000000003,0.05401620127332169,0.3815,0.46799999999999997,0.564,16
49,0.4375,0.03804931011201123,0.3595,0.444,0.486,16
