category,name,estimate,true,squared_error
scalar,beta,-0.3306217939195042,-0.3,0.0009376942628485846
scalar,xi,0.939340942917829,0.8,0.019415898373229663
scalar,eta,0.3461376618145429,0.3,0.002128683837713133
metric,final_loss,0.48498228381179254,,
metric,field_rmse,0.7217550370969319,,
metric,interaction_fro_error,0.49364900154383895,,
metric,penalized_objective,0.49170019885320515,,
metric,mple_loss_without_penalty,0.48498228381179254,,
metric,lambda_uv_ridge,0.005,,
metric,u_frobenius_norm,152.242693229916,,
metric,v_frobenius_norm,1.7320508075688776,,
metric,effective_rank,3.0,,
latent_diagnostic,estimated_field_max_abs_entry,11.43228554502136,,
latent_diagnostic,estimated_field_rank,3.0,3.0,
latent_diagnostic,true_field_max_abs_entry,4.175656443338474,,
latent_diagnostic,true_field_rank,3.0,,
