time_index,sample_mean,sample_std,q025,q500,q975,num_finite_samples
0,-0.0135,0.037010133747394106,-0.08449999999999999,-0.016,0.0505,16
1,-0.012,0.0500999001995014,-0.086,-0.022,0.0935,16
2,-0.02725,0.04521545642808441,-0.1215,-0.024,0.041999999999999996,16
3,0.0012500000000000011,0.04951199349652567,-0.083,0.012,0.0835,16
4,0.0035,0.039468341743731775,-0.0465,0.008,0.0755,16
5,0.010499999999999999,0.04664493541639864,-0.079,0.014,0.083,16
6,-0.00375,0.05894860049229328,-0.1215,0.014,0.07350000000000001,16
7,0.017750000000000002,0.04853800057686761,-0.0535,0.014,0.1085,16
8,0.01575,0.07378981975855477,-0.089,0.024,0.126,16
9,-0.0095,0.04113088863615762,-0.077,-0.014,0.0595,16
10,-0.01025,0.04634584663160228,-0.098,-0.016,0.075,16
11,-0.013000000000000001,0.05876223276901584,-0.15,-0.01,0.0665,16
12,-0.0115,0.03298105516808097,-0.082,-0.01,0.032,16
13,-0.0012499999999999994,0.04799414026732847,-0.06899999999999999,0.01,0.07999999999999999,16
14,0.0027499999999999985,0.046275668552707046,-0.079,0.01,0.077,16
15,0.0007499999999999994,0.04893298989434428,-0.093,0.008,0.0815,16
16,0.00675,0.04031671489593367,-0.052,0.012,0.08549999999999999,16
17,0.0155,0.044178614736091484,-0.0455,0.002,0.115,16
18,-0.01725,0.044580685279614084,-0.0835,-0.026000000000000002,0.06849999999999999,16
19,-0.02225,0.04474301621482397,-0.10750000000000001,-0.022,0.0465,16
20,0.00425,0.037827734534333406,-0.04,0.004,0.089,16
21,0.019000000000000003,0.05424942396007538,-0.08399999999999999,0.014,0.1035,16
22,0.014750000000000001,0.03905684959133289,-0.0565,0.018000000000000002,0.06999999999999999,16
23,0.01425,0.057008223091059414,-0.08349999999999999,0.016,0.10049999999999999,16
24,-0.012750000000000001,0.049136926033279696,-0.0885,-0.014,0.076,16
25,0.0085,0.0604462571215125,-0.0875,0.004,0.1085,16
26,-0.003000000000000002,0.03576310948449533,-0.0645,-0.006,0.064,16
27,0.004000000000000002,0.033166247903554,-0.052,0.008,0.060500000000000005,16
28,0.016,0.0531224999411737,-0.065,0.016,0.099,16
29,-0.02625,0.03529783987725028,-0.092,-0.036,0.0225,16
30,-0.0007499999999999972,0.07117891190514224,-0.1205,0.004,0.13899999999999998,16
31,0.00625,0.057964967868532453,-0.089,0.004,0.099,16
32,-0.006000000000000001,0.05033885179461288,-0.075,-0.008,0.101,16
33,-0.011000000000000001,0.03485685011586675,-0.06999999999999999,-0.016,0.050499999999999996,16
34,0.0145,0.03738649488786024,-0.0475,0.02,0.06999999999999999,16
35,0.0017499999999999998,0.03657782798362964,-0.045,-0.008,0.0785,16
36,-0.0025000000000000005,0.0496160256368847,-0.087,0.006,0.0805,16
37,-0.024000000000000004,0.05692099788303082,-0.1065,-0.041999999999999996,0.09,16
38,0.007250000000000001,0.05653704537734529,-0.077,0.016,0.097,16
39,-0.0009999999999999992,0.04257933771208754,-0.092,0.002,0.0625,16
40,0.003000000000000001,0.04885693400122443,-0.068,0.004,0.113,16
41,-0.0029999999999999975,0.046636895265444074,-0.0905,-0.006,0.065,16
42,0.00325,0.04680210999517009,-0.08349999999999999,0.002,0.079,16
43,0.012999999999999998,0.047549973711874964,-0.058499999999999996,0.02,0.08349999999999999,16
44,0.0115,0.04180610003336834,-0.056999999999999995,0.008,0.0795,16
45,-0.002,0.0521344415909483,-0.0885,-0.016,0.0985,16
46,-0.004000000000000002,0.05665686189686118,-0.0855,-0.016,0.10250000000000001,16
47,0.032,0.04017461885320133,-0.0305,0.03,0.0905,16
48,-0.0015,0.05947898788647971,-0.0975,0.008,0.078,16
49,0.01575,0.058642454757624196,-0.0755,0.012,0.1295,16
