unit_index,sample_mean,sample_std,q025,q500,q975,num_finite_samples
0,0.42500000000000004,0.13257073583562853,0.17500000000000002,0.44,0.61,16
1,0.28,0.13341664064126332,0.019999999999999997,0.28,0.48,16
2,0.345,0.09151502608861564,0.24,0.33999999999999997,0.505,16
3,0.3400000000000001,0.10583005244258362,0.135,0.33999999999999997,0.505,16
4,0.295,0.08231038816577164,0.16,0.30000000000000004,0.425,16
5,0.2625,0.11042531412678888,0.08,0.24,0.45,16
6,0.4525,0.17872814551715127,0.17500000000000002,0.4,0.73,16
7,0.4175,0.1378178145233772,0.15,0.42000000000000004,0.625,16
8,0.45249999999999996,0.14051245496396397,0.245,0.44,0.665,16
9,0.16999999999999998,0.1053565375285274,0.015,0.16,0.32,16
10,0.45500000000000007,0.1522333734763833,0.19,0.52,0.64,16
11,0.30999999999999994,0.13892443989449804,0.03,0.33999999999999997,0.48,16
12,0.3775,0.16790994610206983,0.08499999999999999,0.4,0.6,16
13,0.27,0.13820274961085255,0.055,0.26,0.515,16
14,0.38250000000000006,0.14210471491122315,0.08499999999999999,0.42000000000000004,0.585,16
15,0.48,0.15033296378372907,0.28,0.45999999999999996,0.69,16
16,0.42,0.1865475810617763,0.1,0.42000000000000004,0.745,16
17,0.4425,0.1410452055193653,0.23,0.42000000000000004,0.73,16
18,0.345,0.1370218960604472,0.135,0.33999999999999997,0.595,16
19,0.2275,0.11288821904875637,0.055,0.2,0.4,16
20,0.1925,0.09820259670701177,0.055,0.18,0.345,16
21,0.20500000000000002,0.10571187255932987,0.045,0.18,0.4,16
22,0.35,0.17578395831246948,0.095,0.38,0.61,16
23,0.255,0.12072696467649636,0.045,0.2,0.47500000000000003,16
24,0.1825,0.1612257733738623,-0.04,0.12,0.48,16
25,0.33499999999999996,0.11213830746002902,0.16,0.36,0.49,16
26,0.33249999999999996,0.11110243021644485,0.15,0.32,0.505,16
27,0.38249999999999995,0.1667145764472921,0.16499999999999998,0.33999999999999997,0.735,16
28,0.36,0.15874507866387544,0.095,0.38,0.6,16
29,0.3875,0.17419457511644845,0.15,0.38,0.68,16
30,0.255,0.11478240283248996,0.055,0.28,0.46499999999999997,16
31,0.35,0.12288205727444507,0.2,0.33999999999999997,0.6,16
32,0.31,0.12449899597988733,0.095,0.33999999999999997,0.515,16
33,0.29000000000000004,0.09539392014169457,0.12,0.28,0.45,16
34,0.30750000000000005,0.15538259233260338,0.06999999999999999,0.30000000000000004,0.56,16
35,0.42750000000000005,0.156664450338933,0.16,0.44,0.665,16
36,0.4225,0.1455807336154067,0.2,0.44,0.65,16
37,0.3425,0.09896337706444744,0.17500000000000002,0.33999999999999997,0.505,16
38,0.49750000000000005,0.15872539179349976,0.28,0.48,0.82,16
39,0.2375,0.11087718430768342,0.055,0.24,0.425,16
40,0.3675,0.13506942659240098,0.2,0.33999999999999997,0.6,16
41,0.42250000000000004,0.16246153390879947,0.12,0.44,0.665,16
42,0.29500000000000004,0.15288884851420656,-0.0049999999999999906,0.32,0.545,16
43,0.365,0.11124297730643495,0.17500000000000002,0.36,0.545,16
44,0.4975,0.14350522638566166,0.21,0.52,0.74,16
45,0.38,0.11832159566199231,0.2,0.36,0.595,16
46,0.28500000000000003,0.10185774393731681,0.125,0.26,0.46499999999999997,16
47,0.38,0.11224972160321824,0.215,0.36,0.595,16
48,0.4625,0.1667145764472921,0.215,0.48,0.765,16
49,0.4925,0.06118619125260208,0.4,0.48,0.6,16
50,0.38250000000000006,0.11997395550701827,0.24,0.38,0.61,16
51,0.31499999999999995,0.11034038245356956,0.135,0.33999999999999997,0.48,16
52,0.37,0.14317821063276354,0.125,0.36,0.62,16
53,0.3125,0.11594718625305231,0.16,0.28,0.53,16
54,0.335,0.17485708450045712,0.0049999999999999975,0.4,0.545,16
55,0.4125,0.14677789343085695,0.17500000000000002,0.36,0.625,16
56,0.3575,0.13451301052314604,0.12,0.36,0.6,16
57,0.3925,0.16384062377810943,0.095,0.4,0.65,16
58,0.4525,0.11892749892266298,0.28,0.44,0.68,16
59,0.3475,0.07838207703295441,0.19,0.36,0.46499999999999997,16
60,0.35750000000000004,0.1479653675695769,0.095,0.38,0.585,16
61,0.33499999999999996,0.12796483892069727,0.135,0.32,0.57,16
62,0.17250000000000001,0.10268276388956425,-0.05,0.16,0.33,16
63,0.395,0.1377497731395591,0.17500000000000002,0.36,0.64,16
64,0.2975,0.09896337706444744,0.135,0.30000000000000004,0.45,16
65,0.33499999999999996,0.14891272611835432,0.135,0.28,0.56,16
66,0.35000000000000003,0.15264337522473748,0.11499999999999999,0.32,0.665,16
67,0.3375,0.1232629303562105,0.2,0.30000000000000004,0.57,16
68,0.36750000000000005,0.16746268241014176,0.06,0.32,0.625,16
69,0.40750000000000003,0.12101136310280948,0.15500000000000003,0.4,0.585,16
70,0.3875,0.171300175131259,0.055,0.4,0.665,16
71,0.45499999999999996,0.10571187255932987,0.27,0.44,0.625,16
72,0.375,0.13028814220795384,0.135,0.4,0.56,16
73,0.395,0.13181426326464069,0.15,0.4,0.61,16
74,0.38,0.0916515138991168,0.215,0.38,0.52,16
75,0.4375,0.17690039570334487,0.17500000000000002,0.38,0.7949999999999999,16
76,0.465,0.15929532322073992,0.18,0.44,0.68,16
77,0.355,0.13919410907075055,0.06999999999999999,0.38,0.585,16
78,0.365,0.09578622030334008,0.24,0.36,0.5549999999999999,16
79,0.49,0.1396424004376894,0.245,0.5,0.73,16
80,0.30000000000000004,0.132664991614216,0.095,0.24,0.52,16
81,0.38250000000000006,0.11913752557443856,0.2,0.4,0.585,16
82,0.3975000000000001,0.13451301052314607,0.15,0.42000000000000004,0.635,16
83,0.32500000000000007,0.14756354563373708,0.12,0.33999999999999997,0.595,16
