time_index,sample_mean,sample_std,q025,q500,q975,num_finite_samples
0,-0.22249999999999998,0.03282910294235894,-0.2785,-0.222,-0.172,16
1,-0.24925,0.025989180441098943,-0.2865,-0.256,-0.1925,16
2,-0.27675000000000005,0.0337110886801361,-0.3385,-0.272,-0.225,16
3,-0.29550000000000004,0.04049382669000301,-0.3705,-0.294,-0.2205,16
4,-0.32849999999999996,0.05403471106612858,-0.408,-0.33399999999999996,-0.229,16
5,-0.266,0.044136152981427826,-0.3185,-0.274,-0.1735,16
6,-0.26175000000000004,0.032801486246815094,-0.309,-0.258,-0.20600000000000002,16
7,-0.3235,0.04046912403302053,-0.3725,-0.328,-0.227,16
8,-0.31575,0.0448211724523132,-0.377,-0.314,-0.23700000000000002,16
9,-0.31249999999999994,0.045516480531781006,-0.3685,-0.326,-0.22,16
10,-0.20500000000000002,0.020469489490458723,-0.2305,-0.20400000000000001,-0.164,16
11,-0.345,0.03269556544854363,-0.414,-0.34,-0.308,16
12,-0.26075000000000004,0.029840199396116644,-0.3125,-0.254,-0.206,16
13,-0.17575000000000002,0.04231946951463356,-0.23149999999999998,-0.176,-0.079,16
14,-0.23349999999999999,0.03346266576350426,-0.2845,-0.238,-0.1775,16
15,-0.16925,0.01998593255267314,-0.207,-0.164,-0.14,16
16,-0.25425,0.03859970854812249,-0.3105,-0.258,-0.1765,16
17,-0.24125000000000002,0.04051465784132948,-0.319,-0.226,-0.186,16
18,-0.26225,0.04118176173987703,-0.33199999999999996,-0.254,-0.1935,16
19,-0.2195,0.032338058074040256,-0.2705,-0.216,-0.164,16
20,-0.3025,0.02873586609100203,-0.35,-0.298,-0.2515,16
21,-0.198,0.032403703492039304,-0.2585,-0.196,-0.14450000000000002,16
22,-0.2375,0.033222733180760425,-0.296,-0.236,-0.17250000000000001,16
23,-0.2655,0.022265444078212317,-0.2955,-0.27,-0.223,16
24,-0.27125,0.04452457186767774,-0.34199999999999997,-0.266,-0.187,16
25,-0.2165,0.04696541280559557,-0.3055,-0.212,-0.14,16
26,-0.30525,0.034488222627441965,-0.374,-0.302,-0.26,16
27,-0.22499999999999998,0.02170253441421071,-0.267,-0.226,-0.1885,16
28,-0.31375,0.0296300101248717,-0.352,-0.318,-0.263,16
29,-0.2995,0.03039325583085827,-0.3525,-0.296,-0.256,16
30,-0.2895,0.025685599078082644,-0.329,-0.294,-0.2415,16
31,-0.27975000000000005,0.03141556143060314,-0.33799999999999997,-0.28200000000000003,-0.2295,16
32,-0.25875000000000004,0.032178214680121706,-0.316,-0.258,-0.1975,16
33,-0.21475,0.03548855449296293,-0.2815,-0.216,-0.15050000000000002,16
34,-0.257,0.01992485884517128,-0.29,-0.256,-0.2195,16
35,-0.23625,0.03686376947627575,-0.312,-0.226,-0.195,16
36,-0.28275000000000006,0.034488222627441965,-0.34,-0.276,-0.218,16
37,-0.28525,0.033278183544178004,-0.346,-0.288,-0.23500000000000001,16
38,-0.28675,0.03738231533760315,-0.354,-0.286,-0.2245,16
39,-0.31199999999999994,0.049819674828324605,-0.381,-0.308,-0.2095,16
40,-0.251,0.04414748010928823,-0.3105,-0.246,-0.17700000000000002,16
41,-0.22799999999999998,0.026832815729997475,-0.265,-0.23399999999999999,-0.17200000000000001,16
42,-0.2595,0.04335608377148471,-0.328,-0.248,-0.181,16
43,-0.3145,0.037225663190868744,-0.3645,-0.322,-0.228,16
44,-0.3445,0.035913089535711075,-0.3985,-0.35,-0.295,16
45,-0.23349999999999999,0.033222733180760425,-0.294,-0.242,-0.178,16
46,-0.2955,0.04088703951131703,-0.3585,-0.302,-0.222,16
47,-0.31325000000000003,0.024154450935593628,-0.3535,-0.32,-0.271,16
48,-0.32925,0.044288119174333875,-0.4215,-0.326,-0.249,16
49,-0.3055,0.04426906369012112,-0.3665,-0.304,-0.23450000000000001,16
