time_index,sample_mean,sample_std,q025,q500,q975,num_finite_samples
0,0.01825,0.03461123372548283,-0.051500000000000004,0.02,0.0715,16
1,0.00975,0.03352517710616903,-0.042499999999999996,0.004,0.0755,16
2,-0.0017499999999999998,0.05758417751431378,-0.0785,0.0,0.08499999999999999,16
3,0.005750000000000001,0.03155847746644315,-0.0435,0.002,0.050499999999999996,16
4,-0.0037500000000000007,0.04008662495147228,-0.0635,-0.006,0.06,16
5,-0.012,0.03518522417151836,-0.067,-0.014,0.054,16
6,0.011500000000000002,0.03390796366637194,-0.048999999999999995,0.01,0.06999999999999999,16
7,0.019,0.03640054944640259,-0.042499999999999996,0.014,0.083,16
8,0.02875,0.03855434476164781,-0.034499999999999996,0.032,0.081,16
9,0.026500000000000003,0.04071547617307208,-0.0395,0.032,0.099,16
10,0.00575,0.0373086786150354,-0.054,0.01,0.0635,16
11,-0.0245,0.048391631507937405,-0.096,-0.024,0.056,16
12,0.010750000000000001,0.03676190283432021,-0.05,0.01,0.0635,16
13,0.034999999999999996,0.035510561809129405,-0.0235,0.041999999999999996,0.0915,16
14,0.02225,0.030918238953730855,-0.0185,0.01,0.06899999999999999,16
15,0.027750000000000004,0.025474251706379916,-0.0085,0.016,0.073,16
16,0.01375,0.028877976037111744,-0.034999999999999996,0.012,0.060500000000000005,16
17,-0.012249999999999999,0.03327067026676799,-0.07100000000000001,-0.01,0.048,16
18,-0.00075,0.03530492175320603,-0.0775,-0.002,0.05,16
19,-0.0135,0.03954427897939221,-0.0715,-0.012,0.053,16
20,0.006499999999999999,0.04617087826758334,-0.07350000000000001,0.002,0.088,16
21,0.01975,0.031574317094752814,-0.037,0.022,0.074,16
22,0.0125,0.03443472084974699,-0.0525,0.018000000000000002,0.06999999999999999,16
23,0.0049999999999999975,0.04482186966202994,-0.081,0.012,0.056,16
24,0.02175,0.03139964171770118,-0.0235,0.016,0.08650000000000001,16
25,-0.00425,0.04090155865000746,-0.068,-0.008,0.068,16
26,-0.0135,0.057530426732295324,-0.08349999999999999,-0.032,0.11,16
27,-0.008249999999999999,0.032664009245651396,-0.050499999999999996,-0.004,0.049,16
28,-0.004249999999999999,0.037214748420485125,-0.0795,0.01,0.042,16
29,-0.037500000000000006,0.045207853300062814,-0.12100000000000001,-0.038,0.032,16
30,0.016499999999999997,0.04413332074521472,-0.053000000000000005,0.014,0.0935,16
31,-0.0010000000000000009,0.039076847365159845,-0.069,-0.004,0.0645,16
32,-0.047,0.032572994949804666,-0.089,-0.044,0.017,16
33,-0.05450000000000001,0.039442996843546255,-0.11699999999999999,-0.066,0.008,16
34,-0.040999999999999995,0.029274562336608894,-0.093,-0.034,0.002,16
35,-0.0085,0.03543656303875984,-0.078,-0.002,0.040999999999999995,16
36,-0.037,0.03933192087859427,-0.10099999999999999,-0.044,0.037,16
37,-0.02675,0.034313809173567425,-0.078,-0.032,0.041,16
38,-0.01875,0.037275159288727384,-0.0865,-0.02,0.034499999999999996,16
39,0.015249999999999998,0.054630005491487915,-0.1,0.036000000000000004,0.073,16
40,0.007499999999999998,0.03501071264627442,-0.051,0.006,0.0615,16
41,-0.027250000000000003,0.02117634293262177,-0.056999999999999995,-0.028,0.009000000000000001,16
42,0.0085,0.03610747844976162,-0.0515,0.012,0.0645,16
43,0.01075,0.03700591168989085,-0.056,0.012,0.08199999999999999,16
44,-0.004000000000000001,0.03228002478313795,-0.07450000000000001,0.0,0.033,16
45,0.0075000000000000015,0.035857356288494,-0.0385,0.002,0.079,16
46,-0.004499999999999999,0.03560547710675985,-0.0615,-0.008,0.048999999999999995,16
47,0.0002500000000000002,0.05552420643287034,-0.11299999999999999,0.01,0.08800000000000001,16
48,-0.003500000000000002,0.0477257791974107,-0.08800000000000001,-0.004,0.073,16
49,-0.006750000000000001,0.025523273692847476,-0.0525,0.0,0.0375,16
