unit_index,sample_mean,sample_std,q025,q500,q975,num_finite_samples
0,-0.3225,0.18301297768191196,-0.6,-0.30000000000000004,0.014999999999999986,16
1,0.2175,0.19797411446954372,-0.105,0.24,0.57,16
2,0.2525,0.11723374087693354,0.055,0.22,0.44,16
3,0.2875,0.13207478941872292,0.12,0.28,0.52,16
4,0.23,0.12369316876852983,0.03,0.22,0.46,16
5,0.175,0.11124297730643495,0.015,0.2,0.345,16
6,0.28,0.170293863659264,-0.0049999999999999906,0.26,0.57,16
7,0.31,0.14317821063276354,0.095,0.30000000000000004,0.5549999999999999,16
8,0.3025,0.1612257733738623,0.04,0.36,0.5549999999999999,16
9,0.175,0.09785192895390464,0.015,0.18,0.345,16
10,0.36750000000000005,0.16261534367949415,0.11499999999999999,0.33999999999999997,0.68,16
11,0.2025,0.10532687216470447,0.03,0.2,0.36,16
12,0.2925,0.20771073636189344,-0.1,0.32,0.6,16
13,0.28,0.12961481396815722,-0.014999999999999986,0.28,0.45,16
14,0.3325,0.15473768125443785,0.045,0.32,0.545,16
15,0.375,0.17428425057933375,0.06,0.36,0.625,16
16,0.3175,0.11787175234126283,0.08499999999999999,0.32,0.48,16
17,0.36,0.10488088481701516,0.24,0.36,0.52,16
18,0.2475,0.22190932833028898,-0.18,0.28,0.5549999999999999,16
19,0.2875,0.1537652431468178,0.06999999999999999,0.24,0.53,16
20,0.16500000000000004,0.08587782018658835,0.015,0.16,0.32,16
21,0.155,0.10758717395675006,0.015,0.14,0.36,16
22,0.295,0.10943034314119644,0.095,0.32,0.49,16
23,0.1775,0.1113272203910616,-0.06,0.2,0.305,16
24,0.1875,0.14880776189433131,-0.105,0.24,0.36,16
25,0.25,0.16278820596099705,0.0,0.30000000000000004,0.525,16
26,0.21750000000000003,0.15031217515557416,-0.025,0.22,0.5,16
27,0.29500000000000004,0.1759971590679804,-0.0049999999999999906,0.28,0.585,16
28,0.20500000000000002,0.11213830746002902,0.015,0.2,0.385,16
29,0.2275,0.13320566804757222,0.055,0.2,0.53,16
30,0.255,0.1896707673839066,-0.065,0.24000000000000002,0.52,16
31,0.28,0.15297058540778355,-0.04,0.30000000000000004,0.46499999999999997,16
32,0.1875,0.12939764294607534,-0.025,0.18,0.425,16
33,0.31999999999999995,0.12083045973594572,0.11,0.32,0.53,16
34,0.1775,0.13562355990018843,-0.075,0.18,0.385,16
35,0.29500000000000004,0.10943034314119646,0.11,0.30000000000000004,0.5,16
36,0.355,0.1489127261183543,0.12,0.36,0.585,16
37,0.20750000000000002,0.14298164217828804,-0.09,0.24,0.425,16
38,0.29000000000000004,0.15652475842498528,0.015,0.32,0.505,16
39,0.14500000000000002,0.11034038245356956,-0.04,0.16,0.33,16
40,0.3025,0.17086178624841775,0.04,0.30000000000000004,0.63,16
41,0.24000000000000002,0.12649110640673517,0.015,0.24,0.4,16
42,0.19,0.15066519173319362,-0.1,0.22,0.41,16
43,0.19,0.16999999999999998,-0.18,0.18,0.45,16
44,0.265,0.13481468762712764,0.095,0.26,0.565,16
45,0.23,0.12609520212918493,0.08,0.2,0.5,16
46,0.1975,0.11355064949175764,-0.04,0.22,0.36,16
47,0.2975,0.11913752557443856,0.06999999999999999,0.28,0.49,16
48,0.30000000000000004,0.16852299546352717,-0.04,0.32,0.52,16
49,0.345,0.21948804067647967,-0.1,0.38,0.625,16
50,0.24,0.10954451150103323,0.03500000000000001,0.24,0.44,16
51,0.235,0.16904141504376968,0.0,0.18,0.53,16
52,0.23500000000000001,0.11478240283248997,-0.025,0.28,0.385,16
53,0.26,0.13114877048604,0.08,0.24,0.49,16
54,0.31000000000000005,0.19519221295943134,-0.12,0.36,0.57,16
55,0.3175,0.14523687548277814,0.06,0.30000000000000004,0.545,16
56,0.2575,0.11399013115177999,0.08,0.26,0.47500000000000003,16
57,0.265,0.16844880527923017,0.0,0.30000000000000004,0.53,16
58,0.36250000000000004,0.1751963184544698,0.019999999999999997,0.36,0.665,16
59,0.20500000000000002,0.13847382424126228,-0.025,0.18,0.435,16
60,0.2325,0.12018215341721913,-0.020000000000000004,0.24,0.425,16
61,0.27749999999999997,0.09324028099485758,0.1,0.28,0.425,16
62,0.22500000000000003,0.2139509289533467,-0.115,0.18,0.595,16
63,0.3225,0.14454670525473765,0.095,0.32,0.57,16
64,0.1575,0.12038999127834506,0.0,0.16,0.42,16
65,0.2175,0.16429774800647756,-0.065,0.22,0.46499999999999997,16
66,0.3375,0.13709029870855197,0.12,0.38,0.545,16
67,0.23249999999999998,0.14575235847148407,-0.04,0.24,0.44,16
68,0.29250000000000004,0.13016816046944812,0.06999999999999999,0.30000000000000004,0.53,16
69,0.3875,0.1598241220842461,0.12,0.38,0.665,16
70,0.3325,0.14333091083224161,0.095,0.33999999999999997,0.5549999999999999,16
71,0.35,0.19519221295943137,0.015,0.36,0.74,16
72,0.2475,0.12901065847440668,0.015,0.26,0.46,16
73,0.19,0.13379088160259653,-0.065,0.24,0.36,16
74,0.3925,0.13131545986668897,0.16499999999999998,0.38,0.585,16
75,0.32,0.1319090595827292,0.08499999999999999,0.36,0.48,16
76,0.2975,0.15746031245999736,0.015,0.28,0.52,16
77,0.3225,0.16880091824394797,0.055,0.33999999999999997,0.585,16
78,0.22000000000000003,0.11916375287812986,-0.025,0.26,0.36,16
79,0.3425,0.14558073361540666,0.11,0.36,0.625,16
80,0.16,0.10862780491200215,0.0,0.16,0.36,16
81,0.18000000000000002,0.1489966442575134,-0.09,0.22,0.425,16
82,0.2775,0.14315638302220407,0.0049999999999999975,0.30000000000000004,0.49,16
83,0.27,0.17748239349298847,0.0049999999999999975,0.2,0.57,16
84,0.23,0.1841195263952197,-0.09,0.22,0.57,16
85,0.3025,0.14280668751847725,0.055,0.36,0.505,16
86,0.2475,0.12018215341721913,0.03,0.26,0.435,16
87,0.2325,0.09921567416492215,0.12,0.2,0.45,16
88,0.1825,0.14210471491122315,-0.065,0.18,0.425,16
89,0.23750000000000002,0.1260704168312297,0.0049999999999999975,0.24,0.47500000000000003,16
90,0.2,0.12806248474865697,-0.035,0.24,0.385,16
91,0.22250000000000003,0.14897566915439583,0.055,0.16,0.53,16
92,0.2525,0.14263151825595913,0.0,0.28,0.46499999999999997,16
93,0.3225,0.18081413108493485,0.055,0.32,0.65,16
94,0.2025,0.10813764376941085,-0.010000000000000002,0.2,0.38,16
95,0.22,0.1489966442575134,-0.05,0.28,0.4,16
96,0.35250000000000004,0.14367933045501013,0.125,0.32,0.585,16
97,0.355,0.11905880899790659,0.18,0.32,0.62,16
98,0.34500000000000003,0.1362901317043901,0.055,0.32,0.52,16
99,0.2875,0.1250749775134899,0.095,0.30000000000000004,0.545,16
100,0.28750000000000003,0.1477963125385745,0.055,0.30000000000000004,0.5900000000000001,16
101,0.1975,0.13376752221671745,-0.010000000000000002,0.16,0.425,16
102,0.33000000000000007,0.14662878298615178,0.08,0.32,0.61,16
