category,name,estimate,true,squared_error
scalar,beta,0.0,-0.3,0.09
scalar,xi,0.0,0.8,0.6400000000000001
scalar,eta,0.0,0.3,0.09
metric,final_loss,0.5593368718837239,,
metric,field_rmse,0.5685200395426966,,
metric,interaction_fro_error,2.8341935468885127,,
metric,penalized_objective,0.5981682560268016,,
metric,mple_loss_without_penalty,0.5593368718837239,,
metric,lambda_uv_ridge,0.1,,
metric,u_frobenius_norm,1.7320508075688767,,
metric,v_frobenius_norm,76.3662476578419,,
metric,effective_rank,50.0,,
latent_diagnostic,estimated_field_max_abs_entry,1.3181739712470792,,
latent_diagnostic,estimated_field_rank,50.0,3.0,
latent_diagnostic,true_field_max_abs_entry,4.4476018330732865,,
latent_diagnostic,true_field_rank,3.0,,
