unit_index,sample_mean,sample_std,q025,q500,q975,num_finite_samples
0,-0.27,0.12922847983320085,-0.46599999999999997,-0.24,-0.06799999999999998,8
1,-0.23,0.15459624833740307,-0.45899999999999996,-0.2,0.012000000000000028,8
2,-0.17500000000000002,0.2153485546735803,-0.433,-0.22000000000000003,0.139,8
3,-0.31,0.13527749258468683,-0.473,-0.33999999999999997,-0.087,8
4,-0.2,0.12806248474865697,-0.313,-0.22,0.06400000000000006,8
5,-0.32999999999999996,0.16941074346097415,-0.513,-0.38,-0.020999999999999977,8
6,-0.195,0.09473647660748208,-0.313,-0.2,-0.04699999999999999,8
7,-0.27,0.13527749258468683,-0.433,-0.30000000000000004,-0.04699999999999999,8
8,-0.12,0.14422205101855956,-0.353,-0.08,0.09200000000000003,8
9,-0.37,0.1452583904633395,-0.553,-0.42000000000000004,-0.13399999999999998,8
10,-0.225,0.16605721905415616,-0.473,-0.16,-0.04,8
11,-0.20500000000000002,0.09473647660748208,-0.32,-0.22,-0.04699999999999999,8
12,-0.33999999999999997,0.0916515138991168,-0.499,-0.32,-0.214,8
13,-0.18,0.09797958971132713,-0.28,-0.2,0.012000000000000028,8
14,-0.21000000000000002,0.14798648586948743,-0.485,-0.2,-0.04,8
15,-0.32499999999999996,0.10087120500916007,-0.44,-0.32,-0.2,8
16,-0.375,0.1928081948465884,-0.699,-0.36,-0.10799999999999997,8
17,-0.23500000000000001,0.10087120500916007,-0.393,-0.24,-0.087,8
18,-0.275,0.09682458365518543,-0.4,-0.30000000000000004,-0.16,8
19,-0.16499999999999998,0.12237238250520417,-0.353,-0.14,-0.006999999999999993,8
20,-0.30000000000000004,0.16970562748477142,-0.586,-0.2,-0.127,8
21,-0.21500000000000002,0.10943034314119644,-0.393,-0.2,-0.08,8
22,-0.22500000000000003,0.0746659226153404,-0.379,-0.2,-0.16,8
23,-0.2,0.17549928774784243,-0.419,-0.22,0.14400000000000007,8
24,-0.365,0.15419143945109276,-0.619,-0.33999999999999997,-0.14099999999999996,8
25,-0.27,0.20566963801203134,-0.473,-0.32,0.14400000000000007,8
26,-0.27499999999999997,0.14062361110425234,-0.473,-0.26,-0.06099999999999998,8
27,-0.265,0.19691368667515216,-0.44,-0.38,0.08500000000000002,8
28,-0.27,0.17521415467935234,-0.532,-0.32,-0.013999999999999986,8
29,-0.25,0.18947295321496416,-0.553,-0.24,-0.04,8
30,-0.24000000000000005,0.13856406460551018,-0.45199999999999996,-0.28,-0.04699999999999999,8
31,-0.235,0.11390785749894518,-0.433,-0.2,-0.12,8
32,-0.255,0.13105342422081157,-0.485,-0.24,-0.06099999999999998,8
33,-0.24000000000000002,0.14560219778561037,-0.433,-0.24000000000000002,0.012000000000000028,8
34,-0.28,0.1854723699099141,-0.553,-0.26,-0.04699999999999999,8
35,-0.19,0.09110433579144299,-0.28,-0.22,-0.04,8
36,-0.22499999999999998,0.1522333734763833,-0.485,-0.22,0.012000000000000028,8
37,-0.30500000000000005,0.12155245781143217,-0.433,-0.36,-0.10099999999999998,8
38,-0.23500000000000001,0.13028814220795384,-0.393,-0.26,-0.04699999999999999,8
39,-0.195,0.1502497920131672,-0.45199999999999996,-0.16,0.019000000000000024,8
40,-0.35,0.2613426869074396,-0.725,-0.4,0.06600000000000002,8
41,-0.22500000000000003,0.19176808910765109,-0.539,-0.2,0.059000000000000025,8
42,-0.21999999999999997,0.10392304845413264,-0.405,-0.22,-0.06099999999999998,8
43,-0.32,0.07745966692414832,-0.45899999999999996,-0.30000000000000004,-0.214,8
44,-0.32000000000000006,0.20784609690826528,-0.52,-0.36,0.09700000000000007,8
45,-0.33999999999999997,0.1949358868961793,-0.546,-0.44,-0.006999999999999993,8
46,-0.15500000000000003,0.08351646544245032,-0.273,-0.16,-0.013999999999999986,8
47,-0.315,0.16301840386901106,-0.506,-0.36,-0.00199999999999996,8
48,-0.29000000000000004,0.11269427669584645,-0.473,-0.26,-0.13399999999999998,8
49,-0.315,0.1066536450385077,-0.506,-0.26,-0.207,8
50,-0.215,0.08703447592764606,-0.346,-0.22,-0.087,8
51,-0.275,0.07053367989832941,-0.36,-0.28,-0.167,8
52,-0.33999999999999997,0.11832159566199231,-0.513,-0.33999999999999997,-0.167,8
53,-0.27,0.20760539492026694,-0.506,-0.33999999999999997,0.09900000000000002,8
54,-0.27,0.09110433579144299,-0.393,-0.28,-0.127,8
55,-0.29500000000000004,0.18103866990231673,-0.52,-0.32,-0.020999999999999977,8
56,-0.26,0.17204650534085253,-0.584,-0.26,-0.08,8
57,-0.38,0.1371130920080209,-0.645,-0.33999999999999997,-0.214,8
58,-0.31500000000000006,0.1377497731395591,-0.513,-0.32,-0.09399999999999999,8
59,-0.19,0.14247806848775008,-0.433,-0.14,-0.04,8
60,-0.23500000000000004,0.1737095276604021,-0.532,-0.2,-0.04699999999999999,8
61,-0.21,0.15588457268119899,-0.511,-0.2,-0.04,8
62,-0.23500000000000001,0.09682458365518543,-0.353,-0.26,-0.087,8
63,-0.405,0.1848648154733615,-0.751,-0.36,-0.14799999999999996,8
64,-0.20500000000000002,0.08108637370113428,-0.313,-0.24,-0.087,8
65,-0.325,0.1554831180546621,-0.565,-0.33999999999999997,-0.04899999999999995,8
66,-0.16999999999999998,0.1717556403731767,-0.45199999999999996,-0.16,0.07300000000000001,8
67,-0.20500000000000002,0.10851267207105353,-0.346,-0.22,-0.013999999999999986,8
68,-0.14,0.16492422502470644,-0.346,-0.18,0.10600000000000001,8
69,-0.29500000000000004,0.21441781642391566,-0.546,-0.33999999999999997,0.09200000000000003,8
70,-0.225,0.1522333734763833,-0.4,-0.24000000000000002,0.019000000000000024,8
71,-0.31,0.14106735979665885,-0.506,-0.32,-0.06799999999999998,8
72,-0.2,0.16248076809271922,-0.45199999999999996,-0.22,0.059000000000000025,8
73,-0.195,0.13028814220795384,-0.32,-0.24000000000000002,0.05200000000000003,8
74,-0.3,0.150996688705415,-0.473,-0.33999999999999997,-0.08,8
75,-0.245,0.17022044530549202,-0.46599999999999997,-0.28,0.07800000000000004,8
76,-0.24500000000000002,0.15288884851420656,-0.45899999999999996,-0.24,0.03800000000000005,8
77,-0.205,0.1737095276604021,-0.499,-0.18,0.026000000000000016,8
78,-0.28,0.15231546211727817,-0.565,-0.26,-0.12,8
79,-0.33499999999999996,0.10758717395675008,-0.499,-0.36,-0.2,8
80,-0.34,0.1,-0.499,-0.33999999999999997,-0.181,8
81,-0.26,0.10198039027185571,-0.426,-0.28,-0.127,8
82,-0.245,0.08587782018658834,-0.353,-0.26,-0.12,8
83,-0.265,0.16240381768911716,-0.433,-0.32,0.06400000000000006,8
84,-0.37,0.16703293088490068,-0.56,-0.38,-0.04899999999999995,8
85,-0.265,0.1370218960604472,-0.4,-0.32,-0.020999999999999977,8
86,-0.215,0.1340708767779192,-0.426,-0.2,-0.04,8
87,-0.15000000000000002,0.13379088160259653,-0.398,-0.14,0.026000000000000016,8
88,-0.22500000000000003,0.10380269746013349,-0.393,-0.2,-0.12,8
89,-0.21500000000000002,0.15091388272786568,-0.426,-0.2,-0.006999999999999993,8
90,-0.23500000000000001,0.13629013170439008,-0.41200000000000003,-0.26,0.03100000000000005,8
91,-0.29500000000000004,0.15740076238697195,-0.598,-0.26,-0.10099999999999998,8
92,-0.295,0.14551632210855248,-0.506,-0.28,-0.06799999999999998,8
93,-0.25,0.07681145747868609,-0.386,-0.24,-0.16,8
94,-0.185,0.13105342422081157,-0.419,-0.14,-0.04,8
95,-0.34,0.1442220510185596,-0.553,-0.32,-0.16,8
96,-0.28500000000000003,0.21857492994394392,-0.593,-0.28,-0.006999999999999993,8
97,-0.405,0.1678541033159452,-0.626,-0.44,-0.16,8
98,-0.355,0.13181426326464066,-0.48,-0.38,-0.10799999999999997,8
99,-0.26,0.16733200530681513,-0.518,-0.28,0.03800000000000005,8
100,-0.31,0.16340134638368192,-0.539,-0.32,-0.053999999999999986,8
101,-0.115,0.14203872711341792,-0.365,-0.12,0.07300000000000001,8
102,-0.42000000000000004,0.16248076809271922,-0.732,-0.36,-0.247,8
103,-0.23,0.17175564037317667,-0.426,-0.32,0.04,8
104,-0.34500000000000003,0.1263922465976454,-0.513,-0.33999999999999997,-0.11499999999999996,8
105,-0.35500000000000004,0.1630184038690111,-0.56,-0.36,-0.07499999999999996,8
106,-0.305,0.12479983974348685,-0.513,-0.26,-0.14099999999999996,8
107,-0.325,0.1255985668708047,-0.473,-0.32,-0.08199999999999996,8
108,-0.225,0.10380269746013347,-0.346,-0.28,-0.04699999999999999,8
109,-0.27,0.1307669683062202,-0.473,-0.26,-0.09399999999999999,8
110,-0.28,0.163707055437449,-0.598,-0.22,-0.09399999999999999,8
111,-0.27,0.12609520212918493,-0.44,-0.26,-0.06099999999999998,8
112,-0.21,0.2085665361461421,-0.4,-0.24000000000000002,0.21000000000000008,8
113,-0.23,0.06855654600401044,-0.32,-0.22,-0.127,8
114,-0.3,0.16970562748477142,-0.48,-0.32,-0.053999999999999986,8
115,-0.35,0.1786057109949175,-0.539,-0.4,0.017000000000000057,8
116,-0.205,0.15157506391224118,-0.393,-0.2,0.026000000000000016,8
117,-0.35,0.16941074346097415,-0.633,-0.28,-0.167,8
118,-0.345,0.11989578808281798,-0.48,-0.36,-0.14099999999999996,8
119,-0.27,0.13379088160259653,-0.525,-0.26,-0.12,8
120,-0.21500000000000002,0.17080690852538724,-0.499,-0.2,0.0,8
121,-0.33,0.13820274961085255,-0.598,-0.30000000000000004,-0.167,8
122,-0.255,0.14413535305399575,-0.499,-0.26,-0.053999999999999986,8
123,-0.24,0.08,-0.353,-0.26,-0.127,8
124,-0.32,0.1131370849898476,-0.506,-0.32,-0.167,8
125,-0.23,0.16217274740226856,-0.4,-0.26,0.059000000000000025,8
126,-0.425,0.10758717395675006,-0.586,-0.44,-0.254,8
127,-0.38,0.19390719429665315,-0.6,-0.33999999999999997,-0.06799999999999998,8
128,-0.265,0.15091388272786568,-0.44,-0.26,-0.04,8
129,-0.21500000000000002,0.16484841521834537,-0.44,-0.2,0.019000000000000024,8
130,-0.295,0.15091388272786568,-0.565,-0.28,-0.12,8
131,-0.24,0.14966629547095764,-0.45899999999999996,-0.24,-0.04699999999999999,8
132,-0.25,0.0818535277187245,-0.386,-0.24,-0.127,8
133,-0.10500000000000001,0.09367496997597598,-0.266,-0.08,0.0,8
134,-0.215,0.11124297730643495,-0.41200000000000003,-0.22,-0.053999999999999986,8
135,-0.20500000000000002,0.13332291625973383,-0.45199999999999996,-0.18,-0.04699999999999999,8
136,-0.29500000000000004,0.15612494995995996,-0.572,-0.26,-0.09399999999999999,8
137,-0.22000000000000003,0.14966629547095767,-0.426,-0.24000000000000002,0.019000000000000024,8
138,-0.33499999999999996,0.14413535305399575,-0.48,-0.36,-0.07499999999999996,8
139,-0.28,0.08717797887081348,-0.386,-0.30000000000000004,-0.10799999999999997,8
140,-0.245,0.08351646544245032,-0.353,-0.24,-0.10099999999999998,8
141,-0.255,0.18754999333511052,-0.565,-0.26,0.026000000000000016,8
142,-0.255,0.09987492177719091,-0.4,-0.26,-0.127,8
143,-0.265,0.21254411306832283,-0.506,-0.32,0.11800000000000005,8
144,-0.33999999999999997,0.08,-0.473,-0.32,-0.24,8
145,-0.23,0.11958260743101398,-0.419,-0.24,-0.04699999999999999,8
146,-0.32,0.14966629547095767,-0.513,-0.33999999999999997,-0.041999999999999954,8
147,-0.26,0.2,-0.52,-0.24000000000000002,0.03300000000000001,8
148,-0.31,0.13379088160259653,-0.473,-0.32,-0.09399999999999999,8
149,-0.265,0.09151502608861564,-0.419,-0.26,-0.13399999999999998,8
150,-0.305,0.1384738242412623,-0.532,-0.32,-0.12,8
151,-0.31,0.19157244060668016,-0.612,-0.32,0.005000000000000032,8
152,-0.26,0.11489125293076058,-0.393,-0.30000000000000004,-0.087,8
153,-0.27,0.15066519173319362,-0.46599999999999997,-0.28,0.005000000000000032,8
154,-0.31000000000000005,0.18083141320025126,-0.631,-0.30000000000000004,-0.03499999999999997,8
155,-0.185,0.07193747284969079,-0.28,-0.18,-0.06099999999999998,8
156,-0.13,0.15968719422671313,-0.313,-0.18,0.12,8
157,-0.32000000000000006,0.06324555320336758,-0.426,-0.32,-0.24,8
158,-0.21500000000000002,0.12479983974348685,-0.353,-0.26,0.019000000000000024,8
159,-0.21500000000000002,0.1370218960604472,-0.36,-0.24,0.012000000000000028,8
160,-0.255,0.14551632210855248,-0.499,-0.22000000000000003,-0.06099999999999998,8
161,-0.26,0.12165525060596438,-0.45899999999999996,-0.26,-0.087,8
162,-0.32,0.12489995996796797,-0.532,-0.33999999999999997,-0.16,8
163,-0.22500000000000003,0.09151502608861564,-0.32,-0.24,-0.053999999999999986,8
164,-0.215,0.12951833846988617,-0.353,-0.22,0.03800000000000005,8
165,-0.22999999999999998,0.15198684153570666,-0.433,-0.26,-0.006999999999999993,8
166,-0.325,0.08351646544245032,-0.433,-0.33999999999999997,-0.174,8
167,-0.305,0.15483862567202022,-0.572,-0.30000000000000004,-0.09399999999999999,8
168,-0.255,0.21348302040209194,-0.638,-0.14,-0.020999999999999977,8
169,-0.335,0.1907223112276065,-0.586,-0.36,-0.053999999999999986,8
170,-0.265,0.10571187255932987,-0.4,-0.26,-0.127,8
171,-0.060000000000000005,0.10770329614269007,-0.22599999999999998,-0.06,0.10600000000000001,8
172,-0.22500000000000003,0.16116761461286197,-0.45899999999999996,-0.26,-0.006999999999999993,8
173,-0.245,0.13481468762712764,-0.419,-0.28,0.005000000000000032,8
174,-0.275,0.06461423991660042,-0.36,-0.28,-0.167,8
175,-0.315,0.11213830746002901,-0.473,-0.32,-0.167,8
176,-0.195,0.17022044530549202,-0.419,-0.22000000000000003,0.07300000000000001,8
177,-0.215,0.11651180197731044,-0.36,-0.2,-0.04699999999999999,8
178,-0.255,0.19176808910765109,-0.473,-0.3,0.09200000000000003,8
179,-0.22,0.1341640786499874,-0.45899999999999996,-0.2,-0.04699999999999999,8
180,-0.405,0.11213830746002902,-0.612,-0.38,-0.28700000000000003,8
181,-0.16,0.08485281374238571,-0.28,-0.16,-0.04699999999999999,8
182,-0.155,0.13028814220795382,-0.36,-0.1,-0.006999999999999993,8
183,-0.29500000000000004,0.1263922465976454,-0.5509999999999999,-0.26,-0.167,8
184,-0.265,0.10571187255932987,-0.45199999999999996,-0.26,-0.127,8
185,-0.405,0.09886859966642594,-0.553,-0.42000000000000004,-0.28,8
186,-0.16000000000000003,0.13856406460551018,-0.313,-0.22,0.09200000000000003,8
187,-0.30500000000000005,0.13847382424126228,-0.499,-0.32,-0.087,8
188,-0.32,0.12806248474865697,-0.506,-0.33999999999999997,-0.10099999999999998,8
189,-0.19,0.1752141546793523,-0.4,-0.2,0.12500000000000003,8
190,-0.20500000000000002,0.1362901317043901,-0.4,-0.18,0.012000000000000028,8
191,-0.365,0.16904141504376968,-0.553,-0.38,-0.087,8
192,-0.29500000000000004,0.15483862567202022,-0.506,-0.30000000000000004,-0.027999999999999973,8
193,-0.17,0.13379088160259653,-0.379,-0.16,-0.006999999999999993,8
194,-0.21000000000000002,0.13820274961085252,-0.353,-0.26,0.026000000000000016,8
195,-0.175,0.12155245781143217,-0.353,-0.18,-0.006999999999999993,8
196,-0.19,0.12288205727444508,-0.32,-0.2,0.04500000000000003,8
197,-0.2,0.09797958971132711,-0.353,-0.2,-0.08,8
198,-0.27999999999999997,0.14966629547095764,-0.48,-0.28,-0.053999999999999986,8
199,-0.335,0.11478240283248996,-0.46599999999999997,-0.4,-0.13399999999999998,8
200,-0.28,0.10770329614269009,-0.426,-0.30000000000000004,-0.12,8
201,-0.275,0.10851267207105353,-0.393,-0.30000000000000004,-0.087,8
202,-0.25,0.1997498435543818,-0.433,-0.30000000000000004,0.1630000000000001,8
203,-0.26,0.08944271909999159,-0.393,-0.24000000000000002,-0.13399999999999998,8
204,-0.255,0.14551632210855248,-0.492,-0.26,-0.027999999999999973,8
205,-0.31500000000000006,0.15419143945109276,-0.52,-0.32,-0.087,8
206,-0.325,0.18377975949489106,-0.586,-0.28,-0.12,8
207,-0.26,0.08717797887081347,-0.353,-0.30000000000000004,-0.10099999999999998,8
208,-0.16,0.14966629547095767,-0.386,-0.16,0.08500000000000002,8
209,-0.32999999999999996,0.10908712114635714,-0.506,-0.26,-0.24,8
210,-0.27,0.10535653752852739,-0.393,-0.30000000000000004,-0.06799999999999998,8
211,-0.20500000000000002,0.11905880899790657,-0.36,-0.18,-0.04699999999999999,8
212,-0.365,0.1008712050091601,-0.532,-0.4,-0.24,8
213,-0.11000000000000001,0.1260952021291849,-0.306,-0.04,0.0,8
214,-0.355,0.11390785749894518,-0.513,-0.33999999999999997,-0.15499999999999997,8
215,-0.195,0.12399596767637246,-0.353,-0.2,0.019000000000000024,8
216,-0.13,0.12124355652982141,-0.306,-0.14,0.06600000000000002,8
217,-0.375,0.12796483892069727,-0.572,-0.38,-0.15499999999999997,8
218,-0.325,0.1362901317043901,-0.513,-0.3,-0.13399999999999998,8
219,-0.15000000000000002,0.15066519173319365,-0.379,-0.12,0.06600000000000002,8
220,-0.295,0.08930285549745877,-0.426,-0.32,-0.14099999999999996,8
221,-0.29500000000000004,0.10380269746013346,-0.45899999999999996,-0.30000000000000004,-0.13399999999999998,8
222,-0.20500000000000002,0.13028814220795382,-0.445,-0.2,-0.04699999999999999,8
223,-0.29000000000000004,0.10535653752852739,-0.433,-0.30000000000000004,-0.127,8
224,-0.32999999999999996,0.15588457268119899,-0.539,-0.38,-0.12,8
225,-0.215,0.14688430821568382,-0.393,-0.26,-0.006999999999999993,8
226,-0.19,0.08426149773176358,-0.28,-0.22,-0.04699999999999999,8
227,-0.34,0.18654758106177632,-0.553,-0.36,-0.087,8
228,-0.39,0.15588457268119896,-0.586,-0.4,-0.174,8
229,-0.26,0.1077032961426901,-0.4,-0.28,-0.087,8
230,-0.23,0.15588457268119899,-0.518,-0.22,-0.013999999999999986,8
231,-0.255,0.13105342422081157,-0.46599999999999997,-0.24000000000000002,-0.087,8
232,-0.31999999999999995,0.1442220510185596,-0.473,-0.36,-0.06099999999999998,8
233,-0.23,0.13076696830622023,-0.47800000000000004,-0.22,-0.087,8
234,-0.235,0.12718097341976903,-0.36,-0.26,0.012000000000000028,8
235,-0.225,0.142741024236202,-0.46599999999999997,-0.18,-0.08,8
236,-0.17,0.14662878298615178,-0.353,-0.15999999999999998,0.026000000000000016,8
237,-0.215,0.16844880527923017,-0.45899999999999996,-0.24,0.07800000000000004,8
238,-0.235,0.16054594358002322,-0.426,-0.30000000000000004,0.019000000000000024,8
239,-0.29500000000000004,0.14413535305399575,-0.499,-0.32,-0.053999999999999986,8
240,-0.195,0.20826665599658528,-0.5579999999999999,-0.22,0.06600000000000002,8
241,-0.17,0.10344080432788601,-0.346,-0.14,-0.020999999999999977,8
242,-0.325,0.14343988287781054,-0.598,-0.3,-0.167,8
243,-0.265,0.21811694111187238,-0.513,-0.30000000000000004,0.04,8
244,-0.33999999999999997,0.14832396974191325,-0.513,-0.38,-0.07499999999999996,8
245,-0.22000000000000003,0.1296148139681572,-0.393,-0.22,0.012000000000000028,8
246,-0.365,0.15548311805466214,-0.553,-0.36,-0.127,8
247,-0.35,0.12922847983320088,-0.539,-0.36,-0.14099999999999996,8
248,-0.26,0.11832159566199234,-0.511,-0.22,-0.167,8
249,-0.35000000000000003,0.07937253933193772,-0.46599999999999997,-0.36,-0.214,8
250,-0.245,0.1737095276604021,-0.506,-0.24000000000000002,-0.04,8
251,-0.33999999999999997,0.15362291495737218,-0.553,-0.34,-0.127,8
252,-0.34500000000000003,0.14688430821568382,-0.52,-0.32,-0.167,8
253,-0.29000000000000004,0.1452583904633395,-0.48,-0.32,-0.087,8
254,-0.24500000000000002,0.12399596767637244,-0.426,-0.26,-0.027999999999999973,8
255,-0.25,0.14247806848775008,-0.4,-0.28,0.005000000000000032,8
256,-0.15,0.08660254037844387,-0.24,-0.16,0.019000000000000024,8
257,-0.30000000000000004,0.13856406460551018,-0.506,-0.26,-0.127,8
258,-0.245,0.13028814220795384,-0.433,-0.24000000000000002,-0.053999999999999986,8
259,-0.24000000000000002,0.06928203230275509,-0.353,-0.22,-0.16,8
260,-0.37,0.09110433579144299,-0.473,-0.4,-0.207,8
261,-0.34500000000000003,0.25685599078082644,-0.633,-0.46,0.026000000000000016,8
262,-0.2,0.14142135623730953,-0.47800000000000004,-0.16,-0.020999999999999977,8
263,-0.08,0.1077032961426901,-0.259,-0.06,0.09200000000000003,8
264,-0.305,0.11651180197731044,-0.46599999999999997,-0.32,-0.127,8
265,-0.1,0.06633249580710801,-0.193,-0.1,0.019000000000000024,8
266,-0.24,0.11661903789690602,-0.45199999999999996,-0.24,-0.12,8
267,-0.21000000000000002,0.13228756555322954,-0.36,-0.24,0.04500000000000003,8
268,-0.41500000000000004,0.13555441711725957,-0.586,-0.44,-0.181,8
269,-0.16,0.0959166304662544,-0.273,-0.2,0.019000000000000024,8
270,-0.345,0.0998749217771909,-0.499,-0.36,-0.174,8
271,-0.2,0.19287301521985908,-0.393,-0.28,0.12500000000000003,8
272,-0.235,0.09886859966642594,-0.36,-0.24,-0.06099999999999998,8
273,-0.31000000000000005,0.1705872210923198,-0.586,-0.28,-0.06099999999999998,8
274,-0.305,0.1182159041753689,-0.45899999999999996,-0.32,-0.07499999999999996,8
275,-0.235,0.21207310060448498,-0.473,-0.22000000000000003,0.14400000000000007,8
276,-0.27,0.1307669683062202,-0.46599999999999997,-0.26,-0.09399999999999999,8
277,-0.16999999999999998,0.15459624833740307,-0.36,-0.2,0.09200000000000003,8
278,-0.31500000000000006,0.11736694594305504,-0.506,-0.30000000000000004,-0.14099999999999996,8
279,-0.27,0.10344080432788601,-0.4,-0.28,-0.10099999999999998,8
280,-0.29500000000000004,0.10758717395675005,-0.45899999999999996,-0.32,-0.16,8
