time_index,sample_mean,sample_std,q025,q500,q975,num_finite_samples
0,0.013,0.027910571473905726,-0.0292,0.016,0.0539,8
1,0.0725,0.02781636209140225,0.0322,0.068,0.1113,8
2,-0.067,0.04394314508543966,-0.13979999999999998,-0.057999999999999996,-0.0010999999999999899,8
3,0.07050000000000001,0.057721313221374304,-0.0063999999999999994,0.064,0.1683,8
4,0.11050000000000001,0.028138052526783013,0.057100000000000005,0.112,0.1485,8
5,-0.064,0.02366431913239846,-0.0946,-0.057999999999999996,-0.025599999999999994,8
6,-0.052500000000000005,0.03361175389651662,-0.1031,-0.05399999999999999,-0.016,8
7,-0.1145,0.04753682782853731,-0.19419999999999998,-0.118,-0.0515,8
8,-0.057,0.03083828789021855,-0.11159999999999999,-0.054,-0.011499999999999996,8
9,-0.1175,0.023232520310977882,-0.15059999999999998,-0.114,-0.0828,8
10,-0.1545,0.047452607936761496,-0.2125,-0.16,-0.06149999999999998,8
11,-0.17149999999999999,0.04192552921550305,-0.2271,-0.182,-0.1056,8
12,0.015,0.014247806848775007,-0.004,0.014,0.0346,8
13,0.05349999999999999,0.0386231795687512,-0.022199999999999998,0.064,0.09129999999999999,8
14,-0.045,0.04179712908801273,-0.0946,-0.05,0.020500000000000004,8
15,-0.051000000000000004,0.02161018278497431,-0.0819,-0.052000000000000005,-0.0174,8
16,-0.1175,0.051843514541358014,-0.1798,-0.134,-0.0407,8
17,-0.0665,0.046040742826327204,-0.1297,-0.07999999999999999,0.010400000000000006,8
18,-0.05499999999999999,0.06015812497078013,-0.1539,-0.044,0.013200000000000003,8
19,-0.052000000000000005,0.03298484500494129,-0.0979,-0.054,0.0024000000000000054,8
20,-0.15999999999999998,0.04395452195167182,-0.2316,-0.16199999999999998,-0.09499999999999999,8
21,-0.177,0.05105878964487896,-0.2412,-0.192,-0.0924,8
22,-0.053000000000000005,0.031543620591175006,-0.0873,-0.055999999999999994,0.0017000000000000062,8
23,0.0155,0.031964824416849225,-0.0476,0.022,0.053200000000000004,8
24,0.007499999999999999,0.04679476466443656,-0.048,0.008,0.0857,8
25,-0.0365,0.04401988187171792,-0.11159999999999999,-0.028,0.022600000000000002,8
26,0.14550000000000002,0.04853606906209031,0.0559,0.16,0.2071,8
27,0.025500000000000002,0.03417235724968355,-0.031799999999999995,0.03,0.0699,8
28,0.17149999999999999,0.019843134832984423,0.1395,0.172,0.2012,8
29,0.0495,0.03316247879758086,-0.0123,0.054,0.0873,8
30,0.0405,0.027381563140186135,0.0028000000000000004,0.039999999999999994,0.08900000000000001,8
31,-0.0975,0.029660579899927784,-0.1313,-0.1,-0.04819999999999999,8
32,-0.14100000000000001,0.029444863728670913,-0.1706,-0.15,-0.08439999999999999,8
33,-0.129,0.040385641012617345,-0.1793,-0.128,-0.06889999999999999,8
34,-0.11000000000000001,0.045825756949558406,-0.16590000000000002,-0.10800000000000001,-0.047499999999999994,8
35,0.17099999999999999,0.03525620512760839,0.1254,0.172,0.2172,8
36,0.088,0.011661903789690599,0.076,0.086,0.104,8
37,-0.004999999999999998,0.04160528812542944,-0.0605,-0.006,0.06380000000000001,8
38,0.049,0.03333166662499792,-0.004999999999999999,0.044,0.09720000000000001,8
39,0.11550000000000002,0.037706100302205746,0.076,0.112,0.1829,8
40,0.0085,0.047599894957867296,-0.0466,-0.004,0.0826,8
41,-0.1,0.03611094017053558,-0.1492,-0.10200000000000001,-0.0435,8
42,0.0034999999999999996,0.05409020243999832,-0.0768,-0.008,0.0975,8
43,-0.1135,0.03381937314617171,-0.1558,-0.122,-0.047199999999999985,8
44,-0.0485,0.023103030104295843,-0.0852,-0.046,-0.018099999999999998,8
45,-0.049,0.021142374511865975,-0.0746,-0.054,-0.011499999999999996,8
46,-0.0815,0.04749473655048526,-0.15510000000000002,-0.078,-0.0167,8
47,-0.11950000000000001,0.05170831654579367,-0.2081,-0.118,-0.046799999999999994,8
48,-0.021,0.048404545241123795,-0.0779,-0.028,0.045200000000000004,8
49,0.028999999999999998,0.052182372502599,-0.0525,0.028,0.1005,8
