unit_index,sample_mean,sample_std,q025,q500,q975,num_finite_samples
0,0.23,0.11958260743101398,0.028000000000000004,0.22,0.41900000000000004,8
1,0.28,0.1019803902718557,0.167,0.26,0.466,8
2,0.35000000000000003,0.09746794344808965,0.174,0.4,0.466,8
3,0.155,0.09041570660012561,0.08,0.12,0.339,8
4,0.29500000000000004,0.19589538024159733,0.007000000000000001,0.30000000000000004,0.6050000000000001,8
5,0.27,0.1717556403731767,0.021,0.22,0.539,8
6,0.2,0.15748015748023622,-0.033,0.18,0.426,8
7,0.22,0.1673320053068151,-0.026,0.22000000000000003,0.459,8
8,0.305,0.22175436861536685,-0.118,0.33999999999999997,0.52,8
9,0.11499999999999999,0.12718097341976906,-0.073,0.16,0.273,8
10,0.115,0.11565033506220379,-0.033,0.08,0.28,8
11,0.255,0.14413535305399575,0.054,0.24000000000000002,0.473,8
12,0.31500000000000006,0.20143237078483686,-0.030999999999999993,0.33999999999999997,0.6310000000000001,8
13,0.25,0.11789826122551596,0.087,0.24,0.452,8
14,0.13,0.176351920885484,-0.17200000000000001,0.2,0.313,8
15,0.245,0.19640519341402357,-0.08,0.30000000000000004,0.44,8
16,0.20500000000000002,0.14620191517213446,-0.011999999999999997,0.18,0.433,8
17,0.20500000000000002,0.15288884851420656,-0.059,0.24,0.41900000000000004,8
18,0.375,0.0998749217771909,0.247,0.38,0.539,8
19,0.14,0.1414213562373095,0.007000000000000001,0.12,0.42400000000000004,8
20,0.12000000000000001,0.15874507866387544,-0.09899999999999999,0.08,0.386,8
21,0.275,0.15288884851420656,0.028000000000000004,0.30000000000000004,0.49900000000000005,8
22,0.125,0.14620191517213446,-0.066,0.12,0.37200000000000005,8
23,0.18,0.12961481396815722,-0.052,0.18,0.353,8
24,0.33,0.17972200755611428,0.009000000000000001,0.36,0.6050000000000001,8
25,0.16,0.1216552506059644,0.0,0.16,0.32,8
26,0.225,0.20585188850238903,-0.026,0.2,0.513,8
27,0.2,0.14560219778561037,-0.026,0.22,0.41900000000000004,8
28,0.22999999999999998,0.14387494569938158,0.047,0.2,0.433,8
29,0.215,0.18214005600086985,-0.092,0.26,0.4,8
30,0.18,0.17204650534085253,-0.092,0.18,0.426,8
31,0.20500000000000002,0.19843134832984433,-0.033,0.22,0.49900000000000005,8
32,0.195,0.18701604209265044,-0.033,0.16,0.49200000000000005,8
33,0.24500000000000005,0.17022044530549202,0.007000000000000001,0.24000000000000002,0.506,8
34,0.13,0.13076696830622023,-0.04,0.12,0.28,8
35,0.31499999999999995,0.17255433926737399,0.054,0.32,0.6050000000000001,8
36,0.14,0.11489125293076058,0.0,0.14,0.313,8
37,0.28500000000000003,0.1066536450385077,0.127,0.30000000000000004,0.459,8
38,0.19,0.08660254037844387,0.094,0.16,0.36500000000000005,8
39,0.23500000000000001,0.13919410907075053,0.054,0.22000000000000003,0.459,8
40,0.195,0.19435791725576812,-0.132,0.2,0.433,8
41,0.29000000000000004,0.13674794331177342,0.094,0.28,0.532,8
42,0.14,0.044721359549995794,0.08,0.14,0.2,8
43,0.195,0.20043702252827444,-0.073,0.16,0.551,8
44,0.21000000000000002,0.12288205727444507,0.08,0.18,0.41900000000000004,8
45,0.245,0.1880824287380403,-0.026,0.22,0.546,8
46,0.13,0.11958260743101398,-0.033,0.14,0.313,8
47,0.29500000000000004,0.15612494995995996,0.028000000000000004,0.28,0.513,8
48,0.23,0.08426149773176358,0.094,0.22,0.353,8
49,0.16,0.17204650534085253,-0.033,0.08,0.426,8
50,0.26,0.14560219778561037,0.021,0.26,0.466,8
51,0.235,0.15548311805466214,0.08,0.18,0.506,8
52,0.30000000000000004,0.13114877048604,0.087,0.32,0.473,8
53,0.175,0.1810386699023167,-0.125,0.18,0.459,8
54,0.23500000000000001,0.13481468762712764,-0.038,0.28,0.386,8
