time_index,sample_mean,sample_std,q025,q500,q975,num_finite_samples
0,-0.15499999999999997,0.0458584779511924,-0.1899,-0.174,-0.05749999999999998,8
1,-0.21700000000000003,0.023643180835073777,-0.2532,-0.216,-0.18209999999999998,8
2,-0.273,0.0555607775323564,-0.3398,-0.286,-0.188,8
3,-0.23550000000000001,0.03646573734342966,-0.2932,-0.236,-0.1854,8
4,-0.20650000000000002,0.012796483892069728,-0.2266,-0.204,-0.1894,8
5,-0.21400000000000002,0.026907248094147424,-0.261,-0.218,-0.1807,8
6,-0.2725,0.03568963434948585,-0.32730000000000004,-0.262,-0.22419999999999998,8
7,-0.27,0.05203844732503075,-0.3518,-0.248,-0.2082,8
8,-0.2565,0.026790856649237624,-0.2986,-0.248,-0.22540000000000002,8
9,-0.23399999999999999,0.02280350850198276,-0.264,-0.236,-0.2021,8
10,-0.2645,0.037010133747394106,-0.3212,-0.262,-0.2155,8
11,-0.26,0.0295296461204668,-0.3019,-0.262,-0.2181,8
12,-0.23399999999999999,0.020880613017821105,-0.2685,-0.22999999999999998,-0.20609999999999998,8
13,-0.205,0.01808314132002512,-0.23579999999999998,-0.206,-0.17809999999999998,8
14,-0.273,0.034799425282610624,-0.3434,-0.26,-0.2362,8
15,-0.161,0.03474190553208042,-0.1946,-0.176,-0.0931,8
16,-0.269,0.04398863489584554,-0.3226,-0.272,-0.1891,8
17,-0.265,0.04542025979670305,-0.33749999999999997,-0.268,-0.18839999999999998,8
18,-0.20850000000000002,0.021017849556983697,-0.2346,-0.212,-0.1715,8
19,-0.244,0.03026549190084311,-0.297,-0.242,-0.2021,8
20,-0.253,0.019157244060668016,-0.2819,-0.256,-0.2228,8
21,-0.2795,0.015024979201316707,-0.3019,-0.28,-0.2607,8
22,-0.28650000000000003,0.033878459232969844,-0.31930000000000003,-0.29000000000000004,-0.21989999999999998,8
23,-0.30000000000000004,0.04595650117230422,-0.3772,-0.29000000000000004,-0.248,8
24,-0.258,0.03778888725538237,-0.3125,-0.262,-0.208,8
25,-0.1795,0.03215198283154555,-0.2226,-0.174,-0.1381,8
26,-0.246,0.028565713714171395,-0.29059999999999997,-0.244,-0.2094,8
27,-0.2485,0.025490194193061772,-0.28659999999999997,-0.252,-0.21409999999999998,8
28,-0.29250000000000004,0.024202272620561894,-0.33390000000000003,-0.28400000000000003,-0.2647,8
29,-0.2555,0.04046912403302054,-0.32480000000000003,-0.26,-0.1981,8
30,-0.2025,0.025293279739883476,-0.23529999999999998,-0.20400000000000001,-0.1661,8
31,-0.20700000000000002,0.031416556144810016,-0.24,-0.218,-0.1581,8
32,-0.2585,0.036273268394232124,-0.3307,-0.254,-0.2155,8
33,-0.176,0.025690465157330252,-0.21059999999999998,-0.174,-0.1362,8
34,-0.20650000000000002,0.04485253616017716,-0.2895,-0.202,-0.1437,8
35,-0.1885,0.016178689687363433,-0.204,-0.198,-0.1647,8
36,-0.2705,0.05157276412991648,-0.3535,-0.27,-0.1858,8
37,-0.255,0.023216373532487802,-0.272,-0.266,-0.2077,8
38,-0.27,0.02521904042583699,-0.3215,-0.266,-0.2428,8
39,-0.269,0.03675595189897822,-0.3271,-0.272,-0.21409999999999998,8
40,-0.30050000000000004,0.0392141556073824,-0.3386,-0.316,-0.22319999999999998,8
41,-0.2615,0.04009675797368162,-0.3269,-0.27,-0.1995,8
42,-0.179,0.030315012782448237,-0.2193,-0.178,-0.14070000000000002,8
43,-0.164,0.03872983346207416,-0.2113,-0.176,-0.1087,8
44,-0.2315,0.034953540593193125,-0.29109999999999997,-0.226,-0.1901,8
45,-0.21150000000000002,0.03823283928771182,-0.2586,-0.222,-0.1527,8
46,-0.1545,0.04132493194186774,-0.2222,-0.164,-0.09409999999999999,8
47,-0.222,0.036823905279043945,-0.26780000000000004,-0.23199999999999998,-0.15309999999999999,8
48,-0.21850000000000003,0.02863127660444082,-0.2631,-0.226,-0.17479999999999998,8
49,-0.2465,0.019487175269905083,-0.2765,-0.252,-0.2207,8
