unit_index,sample_mean,sample_std,q025,q500,q975,num_finite_samples
0,0.065,0.10758717395675008,-0.073,0.06,0.25900000000000006,8
1,0.17,0.15459624833740307,-0.026,0.16,0.426,8
2,0.14,0.15491933384829668,-0.04,0.12,0.41200000000000003,8
3,0.05,0.07937253933193772,-0.073,0.06,0.153,8
4,0.09,0.09746794344808964,-0.073,0.12,0.226,8
5,0.15,0.08426149773176358,0.04,0.16,0.273,8
6,0.05500000000000001,0.14551632210855248,-0.219,0.12,0.193,8
7,-0.13,0.09746794344808965,-0.299,-0.12,0.019000000000000024,8
8,0.14,0.1131370849898476,0.007000000000000001,0.14,0.35800000000000004,8
9,0.10500000000000001,0.06910137480542626,0.007000000000000001,0.12,0.193,8
10,-0.07500000000000001,0.10665364503850772,-0.2,-0.08,0.10600000000000001,8
11,0.15999999999999998,0.1296148139681572,-0.033,0.18,0.34600000000000003,8
12,0.115,0.11390785749894516,0.0,0.08,0.332,8
13,0.09500000000000001,0.07729812416870153,-0.026,0.08,0.226,8
14,0.045,0.16054594358002322,-0.153,0.020000000000000004,0.29900000000000004,8
15,0.15,0.05196152422706632,0.08,0.16,0.233,8
16,-0.0049999999999999975,0.088175960442742,-0.11299999999999999,-0.02,0.14600000000000002,8
17,0.04,0.13999999999999999,-0.212,0.06,0.226,8
18,0.1,0.1788854381999832,-0.16,0.1,0.37200000000000005,8
19,-0.015000000000000001,0.11989578808281798,-0.193,0.02,0.12,8
20,0.14,0.0916515138991168,0.014000000000000002,0.12,0.29900000000000004,8
21,0.1,0.09999999999999999,-0.092,0.12,0.226,8
22,-0.135,0.07193747284969079,-0.23299999999999998,-0.14,-0.04,8
23,0.225,0.1340708767779192,0.021,0.22,0.452,8
24,0.09000000000000001,0.1161895003862225,-0.073,0.1,0.29200000000000004,8
25,0.034999999999999996,0.10476163419878481,-0.106,0.02,0.21900000000000003,8
26,0.034999999999999996,0.1377497731395591,-0.106,0.0,0.31800000000000006,8
27,0.18,0.08944271909999159,0.014000000000000002,0.22,0.273,8
28,-0.125,0.1880824287380403,-0.433,-0.07999999999999999,0.08,8
29,0.025,0.18214005600086985,-0.28500000000000003,0.06,0.266,8
30,0.095,0.12796483892069727,-0.066,0.04,0.273,8
31,0.17,0.1452583904633395,0.007000000000000001,0.16,0.4,8
32,-0.025,0.1495827530165159,-0.22599999999999998,-0.06,0.21900000000000003,8
33,0.09000000000000001,0.07141428428542851,-0.026,0.1,0.193,8
34,-0.16999999999999998,0.10908712114635714,-0.313,-0.18,-0.006999999999999993,8
35,0.06,0.1371130920080209,-0.11299999999999999,0.06,0.266,8
36,0.115,0.09886859966642596,0.0,0.1,0.273,8
37,-0.07500000000000001,0.11905880899790658,-0.193,-0.14,0.139,8
38,0.04,0.09591663046625439,-0.132,0.04,0.16,8
39,-0.10500000000000001,0.11821590417536888,-0.23299999999999998,-0.14,0.10600000000000001,8
40,-0.095,0.08703447592764606,-0.193,-0.12,0.059000000000000025,8
41,0.095,0.1295183384698862,-0.04,0.08,0.3510000000000001,8
42,-0.025,0.11302654555457316,-0.193,-0.02,0.14600000000000002,8
43,-0.04,0.08485281374238571,-0.186,-0.02,0.07300000000000001,8
44,-0.15000000000000002,0.2007485989988473,-0.433,-0.12,0.08,8
45,0.025,0.14274102423620197,-0.12,0.0,0.29200000000000004,8
46,0.145,0.19176808910765109,-0.09899999999999999,0.12000000000000001,0.4780000000000001,8
47,0.015,0.09785192895390464,-0.146,0.04,0.153,8
48,-0.135,0.11124297730643495,-0.273,-0.14,0.07800000000000004,8
49,-0.09,0.08185352771872449,-0.193,-0.08,0.059000000000000025,8
50,0.015000000000000001,0.11989578808281798,-0.153,0.06,0.153,8
51,-0.05499999999999999,0.1522333734763833,-0.32499999999999996,-0.04,0.14600000000000002,8
52,-0.009999999999999998,0.11958260743101398,-0.193,0.02,0.153,8
53,-0.005000000000000001,0.14756354563373708,-0.2,0.06,0.153,8
54,0.115,0.09041570660012563,0.007000000000000001,0.08,0.273,8
55,-0.125,0.07599342076785333,-0.259,-0.12,-0.04,8
56,-0.01,0.0818535277187245,-0.17200000000000001,0.02,0.07300000000000001,8
57,0.085,0.17485708450045712,-0.153,0.14,0.332,8
58,-0.11,0.17175564037317667,-0.353,-0.1,0.113,8
59,-0.155,0.18701604209265046,-0.393,-0.15999999999999998,0.10600000000000001,8
60,-0.135,0.10943034314119644,-0.273,-0.14,0.0,8
61,-0.15,0.06855654600401044,-0.23299999999999998,-0.16,-0.020999999999999977,8
62,0.095,0.08470537173048708,0.0,0.1,0.226,8
63,-0.014999999999999998,0.1182159041753689,-0.22599999999999998,0.02,0.113,8
64,0.16999999999999998,0.1609347693943108,-0.066,0.2,0.36,8
65,0.13,0.1260952021291849,-0.033,0.12,0.339,8
66,0.075,0.11213830746002901,-0.04,0.02,0.24,8
67,-0.1,0.12489995996796797,-0.273,-0.1,0.07300000000000001,8
68,0.08,0.16492422502470644,-0.17200000000000001,0.08,0.332,8
69,0.095,0.15612494995995993,-0.132,0.08,0.38400000000000006,8
70,-0.18,0.1442220510185596,-0.41200000000000003,-0.18,0.026000000000000016,8
71,0.034999999999999996,0.14203872711341792,-0.186,0.04,0.226,8
72,-0.05,0.08660254037844387,-0.186,-0.04,0.04,8
73,0.15000000000000002,0.09539392014169457,-0.019,0.16,0.273,8
74,-0.1,0.07745966692414834,-0.23299999999999998,-0.08,-0.006999999999999993,8
75,0.02,0.1019803902718557,-0.106,-0.04,0.16,8
76,0.14,0.08717797887081347,-0.019,0.16,0.266,8
77,-0.155,0.11390785749894516,-0.33899999999999997,-0.16,0.026000000000000016,8
78,0.18,0.0721110255092798,0.054,0.18,0.273,8
