time_index,sample_mean,sample_std,q025,q500,q975,num_finite_samples
0,-0.057499999999999996,0.052761254723518475,-0.133,-0.062,0.03210000000000001,8
1,0.004,0.03358571124749333,-0.0506,0.012,0.0459,8
2,0.1405,0.02664113360951444,0.0988,0.148,0.1805,8
3,0.060000000000000005,0.04569463863518344,-0.0073,0.064,0.1193,8
4,0.07250000000000001,0.039468341743731775,-0.0026999999999999993,0.07999999999999999,0.125,8
5,0.060000000000000005,0.07042726744663604,-0.0273,0.06,0.1865,8
6,-0.010500000000000002,0.021254411306832283,-0.0379,-0.01,0.027100000000000006,8
7,0.027,0.043347433603386484,-0.041,0.032,0.09110000000000001,8
8,0.004499999999999997,0.043928919859245345,-0.0598,0.008,0.0579,8
9,0.095,0.031032241298365803,0.0487,0.096,0.1346,8
10,0.10200000000000001,0.03193743884534262,0.0543,0.094,0.15059999999999998,8
11,0.0525,0.050455425872744354,-0.0417,0.07200000000000001,0.1019,8
12,0.0595,0.030162062263711348,0.0122,0.055999999999999994,0.0993,8
13,0.0165,0.04163832369344376,-0.0353,0.027999999999999997,0.0692,8
14,-0.067,0.02142428528562855,-0.10049999999999999,-0.068,-0.0341,8
15,0.1265,0.0436777975635219,0.051500000000000004,0.134,0.1812,8
16,0.08349999999999999,0.03190219428189854,0.0414,0.07999999999999999,0.1365,8
17,0.186,0.04180908992073375,0.1327,0.184,0.2589,8
18,-0.010499999999999999,0.05929376021134096,-0.101,-0.018000000000000002,0.0626,8
19,-0.08399999999999999,0.038105117766515297,-0.124,-0.098,-0.027499999999999997,8
20,-0.0885,0.031076518466520667,-0.12329999999999999,-0.094,-0.0428,8
21,0.148,0.0463033476111609,0.0901,0.138,0.21910000000000002,8
22,0.082,0.04019950248448356,0.0143,0.082,0.13720000000000002,8
23,0.0885,0.04076456794815812,0.035500000000000004,0.076,0.1565,8
24,-0.0505,0.06049586762746692,-0.133,-0.064,0.0426,8
25,-0.07800000000000001,0.044586993619215906,-0.1563,-0.07200000000000001,-0.016199999999999996,8
26,-0.16849999999999998,0.013028814220795382,-0.1906,-0.164,-0.15009999999999998,8
27,-0.0405,0.03196482441684922,-0.0779,-0.056,0.009900000000000003,8
28,0.113,0.036318039594669754,0.068,0.114,0.1586,8
29,0.1445,0.03916312040683173,0.09079999999999999,0.14,0.2052,8
30,-0.012000000000000004,0.05257375771237966,-0.08120000000000001,-0.014000000000000002,0.06380000000000001,8
31,0.087,0.05490901565316938,0.0228,0.07200000000000001,0.1751,8
32,0.113,0.030182776545573144,0.0649,0.11,0.16310000000000002,8
33,0.148,0.029732137494637007,0.1094,0.146,0.2036,8
34,0.0475,0.03992179855667828,0.0014000000000000002,0.048,0.1149,8
35,0.017,0.027910571473905726,-0.0245,0.02,0.06690000000000002,8
36,-0.099,0.03968626966596886,-0.1544,-0.106,-0.026999999999999993,8
37,-0.081,0.02161018278497431,-0.1099,-0.08399999999999999,-0.04089999999999999,8
38,-0.036500000000000005,0.04859783945814876,-0.0819,-0.056,0.06200000000000001,8
39,0.024,0.03440930106817051,-0.0219,0.018000000000000002,0.0746,8
40,-0.08049999999999999,0.0496160256368847,-0.1485,-0.092,-0.006099999999999998,8
41,0.068,0.03594440151122286,0.004200000000000001,0.08399999999999999,0.1085,8
42,0.1545,0.04489710458370339,0.0804,0.16199999999999998,0.2184,8
43,-0.044000000000000004,0.03929376540877701,-0.1043,-0.05,0.015300000000000001,8
44,0.089,0.04667976006793523,0.0308,0.07999999999999999,0.169,8
45,0.053000000000000005,0.0345108678534748,0.0082,0.039999999999999994,0.1092,8
46,-0.035500000000000004,0.04888506929523574,-0.1052,-0.042,0.036500000000000005,8
47,0.135,0.03254228019054596,0.0948,0.128,0.1859,8
48,-0.10650000000000001,0.026452788132822595,-0.1412,-0.106,-0.0602,8
49,0.0745,0.06219123732488364,-0.0371,0.07400000000000001,0.1674,8
