time_index,sample_mean,sample_std,q025,q500,q975,num_finite_samples
0,-0.2885,0.03607977272655691,-0.345,-0.294,-0.2329,8
1,-0.3885,0.03635587985457098,-0.424,-0.406,-0.3237,8
2,-0.22699999999999998,0.033331666624997924,-0.27580000000000005,-0.22599999999999998,-0.1717,8
3,-0.376,0.054808758424178886,-0.4419,-0.386,-0.2764,8
4,-0.4325,0.0494545245655036,-0.5019,-0.424,-0.35050000000000003,8
5,-0.41600000000000004,0.037841775856849,-0.47459999999999997,-0.402,-0.3727,8
6,-0.3145,0.03959482289390874,-0.3725,-0.31,-0.264,8
7,-0.45449999999999996,0.024489793792516912,-0.4958,-0.45,-0.428,8
8,-0.471,0.05387949517209679,-0.5353,-0.474,-0.3681,8
9,-0.379,0.04922397789695588,-0.4591,-0.38,-0.3101,8
10,-0.30100000000000005,0.05743692192309751,-0.3626,-0.316,-0.2023,8
11,-0.42400000000000004,0.04280186911806538,-0.49319999999999997,-0.41000000000000003,-0.3748,8
12,-0.4055,0.03104432315255078,-0.4596,-0.41,-0.36469999999999997,8
13,-0.258,0.03261901286060018,-0.30519999999999997,-0.262,-0.2023,8
14,-0.387,0.04865182422068057,-0.4426,-0.396,-0.3136,8
15,-0.34099999999999997,0.0358747822293042,-0.3925,-0.336,-0.2894,8
16,-0.4305,0.04837096236379839,-0.4899,-0.442,-0.35429999999999995,8
17,-0.1905,0.03682051058852932,-0.2497,-0.188,-0.14070000000000002,8
18,-0.268,0.05007993610219565,-0.3603,-0.252,-0.2174,8
19,-0.4735,0.05130058479198849,-0.5285,-0.498,-0.3856,8
20,-0.44999999999999996,0.04064480286580316,-0.5158,-0.432,-0.40869999999999995,8
21,-0.3825,0.027708302004994814,-0.4226,-0.386,-0.3376,8
22,-0.46099999999999997,0.03761648574760805,-0.5066,-0.476,-0.4002,8
23,-0.4465,0.01864805619897152,-0.4805,-0.442,-0.4254,8
24,-0.361,0.03819685850956856,-0.4132,-0.362,-0.30019999999999997,8
25,-0.37,0.03847076812334269,-0.4226,-0.368,-0.3025,8
26,-0.2515,0.019843134832984426,-0.2852,-0.248,-0.22870000000000001,8
27,-0.278,0.029325756597230364,-0.3205,-0.28600000000000003,-0.2367,8
28,-0.193,0.030116440692751194,-0.2405,-0.192,-0.1527,8
29,-0.2755,0.03749333274063536,-0.3146,-0.28600000000000003,-0.20249999999999999,8
30,-0.32399999999999995,0.02683281572999747,-0.3605,-0.332,-0.2795,8
31,-0.369,0.03427827300200523,-0.4217,-0.37,-0.31429999999999997,8
32,-0.4055,0.04399715899918994,-0.4763,-0.41000000000000003,-0.3454,8
33,-0.29100000000000004,0.05286775955154521,-0.3544,-0.304,-0.1919,8
34,-0.4465,0.05425633603552678,-0.546,-0.436,-0.3842,8
35,-0.46199999999999997,0.04166533331199933,-0.5172,-0.45799999999999996,-0.40869999999999995,8
36,-0.3745,0.017080690852538723,-0.39530000000000004,-0.376,-0.3416,8
37,-0.321,0.027110883423451918,-0.36970000000000003,-0.322,-0.2828,8
38,-0.40650000000000003,0.04069090807539199,-0.45790000000000003,-0.41200000000000003,-0.34469999999999995,8
39,-0.3165,0.03402572556169817,-0.3433,-0.34,-0.2555,8
40,-0.4545,0.047997395762686954,-0.5238,-0.452,-0.3795,8
41,-0.30100000000000005,0.01926136028425823,-0.3292,-0.302,-0.2708,8
42,-0.316,0.022360679774997894,-0.3485,-0.322,-0.28140000000000004,8
43,-0.37,0.021633307652783942,-0.39930000000000004,-0.368,-0.3348,8
44,-0.399,0.029512709126747416,-0.4433,-0.394,-0.3614,8
45,-0.372,0.03720215047547655,-0.4304,-0.366,-0.3221,8
46,-0.33449999999999996,0.0496764531745172,-0.38730000000000003,-0.352,-0.2411,8
47,-0.29500000000000004,0.030446674695276663,-0.336,-0.3,-0.2567,8
48,-0.325,0.0377756535350482,-0.3812,-0.334,-0.2767,8
49,-0.4035,0.04614921451119184,-0.4789,-0.406,-0.32839999999999997,8
