unit_index,sample_mean,sample_std,q025,q500,q975,num_finite_samples
0,-0.48000000000000004,0.18761663039293716,-0.753,-0.42,-0.28,8
1,-0.345,0.17428425057933378,-0.666,-0.24,-0.207,8
2,-0.195,0.10851267207105353,-0.379,-0.16,-0.027999999999999973,8
3,-0.5750000000000001,0.12318684994754922,-0.779,-0.54,-0.44,8
4,-0.505,0.08231038816577164,-0.633,-0.5,-0.374,8
5,-0.42500000000000004,0.12479983974348685,-0.593,-0.44,-0.247,8
6,-0.42500000000000004,0.1969136866751522,-0.713,-0.42000000000000004,-0.14099999999999996,8
7,-0.44000000000000006,0.16492422502470644,-0.68,-0.42000000000000004,-0.18799999999999997,8
8,-0.40499999999999997,0.11034038245356956,-0.546,-0.44,-0.214,8
9,-0.20500000000000002,0.08351646544245032,-0.313,-0.2,-0.06099999999999998,8
10,-0.31,0.1705872210923198,-0.546,-0.30000000000000004,-0.027999999999999973,8
11,-0.45499999999999996,0.18540496217739158,-0.673,-0.48,-0.12199999999999996,8
12,-0.47,0.08185352771872452,-0.56,-0.48,-0.327,8
13,-0.285,0.11213830746002902,-0.433,-0.32,-0.09399999999999999,8
14,-0.29000000000000004,0.08660254037844388,-0.4,-0.28,-0.167,8
15,-0.445,0.13181426326464066,-0.633,-0.45999999999999996,-0.28,8
16,-0.495,0.0746659226153404,-0.626,-0.48,-0.40700000000000003,8
17,-0.18000000000000002,0.13564659966250536,-0.419,-0.14,-0.013999999999999986,8
18,-0.22,0.12806248474865697,-0.426,-0.18,-0.08,8
19,-0.38,0.09797958971132711,-0.48,-0.4,-0.18799999999999997,8
20,-0.14,0.12,-0.372,-0.1,-0.006999999999999993,8
21,-0.245,0.20143237078483686,-0.591,-0.26,0.03300000000000001,8
22,-0.46,0.13114877048604,-0.699,-0.44,-0.32,8
23,-0.505,0.10571187255932987,-0.725,-0.48,-0.40700000000000003,8
24,-0.375,0.1370218960604472,-0.612,-0.38,-0.174,8
25,-0.44,0.13114877048604,-0.6,-0.45999999999999996,-0.22099999999999997,8
26,-0.015,0.13991068579633223,-0.304,0.04,0.113,8
27,-0.27,0.17058722109231983,-0.546,-0.26,-0.04699999999999999,8
28,-0.22,0.13999999999999999,-0.393,-0.24,0.04500000000000003,8
29,-0.26,0.21354156504062627,-0.56,-0.2,0.04500000000000003,8
30,-0.15,0.17175564037317667,-0.353,-0.22,0.139,8
31,-0.245,0.1848648154733615,-0.473,-0.26,0.10400000000000006,8
32,-0.16,0.08717797887081348,-0.273,-0.16,-0.04,8
33,-0.47000000000000003,0.11269427669584645,-0.633,-0.48,-0.32,8
34,-0.395,0.16545392107774298,-0.6,-0.38,-0.167,8
35,-0.22,0.11135528725660045,-0.353,-0.24000000000000002,-0.04699999999999999,8
36,-0.46,0.21447610589527216,-0.739,-0.5,-0.10799999999999997,8
37,-0.28,0.07211102550927977,-0.36,-0.28,-0.167,8
38,-0.31,0.13228756555322954,-0.584,-0.28,-0.174,8
39,-0.295,0.11651180197731044,-0.492,-0.28,-0.127,8
40,-0.195,0.088175960442742,-0.306,-0.22,-0.027999999999999973,8
41,-0.33499999999999996,0.0957862203033401,-0.4,-0.38,-0.14099999999999996,8
42,-0.225,0.11302654555457316,-0.419,-0.24,-0.08,8
43,-0.4,0.09165151389911681,-0.539,-0.44,-0.28,8
