time_index,sample_mean,sample_std,q025,q500,q975,num_finite_samples
0,0.02,0.04147288270665544,-0.042899999999999994,0.016,0.09020000000000002,8
1,0.01,0.03469870314579494,-0.0419,0.018,0.053200000000000004,8
2,0.012,0.041569219381653054,-0.0346,0.0,0.0706,8
3,0.1015,0.02323252031097789,0.0668,0.1,0.1313,8
4,-0.073,0.02471841418861655,-0.0953,-0.08399999999999999,-0.026299999999999994,8
5,0.07899999999999999,0.03798683982644516,0.0315,0.074,0.1436,8
6,0.1115,0.0377591048622713,0.0387,0.11399999999999999,0.15980000000000003,8
7,0.0395,0.05266640295292627,-0.0346,0.036,0.116,8
8,0.1745,0.04849484508687495,0.08960000000000001,0.18,0.2358,8
9,0.054000000000000006,0.03841874542459709,0.0035000000000000005,0.046,0.1033,8
10,0.1045,0.04917062130988381,0.027,0.116,0.1725,8
11,0.0305,0.03751999466950922,-0.031099999999999996,0.036,0.0793,8
12,0.029,0.03044667469527666,-0.028999999999999998,0.036000000000000004,0.06520000000000001,8
13,-0.0925,0.0598142959500486,-0.1817,-0.094,-0.0020999999999999977,8
14,-0.006,0.024000000000000004,-0.0386,-0.004,0.0273,8
15,0.063,0.02875760768909681,0.0129,0.068,0.0953,8
16,0.043,0.02747726332806817,-0.0135,0.048,0.0706,8
17,0.022000000000000002,0.029257477676655586,-0.019799999999999998,0.02,0.07300000000000001,8
18,-0.0155,0.03749333274063536,-0.0803,-0.006,0.0313,8
19,0.051000000000000004,0.029580398915498077,0.0181,0.04,0.1012,8
20,0.013000000000000001,0.03386738844375219,-0.045200000000000004,0.024,0.0513,8
21,0.119,0.02114237451186598,0.0934,0.11399999999999999,0.15580000000000002,8
22,-0.08299999999999999,0.0273313007374329,-0.1285,-0.078,-0.0494,8
23,0.0905,0.036820510588529316,0.0402,0.08,0.1473,8
24,0.0385,0.03903524048856366,-0.0139,0.04,0.0951,8
25,0.0925,0.023701265788982663,0.051500000000000004,0.096,0.1278,8
26,0.152,0.04093897898091744,0.0785,0.16,0.2059,8
27,0.025,0.04865182422068057,-0.0657,0.048,0.07840000000000001,8
28,-0.0365,0.05319539453749732,-0.10830000000000001,-0.054,0.05870000000000001,8
29,0.0014999999999999996,0.03566160400206363,-0.0596,0.002,0.051100000000000007,8
30,0.172,0.043358966777357594,0.1075,0.172,0.2377,8
31,0.14450000000000002,0.03367120431466626,0.0797,0.156,0.1793,8
32,0.082,0.036660605559646724,0.0235,0.08399999999999999,0.1346,8
33,0.0935,0.050593971972953455,0.0129,0.094,0.1586,8
34,-0.0075,0.017022044530549202,-0.0273,-0.014,0.018600000000000002,8
35,0.036000000000000004,0.0360555127546399,-0.030199999999999998,0.04,0.0793,8
36,0.064,0.049839743177508444,0.0047,0.066,0.1476,8
37,0.025,0.02551470164434615,-0.0125,0.024,0.056,8
38,0.021500000000000002,0.031044323152550776,-0.016,0.018000000000000002,0.0758,8
39,0.025999999999999995,0.04108527716834827,-0.030399999999999996,0.012,0.0852,8
40,-0.0295,0.028770644761631603,-0.0843,-0.024,-0.0006999999999999993,8
41,-0.0285,0.02386943652456002,-0.056,-0.034,0.015100000000000006,8
42,0.024,0.03334666400106614,-0.0285,0.024,0.07840000000000001,8
43,-0.042499999999999996,0.03554926159570688,-0.09580000000000001,-0.036000000000000004,-0.0013999999999999987,8
44,0.05450000000000001,0.023404059476936905,0.014100000000000001,0.062,0.0819,8
45,0.08249999999999999,0.03393744244930664,0.0388,0.078,0.14500000000000002,8
46,0.16949999999999998,0.030524580259194387,0.10980000000000001,0.178,0.2052,8
47,0.069,0.039076847365159845,0.0221,0.06,0.12190000000000001,8
48,-0.017,0.022516660498395406,-0.0506,-0.02,0.017900000000000003,8
49,0.0505,0.0327375930697417,0.0087,0.044,0.0953,8
