time_index,sample_mean,sample_std,q025,q500,q975,num_finite_samples
0,0.25675000000000003,0.04183823012509014,0.183,0.258,0.319,16
1,0.38075000000000003,0.04164657849091568,0.317,0.368,0.452,16
2,0.40975000000000006,0.03854785986277319,0.3535,0.412,0.4755,16
3,0.40275000000000005,0.037221465581032676,0.3395,0.404,0.453,16
4,0.437,0.04097560249709577,0.359,0.436,0.5065,16
5,0.43975,0.05382320596174108,0.3695,0.442,0.5475000000000001,16
6,0.46125,0.03772847068196643,0.40700000000000003,0.46,0.533,16
7,0.47325,0.031645497310043964,0.41750000000000004,0.468,0.5275000000000001,16
8,0.40950000000000003,0.026790856649237624,0.36,0.404,0.448,16
9,0.4415,0.04383776910382188,0.3535,0.448,0.5025,16
10,0.4275,0.038778215533982474,0.3715,0.414,0.4945,16
11,0.4475,0.053644664226743,0.3535,0.458,0.5275000000000001,16
12,0.45175,0.03567824967679889,0.388,0.462,0.498,16
13,0.44799999999999995,0.029597297173897488,0.4055,0.448,0.497,16
14,0.3985,0.03582945715469326,0.333,0.41,0.4425,16
15,0.4505,0.031140809238040044,0.398,0.456,0.493,16
16,0.40049999999999997,0.036684465377050265,0.3345,0.404,0.47,16
17,0.3775,0.03646573734342966,0.3205,0.374,0.449,16
18,0.42425,0.03179524335494226,0.375,0.428,0.477,16
19,0.41600000000000004,0.032619012860600184,0.361,0.42,0.465,16
20,0.45525,0.05757115162996134,0.366,0.444,0.5685,16
21,0.477,0.03377869150810908,0.414,0.484,0.526,16
22,0.42475,0.03858027345678099,0.34900000000000003,0.422,0.4915,16
23,0.44225000000000003,0.04758085224121148,0.35400000000000004,0.448,0.5115000000000001,16
24,0.41950000000000004,0.037706100302205746,0.3615,0.42,0.4915,16
25,0.4277500000000001,0.0362068708949006,0.35350000000000004,0.44,0.468,16
26,0.38725,0.04483790249331474,0.317,0.38,0.461,16
27,0.3895,0.02521408336624595,0.352,0.396,0.4365,16
28,0.3635,0.03420160814932538,0.3125,0.366,0.4225,16
29,0.40725,0.04710029193115474,0.3355,0.402,0.4905,16
30,0.435,0.040902322672435126,0.359,0.428,0.5065,16
31,0.432,0.05093132631298737,0.327,0.43,0.513,16
32,0.41950000000000004,0.04051851428668134,0.3425,0.416,0.476,16
33,0.41825,0.05188388478130758,0.316,0.424,0.4925,16
34,0.4315,0.042281792771830286,0.362,0.438,0.492,16
35,0.41225,0.03545331437256607,0.3375,0.416,0.464,16
36,0.43674999999999997,0.04283033387682146,0.364,0.436,0.5095000000000001,16
37,0.432,0.032465366161495854,0.372,0.432,0.4825,16
38,0.44725000000000004,0.04688749833377763,0.3665,0.448,0.525,16
39,0.448,0.05360970061472084,0.35500000000000004,0.452,0.543,16
40,0.43175,0.049466529087859,0.333,0.442,0.5035000000000001,16
41,0.45175,0.03973584653684882,0.372,0.454,0.508,16
42,0.44625,0.03234095700501146,0.3835,0.444,0.488,16
43,0.43625,0.03861265984104178,0.3655,0.444,0.5,16
44,0.44025000000000003,0.03672788450210548,0.3585,0.448,0.481,16
45,0.4085,0.035968736424845396,0.34400000000000003,0.404,0.4715,16
46,0.40475000000000005,0.03338319187854871,0.351,0.406,0.4635,16
47,0.387,0.03884584919911007,0.3265,0.384,0.449,16
48,0.40225,0.051380322108760666,0.3375,0.398,0.4875,16
49,0.41675,0.0249887474676103,0.3655,0.42,0.4505,16
