category,name,estimate,true,squared_error
scalar,beta,-0.3152855304189502,-0.3,0.00023364744018865185
scalar,xi,0.7362536818053472,0.8,0.004063593083373925
scalar,eta,0.3012955243984586,0.3,1.6783834670014962e-06
metric,final_loss,0.5292441380354146,,
metric,field_rmse,0.6137169294748492,,
metric,interaction_fro_error,0.22583675458148347,,
metric,penalized_objective,0.5346306190212838,,
metric,mple_loss_without_penalty,0.5292441380354146,,
metric,lambda_uv_ridge,0.01,,
metric,u_frobenius_norm,116.03104095315715,,
metric,v_frobenius_norm,1.7320508075688772,,
metric,effective_rank,3.0,,
latent_diagnostic,estimated_field_max_abs_entry,9.990483088571553,,
latent_diagnostic,estimated_field_rank,3.0,3.0,
latent_diagnostic,true_field_max_abs_entry,2.8579940649131412,,
latent_diagnostic,true_field_rank,3.0,,
