category,name,estimate,true,squared_error
parameter,field::intercept,0.504524377151267,0.5,2.0469988606906597e-05
parameter,beta,0.4081232399305051,0.4,6.598702696855195e-05
parameter,interaction::adjacency,0.47514956447090856,0.5,0.0006175441459855302
parameter,eta,0.11206740161047478,0.1,0.00014562218162848914
parameter,zeta,-0.4962881341788518,-0.5,1.3777947874208096e-05
parameter,psi,0.3852816887865784,0.4,0.00021662868497513194
metric,final_loss,0.5437726854759608,,
metric,field_rmse,0.004524377151266967,,
metric,interaction_fro_error,0.06039054896581456,,
metric,parameter_rmse,0.013416594053874839,,
