category,name,estimate,true,squared_error
parameter,field::intercept,1.0120639156949205,1.0,0.00014553806189414895
parameter,beta,1.1090161751860472,1.1,8.129141498549213e-05
parameter,interaction::adjacency,1.988807001989035,2.0,0.00012528320447346806
parameter,eta,0.6771430596060836,0.7,0.0005224397241710468
parameter,zeta,-0.9994674469458624,-1.0,2.8361275547125835e-07
parameter,psi,0.39897929588310077,0.4,1.0418368942550807e-06
metric,final_loss,0.17038898274404735,,
metric,field_rmse,0.012063915694920489,,
metric,interaction_fro_error,0.026797773825895103,,
metric,parameter_rmse,0.01208220354608299,,
