category,name,estimate,true,squared_error
parameter,field::intercept,0.2586344428063131,0.18,0.006183375595459326
parameter,beta,0.20090988124898754,0.12,0.006546408883725266
parameter,interaction::adjacency,0.21266722014564082,0.125,0.007685541488064252
parameter,interaction::distance_kernel::feature_1,0.3474298365535281,0.04,0.09451310440332902
parameter,interaction::cross_similarity::feature_1,-0.6350083550903918,0.02,0.4290359452382208
parameter,interaction::distance_kernel::feature_2,-0.7215851016631151,0.04,0.5800118670752173
parameter,interaction::cross_similarity::feature_2,0.45773677120535944,0.02,0.19161348086529317
parameter,interaction::distance_kernel::feature_3,-0.023796623170573093,0.04,0.004070009127968103
parameter,interaction::cross_similarity::feature_3,0.0827521109761867,0.02,0.003937827431967651
parameter,interaction::distance_kernel::feature_4,0.45394697665973915,0.04,0.17135209948573865
parameter,interaction::cross_similarity::feature_4,0.879097156468046,0.02,0.7380479242514822
parameter,interaction::distance_kernel::feature_5,0.07117318122258955,0.065,3.8108166406932133e-05
parameter,interaction::cross_similarity::feature_5,-0.06369303777404647,0.07,0.017873828349252618
parameter,eta,0.05926922007567116,0.01,0.002427456046864918
parameter,zeta,-0.21670737862808181,-0.15,0.004449874363430267
parameter,psi,0.06309807923966584,0.05,0.0001715596797685653
metric,final_loss,0.64978006910839,,
metric,field_rmse,0.0786344428063131,,
metric,interaction_fro_error,0.9305450365163063,,
metric,parameter_rmse,0.3756626154586876,,
