category,name,estimate,true,squared_error
parameter,field::intercept,1.0023268649035793,1.0,5.414300279508877e-06
parameter,beta,1.1055357800880639,1.1,3.064486118340331e-05
parameter,interaction::adjacency,0.4105921106709591,0.375,0.001266798342013799
parameter,interaction::distance_kernel::feature_1,0.11734019494988665,0.12,7.074562904608455e-06
parameter,interaction::cross_similarity::feature_1,-0.05703028283895473,0.06,0.013696087101365741
parameter,interaction::distance_kernel::feature_2,0.0917213669510086,0.12,0.0007996810871195082
parameter,interaction::cross_similarity::feature_2,0.12703193900210916,0.06,0.004493280846382483
parameter,interaction::distance_kernel::feature_3,0.11405740697757336,0.12,3.531441183019379e-05
parameter,interaction::cross_similarity::feature_3,-0.0692300872018226,0.06,0.016700415438190674
parameter,interaction::distance_kernel::feature_4,0.12043302377199301,0.12,1.875095871110593e-07
parameter,interaction::cross_similarity::feature_4,-0.05625006941514957,0.06,0.013514078639027092
parameter,interaction::distance_kernel::feature_5,0.20070141755343018,0.195,3.250616211856174e-05
parameter,interaction::cross_similarity::feature_5,-0.22858561686203666,0.21,0.19235734331825324
parameter,eta,0.6994649836813224,0.7,2.862424612513137e-07
parameter,zeta,-1.0016314295514004,-1.0,2.661562381182469e-06
parameter,psi,0.4015778858745714,0.4,2.4897238331718283e-06
metric,final_loss,0.24697016620486442,,
metric,field_rmse,0.002326864903579251,,
metric,interaction_fro_error,0.18750238293662438,,
metric,parameter_rmse,0.1232234413851854,,
