category,name,estimate,true,squared_error
parameter,field::intercept,0.993876560361183,1.0,3.749651301023536e-05
parameter,beta,1.092042637183914,1.1,6.3319622986829e-05
parameter,interaction::adjacency,0.5457321156701341,0.375,0.02914945532120006
parameter,interaction::distance_kernel::feature_1,-0.015538238663018298,0.12,0.018370614139873304
parameter,interaction::cross_similarity::feature_1,-5.226733621758347,0.06,27.949552387430128
parameter,interaction::distance_kernel::feature_2,0.17512622221872037,0.12,0.00303890037610774
parameter,interaction::cross_similarity::feature_2,-7.415655809622962,0.06,55.88542978394953
parameter,interaction::distance_kernel::feature_3,-0.004515186218080355,0.12,0.015504031598923225
parameter,interaction::cross_similarity::feature_3,0.25796003236259957,0.06,0.039188174413001466
parameter,interaction::distance_kernel::feature_4,0.1367045013928798,0.12,0.000279040366784723
parameter,interaction::cross_similarity::feature_4,1.5634842857974816,0.06,2.260464997639963
parameter,interaction::distance_kernel::feature_5,0.1664890894363774,0.195,0.0008128720211668864
parameter,interaction::cross_similarity::feature_5,1.3236255699701536,0.21,1.2401619100913495
parameter,eta,0.7008607033172564,0.7,7.408102003361816e-07
parameter,zeta,-0.987193293115301,-1.0,0.0001640117412305963
parameter,psi,0.3871276629586797,0.4,0.00016569706090534787
metric,final_loss,0.3174319927983658,,
metric,field_rmse,0.006123439638817007,,
metric,interaction_fro_error,3.2025293637029115,,
metric,parameter_rmse,2.337765806185154,,
