category,name,estimate,true,squared_error
scalar,beta,-0.6750985996327179,-0.3,0.140698959446426
scalar,xi,0.7002867566479731,0.8,0.00994273089978054
scalar,eta,0.6595330661562043,0.3,0.12926402565968162
metric,final_loss,0.22174236746639076,,
metric,field_rmse,1.9446101692588873,,
metric,interaction_fro_error,0.2635599382457937,,
metric,penalized_objective,0.2545657918486435,,
metric,mple_loss_without_penalty,0.22174236746639076,,
metric,lambda_uv_ridge,0.001,,
metric,u_frobenius_norm,311.9064440966186,,
metric,v_frobenius_norm,1.732050807568877,,
metric,effective_rank,3.0,,
latent_diagnostic,estimated_field_max_abs_entry,15.001221167026788,,
latent_diagnostic,estimated_field_rank,3.0,3.0,
latent_diagnostic,true_field_max_abs_entry,3.4797137027820626,,
latent_diagnostic,true_field_rank,3.0,,
