category,name,estimate,true,squared_error
scalar,beta,-0.28634168502393664,-0.3,0.00018654956798535628
scalar,xi,0.0,0.8,0.6400000000000001
scalar,eta,0.3080337763205537,0.3,6.454156196868914e-05
metric,final_loss,0.5408403175607646,,
metric,field_rmse,0.2874599160047446,,
metric,interaction_fro_error,2.1145430988766365,,
metric,penalized_objective,0.5582931493167851,,
metric,mple_loss_without_penalty,0.5408403175607646,,
metric,lambda_uv_ridge,0.1,,
metric,u_frobenius_norm,66.03187063081837,,
metric,v_frobenius_norm,1.7320508075688772,,
metric,effective_rank,3.0,,
latent_diagnostic,estimated_field_max_abs_entry,2.2102762789582413,,
latent_diagnostic,estimated_field_rank,3.0,3.0,
latent_diagnostic,true_field_max_abs_entry,3.4797137027820626,,
latent_diagnostic,true_field_rank,3.0,,
