source_type,source_name,source_slug,run_name,run_slug,num_samples,gibbs_sweeps,s,overall_mean_magnetization_mean,overall_mean_magnetization_std,overall_mean_magnetization_q025,overall_mean_magnetization_q500,overall_mean_magnetization_q975,post_intervention_mean_magnetization_mean,post_intervention_mean_magnetization_std,post_intervention_mean_magnetization_q025,post_intervention_mean_magnetization_q500,post_intervention_mean_magnetization_q975,truth_overall_mean_magnetization_abs_error,truth_post_intervention_mean_magnetization_abs_error,truth_overall_mean_in_95_interval,truth_post_intervention_mean_in_95_interval,truth_unit_mean_abs_error_mean,truth_unit_mean_squared_error_mean,truth_unit_mean_rmse,truth_unit_mean_max_abs_error,truth_unit_mean_correlation,truth_unit_mean_95_interval_coverage_rate,truth_rank_in_run,truth_is_best
fit,alternating_rank_10,fit_alternating_rank_10,default,default,16,10,55,0.22544588456851666,0.003041683131327245,0.22061592998781432,0.22592777223883903,0.23123546028580924,0.23249162768105938,0.003797541763766179,0.2269460848224557,0.2326098627195337,0.24033029117774882,0.13955563863963663,0.14722882634148834,0.0,0.0,0.14564570178353828,0.028758346632556036,0.16958286066863018,0.4333333333333333,0.6747090500008086,0.6683283482884679,7,False
fit,alternating_rank_10_xi_zero,fit_alternating_rank_10_xi_zero,default,default,16,10,55,0.11484158635205494,0.0021575277348506953,0.1113042815996455,0.11460895092500276,0.11825564971751412,0.08980941790014571,0.002638643417404779,0.08427665720786359,0.08972569471073957,0.09323695579926886,0.028951340423174904,0.004546616560574673,0.0,1.0,0.08415240389941288,0.010993453378291053,0.10484967037759849,0.359375,0.687504901766092,0.9022931206380858,1,True
fit,alternating_rank_2,fit_alternating_rank_2,default,default,16,10,55,0.15898935139027362,0.0035736772106211333,0.15350268638528858,0.15868505594328125,0.1658427495291902,0.15989914870772298,0.003989885548813906,0.15402382595802339,0.1600378352123118,0.16813789401027684,0.07309910546139359,0.07463634736815195,0.0,0.0,0.10501308574277168,0.01684147319326742,0.1297747016689594,0.41875,0.6887274731066114,0.8165503489531406,5,False
fit,alternating_rank_2_xi_zero,fit_alternating_rank_2_xi_zero,default,default,16,10,55,0.08080446161515455,0.0023239527984693156,0.07792317491968538,0.0804890882906835,0.08505455854658248,0.04794974052202367,0.0026472304658733303,0.043855612649231795,0.04755477158268784,0.05232507605388961,0.005085784313725486,0.037313060817547365,0.0,0.0,0.09129867342417193,0.013044218400931463,0.11421128841288615,0.37083333333333335,0.6772322161325822,0.8650714523097375,4,False
fit,alternating_rank_5,fit_alternating_rank_5,default,default,16,10,55,0.1916285864628337,0.0034164993317904184,0.18610141796831728,0.1914063365459178,0.1978668162180126,0.19666896745660456,0.003746022708956422,0.19029833576194494,0.19712656901091596,0.20374389651558145,0.10573834053395367,0.11140616611703352,0.0,0.0,0.1209288800265869,0.021185174222702264,0.1455512769531833,0.4510416666666667,0.6873544348415505,0.7573944832170156,6,False
fit,alternating_rank_5_xi_zero,fit_alternating_rank_5_xi_zero,default,default,16,10,55,0.0983528580923895,0.0020589108465004146,0.09463415309626674,0.0985986484989476,0.10166514345851335,0.07043548840657515,0.002544055647074675,0.06497175141242938,0.07041951069867322,0.07431934964337755,0.012462612163509468,0.014827312932995884,0.0,0.0,0.08638667331339316,0.01161451337538311,0.10777065173498354,0.3541666666666667,0.6826951914336593,0.8913260219341974,3,False
fit,nuclear_lambda_8e_2,fit_nuclear_lambda_8e_2,default,default,16,10,55,0.27372950592666445,0.0031334498273155854,0.2678990805361693,0.27349617813226984,0.278825329566855,0.27827734744484495,0.0031785327818359328,0.27284300943323875,0.27890686913618123,0.28412327121200504,0.18783925999778442,0.1930145461052739,0.0,0.0,0.18953625235404895,0.04494461998841439,0.21200146223178365,0.47500000000000003,0.627607111728785,0.49750747756729813,8,False
fit,nuclear_lambda_8e_2_xi_zero,fit_nuclear_lambda_8e_2_xi_zero,default,default,16,10,55,0.13431337930652487,0.0022068365692859576,0.1307376481666113,0.13406447324692589,0.13796388611941954,0.10930286064882276,0.002706703926624887,0.10374517473221362,0.10925684485006518,0.11342255285425774,0.04842313337764484,0.024040059309251724,0.0,0.0,0.08489012130275839,0.011089782951492743,0.10530803839922545,0.34583333333333327,0.7007265250155961,0.90794283815221,2,False
truth,truth,truth,default,default,16,10,55,0.08589024592888003,0.0024753827038793263,0.0824505649717514,0.08537166278940955,0.09056995679627783,0.08526280133957104,0.002706457560416571,0.0804177211953882,0.08555359562338624,0.09005419638520336,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,,
fit,zero_external_field,fit_zero_external_field,default,default,16,10,55,0.397113866733134,0.0038377084113987306,0.3919083028691703,0.39672925667442116,0.40383086850559435,0.40076245622108037,0.00442749365454838,0.392767850295268,0.40155942429122893,0.4066313878876192,0.3112236208042539,0.31549965488150933,0.0,0.0,0.31214585410435364,0.11497054589991601,0.33907306867387155,0.625,0.07563280953453455,0.19873712196743104,10,False
fit,zero_external_field_xi_zero,fit_zero_external_field_xi_zero,default,default,16,10,55,0.31651642295336213,0.0019639940315203854,0.31380026586905946,0.31616262324138694,0.3193620527306968,0.3177473988291536,0.002193614053128712,0.31381496536032927,0.31769307462228696,0.32140885037196104,0.2306261770244821,0.23248459748958256,0.0,0.0,0.2368194029024039,0.06874558110968022,0.262193785413919,0.5072916666666667,0.14872842958776972,0.3678963110667996,9,False
