category,name,estimate,true,squared_error
scalar,beta,-0.23800717432242863,-0.3,0.0038431104354897513
scalar,xi,0.0,0.8,0.6400000000000001
scalar,eta,0.31029955693307415,0.3,0.00010608087301763602
metric,final_loss,0.6083244488448539,,
metric,field_rmse,0.15000000000000002,,
metric,interaction_fro_error,7.565334474713312,,
latent_diagnostic,estimated_field_max_abs_entry,0.0,,
latent_diagnostic,estimated_field_rank,0.0,0.0,
latent_diagnostic,true_field_max_abs_entry,0.18381595610754567,,
latent_diagnostic,true_field_rank,3.0,,
