category,name,estimate,true,squared_error
scalar,beta,-0.3858055987447388,-0.3,0.007362600775943123
scalar,xi,0.0,0.8,0.6400000000000001
scalar,eta,0.28033341632191977,0.3,0.00038677451356693127
metric,final_loss,0.5615562347338355,,
metric,field_rmse,0.4,,
metric,interaction_fro_error,7.565334474713312,,
latent_diagnostic,estimated_field_max_abs_entry,0.0,,
latent_diagnostic,estimated_field_rank,0.0,0.0,
latent_diagnostic,true_field_max_abs_entry,3.6747705627081375,,
latent_diagnostic,true_field_rank,3.0,,
