category,name,estimate,true,squared_error
scalar,beta,-0.13033067851948366,-0.3,0.0287876786516588
scalar,xi,1.7007557869500294,0.8,0.8113609877239666
scalar,eta,0.3233095894721565,0.3,0.0005433369613604692
metric,final_loss,0.4999271029155742,,
metric,field_rmse,0.5,,
metric,interaction_fro_error,5.6349756274233735,,
latent_diagnostic,estimated_field_max_abs_entry,0.0,,
latent_diagnostic,estimated_field_rank,0.0,0.0,
latent_diagnostic,true_field_max_abs_entry,0.6042780643202637,,
latent_diagnostic,true_field_rank,1.0,,
