unit_index,sample_mean,sample_std,q025,q500,q975,num_finite_samples
0,-0.20875000000000002,0.09433152972362953,-0.41500000000000004,-0.2,-0.08249999999999999,16
1,0.8087500000000001,0.06401904013650939,0.6825,0.83,0.8975,16
2,-0.20375000000000001,0.0998044963916957,-0.32,-0.22999999999999998,-0.0024999999999999988,16
3,0.6950000000000001,0.05634713834792323,0.6074999999999999,0.68,0.785,16
4,0.0049999999999999975,0.08015609770940699,-0.14,0.01,0.12,16
5,0.7475,0.05782516753110187,0.6675,0.74,0.8325,16
6,-0.12375,0.09700998659931873,-0.23249999999999998,-0.14,0.08249999999999999,16
7,0.72875,0.08999131902578159,0.5425,0.74,0.8574999999999999,16
8,0.015000000000000003,0.09367496997597598,-0.0925,0.0,0.2,16
9,0.82125,0.06981001002721601,0.6775,0.8200000000000001,0.9,16
10,0.0037500000000000033,0.0878119439484174,-0.1525,0.0,0.145,16
11,0.75125,0.06440836513994126,0.6475,0.73,0.865,16
12,-0.18875000000000003,0.12409044080830724,-0.4025,-0.18,0.03,16
13,0.72875,0.05998697775350915,0.595,0.74,0.8,16
14,-0.18875,0.09459618121256269,-0.3125,-0.21000000000000002,-0.0275,16
15,0.8075000000000001,0.056513272777286565,0.6950000000000001,0.82,0.88,16
16,0.14,0.09082951062292476,-0.04000000000000001,0.13,0.2925,16
17,0.72375,0.08006833019365396,0.5700000000000001,0.74,0.8325,16
18,-0.18875000000000003,0.08454843286542928,-0.3,-0.2,-0.04,16
19,0.8049999999999999,0.06837397165588671,0.6950000000000001,0.83,0.9,16
20,0.04000000000000001,0.11,-0.1125,0.03,0.265,16
21,0.7887500000000001,0.05097487126025919,0.68,0.8,0.8525,16
22,0.07875000000000001,0.07952004464284462,-0.0325,0.1,0.1925,16
23,0.7987500000000001,0.07565340375687005,0.655,0.8,0.9125000000000001,16
24,1.734723475976807e-18,0.1036822067666386,-0.195,0.0,0.1575,16
25,0.7675000000000001,0.06923691212063116,0.65,0.75,0.8925000000000001,16
26,0.04,0.11575836902790225,-0.14,0.04,0.23,16
27,0.77875,0.06382348705609871,0.6825,0.76,0.8975,16
28,-0.035,0.06344288770224761,-0.14,-0.03,0.0725,16
29,0.7424999999999999,0.08742854225022856,0.5750000000000001,0.75,0.8725,16
30,0.1,0.09433981132056604,-0.0325,0.09,0.2925,16
31,0.7050000000000001,0.08077747210701756,0.6,0.68,0.8625,16
32,-0.08125,0.07663835527984666,-0.2125,-0.08,0.0325,16
33,0.7925,0.054715171570598235,0.7075,0.8,0.88,16
34,0.0012500000000000011,0.10209523740116383,-0.18,0.03,0.1525,16
35,0.7775,0.0751248960065836,0.625,0.79,0.885,16
36,-0.06875,0.1029487129594149,-0.265,-0.05,0.0775,16
37,0.79375,0.040446724218408586,0.7275,0.79,0.8725,16
38,0.025,0.1035615758860399,-0.16,0.04,0.20750000000000002,16
39,0.75125,0.048460679937450325,0.675,0.75,0.84,16
40,-0.045,0.08703447592764606,-0.18,-0.04,0.0725,16
41,0.77125,0.05699506557588998,0.68,0.77,0.8525,16
42,-0.13,0.07176350047203663,-0.2575,-0.11,-0.015,16
43,0.80875,0.05655473012931809,0.6950000000000001,0.82,0.8925000000000001,16
44,0.006250000000000002,0.08298154915401375,-0.135,-0.01,0.14,16
45,0.7224999999999999,0.06887488656977955,0.6225,0.7,0.865,16
46,-0.05625,0.09225474242552521,-0.1725,-0.08,0.1275,16
47,0.72875,0.05786568499551353,0.64,0.73,0.8325,16
48,-0.10125,0.07565340375687005,-0.225,-0.11,0.0375,16
49,0.7925,0.06077622890571609,0.6825,0.8,0.885,16
50,-0.0975,0.09996874511566102,-0.2525,-0.08,0.07,16
51,0.79125,0.05699506557588999,0.7,0.78,0.88,16
52,0.09,0.10099504938362078,-0.045,0.07,0.29,16
53,0.74125,0.07598313957714567,0.615,0.74,0.86,16
54,0.15375,0.07959860237466485,0.0225,0.14,0.2925,16
55,0.80125,0.04662014049742879,0.72,0.81,0.8775,16
56,0.007500000000000001,0.08242420760917268,-0.1375,0.02,0.145,16
57,0.74,0.07449832212875669,0.595,0.76,0.8325,16
58,0.08375,0.12087571095964648,-0.1575,0.12,0.22,16
59,0.76625,0.0590418283930977,0.6675,0.76,0.86,16
60,-0.08375,0.12771428072067745,-0.32,-0.08,0.1425,16
61,0.73125,0.0640190401365094,0.6275,0.71,0.825,16
62,0.0075,0.06666145812986692,-0.105,0.0,0.125,16
63,0.78125,0.06183395103015819,0.6875,0.78,0.8725,16
64,-0.095,0.07088723439378912,-0.2175,-0.11,0.0125,16
65,0.7575000000000001,0.0734421541078419,0.5975,0.77,0.86,16
66,-0.008749999999999999,0.08543089312420889,-0.1975,0.0,0.11000000000000001,16
67,0.73625,0.05532573994082683,0.63,0.73,0.8125,16
68,-0.08625000000000001,0.11351624333107575,-0.27,-0.09,0.1525,16
69,0.765,0.06576473218982953,0.6475,0.77,0.89,16
70,-0.04,0.09327379053088816,-0.2,-0.01,0.08,16
71,0.7262500000000001,0.0783322251694665,0.5874999999999999,0.74,0.8775,16
72,-0.04875,0.08092241654819757,-0.18,-0.06,0.105,16
73,0.79125,0.05566361019553079,0.6950000000000001,0.8,0.8725,16
74,-0.045,0.09912113800799505,-0.24,-0.05,0.115,16
75,0.72125,0.07565340375687005,0.6,0.7,0.84,16
76,0.01125,0.11704032424767115,-0.19,0.019999999999999997,0.165,16
77,0.83375,0.0391910385164772,0.78,0.84,0.905,16
78,0.026249999999999996,0.13429794302222206,-0.2125,0.02,0.22,16
79,0.74,0.07483314773547883,0.6,0.73,0.8525,16
80,0.01625,0.11362630637312823,-0.17,-0.01,0.21500000000000002,16
81,0.8125,0.05868347297152752,0.74,0.8,0.9125000000000001,16
82,-0.027499999999999997,0.0948353836919533,-0.1925,-0.03,0.1425,16
83,0.77125,0.05429951657243367,0.6575,0.79,0.82,16
84,0.023750000000000004,0.08978272383927768,-0.125,0.03,0.16,16
85,0.75125,0.04741769184597664,0.6675,0.75,0.8325,16
86,-0.08125,0.09629868898380704,-0.24,-0.08,0.085,16
87,0.7625,0.03864906208435077,0.7075,0.76,0.845,16
88,0.07125,0.11021995055342748,-0.065,0.02,0.2525,16
89,0.7925,0.0670354383889596,0.6675,0.78,0.8925000000000001,16
90,-0.1125,0.09666307464590602,-0.2525,-0.11,0.065,16
91,0.71375,0.07671986379028575,0.62,0.7,0.84,16
92,0.07375000000000001,0.05688530126491377,-0.0125,0.08,0.17750000000000002,16
93,0.78625,0.08388049534903809,0.6225,0.82,0.88,16
94,-0.10875,0.10629410849148696,-0.285,-0.12,0.0725,16
95,0.7662500000000001,0.052781980826793515,0.6675,0.76,0.84,16
96,-0.041249999999999995,0.07983381175917882,-0.145,-0.06,0.1,16
97,0.76,0.055677643628300216,0.68,0.76,0.8574999999999999,16
98,-0.07875,0.11123595416950403,-0.305,-0.04,0.0725,16
99,0.77375,0.05464373248598598,0.67,0.77,0.865,16
100,0.016249999999999997,0.10959442275955471,-0.185,0.03,0.1925,16
101,0.7537499999999999,0.07606535019310699,0.615,0.74,0.8925000000000001,16
102,-0.04875000000000001,0.12844624361965593,-0.23750000000000002,-0.06999999999999999,0.16,16
103,0.74125,0.061833951030158193,0.6275,0.72,0.845,16
104,-0.2425,0.10170422803403996,-0.3725,-0.27,-0.06,16
105,0.75,0.059581876439064915,0.655,0.75,0.8525,16
106,0.1475,0.07066647012551286,0.0225,0.13,0.265,16
107,0.75125,0.07279036680770334,0.635,0.73,0.8775,16
108,-0.10750000000000001,0.12764697411219744,-0.28,-0.13,0.14750000000000002,16
109,0.825,0.057227615711297995,0.7275,0.83,0.9125000000000001,16
110,0.08125,0.11693347467684351,-0.065,0.04,0.2925,16
111,0.77,0.07035623639735143,0.6675,0.76,0.88,16
