experiment_name,experiment_slug,descriptor,experiment_path,intervention_source,graph_source,field_mode,variant_name,variant_slug,fit_path,N,T,s,latent_rank,optimizer_mode,lambda_nuclear,lambda_frobenius,lambda_uv_ridge,fixed_scalar_params,status
hybrid_us_county_intervention_uscounty_graph_base,hybrid_us_county_intervention_uscounty_graph_base,hybrid_us_county_intervention_uscounty_graph_base,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticHybridExperiments/hybrid_us_county_intervention_uscounty_graph_base,fixed_artifact,fixed_artifact,random_low_rank,alternating_rank_10_uv_1_e2,alternating_rank_10_uv_1_e2,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticHybridExperiments/hybrid_us_county_intervention_uscounty_graph_base/fits/alternating_rank_10_uv_1_e2,3009,120,55,10,alternating_latent_rank,0.0,0.0,0.01,{},completed
hybrid_us_county_intervention_uscounty_graph_base,hybrid_us_county_intervention_uscounty_graph_base,hybrid_us_county_intervention_uscounty_graph_base,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticHybridExperiments/hybrid_us_county_intervention_uscounty_graph_base,fixed_artifact,fixed_artifact,random_low_rank,alternating_rank_10_uv_5_e2,alternating_rank_10_uv_5_e2,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticHybridExperiments/hybrid_us_county_intervention_uscounty_graph_base/fits/alternating_rank_10_uv_5_e2,3009,120,55,10,alternating_latent_rank,0.0,0.0,0.05,{},completed
hybrid_us_county_intervention_uscounty_graph_base,hybrid_us_county_intervention_uscounty_graph_base,hybrid_us_county_intervention_uscounty_graph_base,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticHybridExperiments/hybrid_us_county_intervention_uscounty_graph_base,fixed_artifact,fixed_artifact,random_low_rank,alternating_rank_10_uv_1_e1,alternating_rank_10_uv_1_e1,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticHybridExperiments/hybrid_us_county_intervention_uscounty_graph_base/fits/alternating_rank_10_uv_1_e1,3009,120,55,10,alternating_latent_rank,0.0,0.0,0.1,{},completed
hybrid_us_county_intervention_uscounty_graph_base,hybrid_us_county_intervention_uscounty_graph_base,hybrid_us_county_intervention_uscounty_graph_base,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticHybridExperiments/hybrid_us_county_intervention_uscounty_graph_base,fixed_artifact,fixed_artifact,random_low_rank,alternating_rank_10_uv_5_e1,alternating_rank_10_uv_5_e1,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticHybridExperiments/hybrid_us_county_intervention_uscounty_graph_base/fits/alternating_rank_10_uv_5_e1,3009,120,55,10,alternating_latent_rank,0.0,0.0,0.5,{},completed
hybrid_us_county_intervention_uscounty_graph_base,hybrid_us_county_intervention_uscounty_graph_base,hybrid_us_county_intervention_uscounty_graph_base,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticHybridExperiments/hybrid_us_county_intervention_uscounty_graph_base,fixed_artifact,fixed_artifact,random_low_rank,alternating_rank_20_uv_1_e2,alternating_rank_20_uv_1_e2,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticHybridExperiments/hybrid_us_county_intervention_uscounty_graph_base/fits/alternating_rank_20_uv_1_e2,3009,120,55,20,alternating_latent_rank,0.0,0.0,0.01,{},completed
hybrid_us_county_intervention_uscounty_graph_base,hybrid_us_county_intervention_uscounty_graph_base,hybrid_us_county_intervention_uscounty_graph_base,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticHybridExperiments/hybrid_us_county_intervention_uscounty_graph_base,fixed_artifact,fixed_artifact,random_low_rank,alternating_rank_20_uv_5_e2,alternating_rank_20_uv_5_e2,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticHybridExperiments/hybrid_us_county_intervention_uscounty_graph_base/fits/alternating_rank_20_uv_5_e2,3009,120,55,20,alternating_latent_rank,0.0,0.0,0.05,{},completed
hybrid_us_county_intervention_uscounty_graph_base,hybrid_us_county_intervention_uscounty_graph_base,hybrid_us_county_intervention_uscounty_graph_base,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticHybridExperiments/hybrid_us_county_intervention_uscounty_graph_base,fixed_artifact,fixed_artifact,random_low_rank,alternating_rank_20_uv_1_e1,alternating_rank_20_uv_1_e1,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticHybridExperiments/hybrid_us_county_intervention_uscounty_graph_base/fits/alternating_rank_20_uv_1_e1,3009,120,55,20,alternating_latent_rank,0.0,0.0,0.1,{},completed
hybrid_us_county_intervention_uscounty_graph_base,hybrid_us_county_intervention_uscounty_graph_base,hybrid_us_county_intervention_uscounty_graph_base,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticHybridExperiments/hybrid_us_county_intervention_uscounty_graph_base,fixed_artifact,fixed_artifact,random_low_rank,alternating_rank_20_uv_5_e1,alternating_rank_20_uv_5_e1,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticHybridExperiments/hybrid_us_county_intervention_uscounty_graph_base/fits/alternating_rank_20_uv_5_e1,3009,120,55,20,alternating_latent_rank,0.0,0.0,0.5,{},completed
hybrid_us_county_intervention_uscounty_graph_base,hybrid_us_county_intervention_uscounty_graph_base,hybrid_us_county_intervention_uscounty_graph_base,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticHybridExperiments/hybrid_us_county_intervention_uscounty_graph_base,fixed_artifact,fixed_artifact,random_low_rank,alternating_rank_20_uv_1,alternating_rank_20_uv_1,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticHybridExperiments/hybrid_us_county_intervention_uscounty_graph_base/fits/alternating_rank_20_uv_1,3009,120,55,20,alternating_latent_rank,0.0,0.0,1.0,{},completed
hybrid_us_county_intervention_uscounty_graph_rank_20,hybrid_us_county_intervention_uscounty_graph_rank_20,hybrid_us_county_intervention_uscounty_graph_rank_20,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticHybridExperiments/hybrid_us_county_intervention_uscounty_graph_rank_20,fixed_artifact,fixed_artifact,random_low_rank,alternating_rank_10_uv_1_e2,alternating_rank_10_uv_1_e2,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticHybridExperiments/hybrid_us_county_intervention_uscounty_graph_rank_20/fits/alternating_rank_10_uv_1_e2,3009,120,55,10,alternating_latent_rank,0.0,0.0,0.01,{},completed
hybrid_us_county_intervention_uscounty_graph_rank_20,hybrid_us_county_intervention_uscounty_graph_rank_20,hybrid_us_county_intervention_uscounty_graph_rank_20,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticHybridExperiments/hybrid_us_county_intervention_uscounty_graph_rank_20,fixed_artifact,fixed_artifact,random_low_rank,alternating_rank_10_uv_5_e2,alternating_rank_10_uv_5_e2,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticHybridExperiments/hybrid_us_county_intervention_uscounty_graph_rank_20/fits/alternating_rank_10_uv_5_e2,3009,120,55,10,alternating_latent_rank,0.0,0.0,0.05,{},completed
hybrid_us_county_intervention_uscounty_graph_rank_20,hybrid_us_county_intervention_uscounty_graph_rank_20,hybrid_us_county_intervention_uscounty_graph_rank_20,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticHybridExperiments/hybrid_us_county_intervention_uscounty_graph_rank_20,fixed_artifact,fixed_artifact,random_low_rank,alternating_rank_10_uv_1_e1,alternating_rank_10_uv_1_e1,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticHybridExperiments/hybrid_us_county_intervention_uscounty_graph_rank_20/fits/alternating_rank_10_uv_1_e1,3009,120,55,10,alternating_latent_rank,0.0,0.0,0.1,{},completed
hybrid_us_county_intervention_uscounty_graph_rank_20,hybrid_us_county_intervention_uscounty_graph_rank_20,hybrid_us_county_intervention_uscounty_graph_rank_20,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticHybridExperiments/hybrid_us_county_intervention_uscounty_graph_rank_20,fixed_artifact,fixed_artifact,random_low_rank,alternating_rank_10_uv_5_e1,alternating_rank_10_uv_5_e1,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticHybridExperiments/hybrid_us_county_intervention_uscounty_graph_rank_20/fits/alternating_rank_10_uv_5_e1,3009,120,55,10,alternating_latent_rank,0.0,0.0,0.5,{},completed
hybrid_us_county_intervention_uscounty_graph_rank_20,hybrid_us_county_intervention_uscounty_graph_rank_20,hybrid_us_county_intervention_uscounty_graph_rank_20,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticHybridExperiments/hybrid_us_county_intervention_uscounty_graph_rank_20,fixed_artifact,fixed_artifact,random_low_rank,alternating_rank_20_uv_1_e2,alternating_rank_20_uv_1_e2,/orcd/home/002/phevosp/MPLE-Causal-Inference/experiments/SyntheticHybridExperiments/hybrid_us_county_intervention_uscounty_graph_rank_20/fits/alternating_rank_20_uv_1_e2,3009,120,55,20,alternating_latent_rank,0.0,0.0,0.01,{},completed
