unit_index,sample_mean,sample_std,q025,q500,q975,num_finite_samples
0,-0.3833333333333333,0.09166666666666667,-0.5270833333333333,-0.3916666666666667,-0.23958333333333334,16
1,-0.44479166666666664,0.14064814624326433,-0.6979166666666666,-0.44166666666666665,-0.21041666666666664,16
2,-0.4552083333333334,0.11144859770564886,-0.6041666666666667,-0.4666666666666667,-0.2895833333333333,16
3,-0.43333333333333335,0.12061762355108442,-0.6375000000000001,-0.43333333333333335,-0.225,16
4,-0.421875,0.09199161155900154,-0.5708333333333334,-0.4166666666666667,-0.2791666666666667,16
5,-0.3729166666666667,0.11084821328685857,-0.5770833333333333,-0.35,-0.1875,16
6,-0.42500000000000004,0.10944937947136414,-0.6020833333333333,-0.44166666666666665,-0.19583333333333333,16
7,-0.38645833333333335,0.12321203917321644,-0.60625,-0.3916666666666667,-0.16666666666666669,16
8,-0.37604166666666666,0.11784652654806779,-0.5604166666666667,-0.38333333333333336,-0.13958333333333334,16
9,-0.40312499999999996,0.11230210217434837,-0.5604166666666667,-0.43333333333333335,-0.15208333333333335,16
10,-0.4916666666666667,0.1445779297741456,-0.7416666666666667,-0.4916666666666667,-0.2895833333333333,16
11,-0.4989583333333333,0.11357033277274092,-0.6833333333333333,-0.4916666666666667,-0.31875,16
12,-0.41041666666666665,0.12840839255195816,-0.6041666666666667,-0.42500000000000004,-0.20833333333333331,16
13,-0.35625,0.07858890047441673,-0.5,-0.3583333333333333,-0.22916666666666669,16
14,-0.453125,0.12489144591960208,-0.6458333333333334,-0.45833333333333337,-0.2270833333333333,16
15,-0.34375,0.1249826376830887,-0.5479166666666667,-0.36666666666666664,-0.10625000000000001,16
16,-0.33958333333333335,0.10084280258567457,-0.525,-0.3333333333333333,-0.18541666666666667,16
17,-0.37812500000000004,0.12675418440386452,-0.6020833333333333,-0.4,-0.13125,16
18,-0.46458333333333335,0.11286591725484615,-0.6958333333333333,-0.4916666666666667,-0.30624999999999997,16
19,-0.4604166666666667,0.11885959854663261,-0.6708333333333334,-0.43333333333333335,-0.26875,16
20,-0.409375,0.10441117137707696,-0.5770833333333334,-0.43333333333333335,-0.21666666666666667,16
21,-0.35833333333333334,0.11055415967851334,-0.5437500000000001,-0.30833333333333335,-0.19583333333333333,16
22,-0.40625,0.13081939947033003,-0.6145833333333334,-0.4,-0.1625,16
23,-0.41041666666666665,0.08777239347058707,-0.5729166666666667,-0.4,-0.26875,16
24,-0.42291666666666666,0.0987552741207611,-0.5479166666666667,-0.45,-0.22916666666666669,16
25,-0.4770833333333333,0.06919050793923173,-0.5708333333333334,-0.4916666666666667,-0.36875,16
26,-0.384375,0.11295721135554926,-0.5270833333333333,-0.4083333333333333,-0.17708333333333331,16
27,-0.4166666666666667,0.10960788698304923,-0.6041666666666667,-0.38333333333333336,-0.23541666666666666,16
28,-0.4197916666666667,0.11214740269197303,-0.61875,-0.43333333333333335,-0.23958333333333334,16
29,-0.378125,0.10420311862202376,-0.55625,-0.38333333333333336,-0.17708333333333331,16
30,-0.371875,0.11999981915495633,-0.5770833333333333,-0.4,-0.14583333333333331,16
31,-0.4135416666666667,0.10932538557240747,-0.5583333333333333,-0.45,-0.21666666666666667,16
32,-0.3604166666666667,0.12691245342098362,-0.55,-0.3583333333333333,-0.11041666666666666,16
33,-0.38645833333333335,0.139719305663176,-0.5854166666666667,-0.4166666666666667,-0.11458333333333333,16
34,-0.4458333333333333,0.08447139555297206,-0.6104166666666667,-0.45833333333333337,-0.3395833333333333,16
35,-0.4125,0.12903218806001684,-0.6208333333333333,-0.38333333333333336,-0.21250000000000002,16
36,-0.4229166666666667,0.09049919428738948,-0.5770833333333334,-0.4,-0.28541666666666665,16
37,-0.33958333333333335,0.1372946699216284,-0.5875,-0.32499999999999996,-0.09791666666666667,16
38,-0.47187500000000004,0.09748909305090948,-0.63125,-0.475,-0.3020833333333333,16
