category,name,estimate,true,squared_error
scalar,beta,-0.0751330135979746,-0.3,0.05056516157352868
scalar,xi,0.0,0.8,0.6400000000000001
scalar,eta,0.16777308302262833,0.3,0.017483957573340737
metric,final_loss,0.6765816062921484,,
metric,field_rmse,1.25,,
metric,interaction_fro_error,2.1145430988766365,,
latent_diagnostic,estimated_field_max_abs_entry,0.0,,
latent_diagnostic,estimated_field_rank,0.0,0.0,
latent_diagnostic,true_field_max_abs_entry,7.412669721788811,,
latent_diagnostic,true_field_rank,3.0,,
