category,name,estimate,true,squared_error
scalar,beta,-0.281001042197883,-0.3,0.0003609603975666212
scalar,xi,0.8487919446827911,0.8,0.002380653865928539
scalar,eta,0.2891181017076519,0.3,0.00011841571044500831
metric,final_loss,0.5386280665196859,,
metric,field_rmse,0.24422139855525388,,
metric,interaction_fro_error,0.461409226496281,,
metric,penalized_objective,0.5395734169497766,,
metric,mple_loss_without_penalty,0.5386280665196859,,
metric,lambda_uv_ridge,0.005,,
metric,u_frobenius_norm,230.31474436827568,,
metric,v_frobenius_norm,1.0,,
metric,effective_rank,1.0,,
latent_diagnostic,estimated_field_max_abs_entry,1.9469062260198287,,
latent_diagnostic,estimated_field_rank,1.0,1.0,
latent_diagnostic,true_field_max_abs_entry,0.6042780643202637,,
latent_diagnostic,true_field_rank,1.0,,
