unit_index,sample_mean,sample_std,q025,q500,q975,num_finite_samples
0,-0.08437499999999999,0.12671993808526477,-0.33749999999999997,-0.06666666666666667,0.11458333333333333,16
1,-0.11458333333333334,0.16789908923715657,-0.3458333333333333,-0.13333333333333333,0.2,16
2,-0.11458333333333333,0.10942954988890748,-0.3125,-0.125,0.08750000000000001,16
3,-0.11875000000000001,0.1256752594321306,-0.3104166666666667,-0.10833333333333334,0.09583333333333333,16
4,-0.12604166666666666,0.10703853634971326,-0.31875,-0.11666666666666667,0.0625,16
5,-0.18020833333333333,0.08084165549943227,-0.29375,-0.18333333333333335,-0.04583333333333334,16
6,-0.14166666666666666,0.12555432644432804,-0.36666666666666664,-0.16666666666666666,0.0375,16
7,-0.13645833333333335,0.13046641090717562,-0.36041666666666666,-0.11666666666666667,0.04791666666666666,16
8,-0.14375,0.12553704079319025,-0.35208333333333336,-0.15833333333333333,0.0375,16
9,-0.20104166666666667,0.09137619698258403,-0.38333333333333336,-0.18333333333333332,-0.037500000000000006,16
10,-0.11458333333333334,0.14812192331544533,-0.39375,-0.13333333333333333,0.06666666666666667,16
11,-0.10937499999999999,0.12232821713870162,-0.29583333333333334,-0.10833333333333334,0.1375,16
12,-0.13958333333333334,0.12553704079319025,-0.37083333333333335,-0.15,0.07916666666666666,16
13,-0.19270833333333331,0.11440800980846286,-0.375,-0.2,0.018750000000000003,16
14,-0.215625,0.12821812333979068,-0.42291666666666666,-0.175,-0.020833333333333332,16
15,-0.0875,0.11509356097444279,-0.22708333333333333,-0.125,0.1,16
16,-0.15208333333333332,0.07473912964438374,-0.2833333333333333,-0.16666666666666666,-0.03958333333333333,16
17,-0.140625,0.14778089426016253,-0.39375000000000004,-0.15,0.09166666666666667,16
18,-0.2125,0.10008676791220261,-0.37083333333333335,-0.21666666666666667,-0.04166666666666667,16
19,-0.16354166666666667,0.1375907213340428,-0.42708333333333337,-0.16666666666666666,0.06458333333333333,16
20,-0.10416666666666666,0.14690085469836828,-0.3729166666666667,-0.09166666666666667,0.17291666666666666,16
21,-0.1375,0.11821884132592589,-0.3208333333333333,-0.14166666666666666,0.043750000000000004,16
22,-0.18854166666666666,0.06813965183927621,-0.3104166666666667,-0.18333333333333332,-0.08958333333333333,16
23,-0.18125,0.12059963032005253,-0.35416666666666663,-0.2,0.018750000000000003,16
24,-0.215625,0.12366913042244797,-0.39375000000000004,-0.24166666666666667,0.03125,16
25,-0.08020833333333334,0.08823476221925738,-0.225,-0.1,0.09999999999999999,16
26,-0.140625,0.08518133231524382,-0.2604166666666667,-0.13333333333333333,-0.016666666666666666,16
27,-0.13437499999999997,0.11584063975757576,-0.32708333333333334,-0.125,0.04791666666666666,16
28,-0.13229166666666667,0.10366022722497444,-0.3145833333333333,-0.125,0.060416666666666674,16
29,-0.13958333333333334,0.11958768865471803,-0.32291666666666663,-0.16666666666666666,0.07083333333333333,16
30,-0.17395833333333333,0.07143585652333302,-0.31875,-0.175,-0.08333333333333333,16
31,-0.14270833333333333,0.11546535525381146,-0.32708333333333334,-0.15833333333333333,0.0375,16
32,-0.12604166666666666,0.09771144273659389,-0.2875,-0.11666666666666667,0.020833333333333332,16
33,-0.12291666666666667,0.12400646824527607,-0.3104166666666667,-0.11666666666666667,0.07083333333333333,16
34,-0.14270833333333333,0.1157656801834349,-0.3875,-0.14166666666666666,0.027083333333333334,16
35,-0.190625,0.16094002829729256,-0.36666666666666664,-0.24166666666666667,0.09999999999999999,16
36,-0.0875,0.0798218502527834,-0.19375,-0.1,0.03333333333333333,16
37,-0.05625,0.0910728874766433,-0.18333333333333332,-0.058333333333333334,0.10833333333333334,16
38,-0.128125,0.13355694140411506,-0.34791666666666665,-0.13333333333333333,0.07083333333333333,16
39,-0.12083333333333333,0.14427741410983988,-0.3875,-0.1,0.10833333333333334,16
40,-0.1489583333333333,0.10597902537504506,-0.31666666666666665,-0.175,0.020833333333333332,16
41,-0.071875,0.14798633922501842,-0.3125,-0.10833333333333334,0.14791666666666667,16
42,-0.11562499999999999,0.12767536279129535,-0.3104166666666667,-0.1,0.12916666666666668,16
43,-0.11354166666666665,0.14120251783047874,-0.30833333333333335,-0.15,0.13333333333333333,16
44,-0.13020833333333331,0.13270931449140175,-0.30416666666666664,-0.18333333333333332,0.09166666666666667,16
45,-0.115625,0.1373697299565422,-0.30416666666666664,-0.125,0.09375,16
46,-0.1625,0.09921567416492214,-0.3104166666666667,-0.16666666666666669,-0.0020833333333333363,16
47,-0.13020833333333331,0.09986427421199678,-0.32499999999999996,-0.13333333333333333,0.04791666666666666,16
48,-0.15416666666666667,0.11953323573150877,-0.35208333333333336,-0.15833333333333333,0.05,16
49,-0.19479166666666664,0.12158084158972855,-0.38125,-0.175,-0.02291666666666667,16
50,-0.140625,0.10120262094487034,-0.30833333333333335,-0.11666666666666667,0.020833333333333332,16
51,-0.12916666666666668,0.13597640726733934,-0.29791666666666666,-0.16666666666666666,0.17083333333333334,16
52,-0.15625,0.09769478406411129,-0.29375,-0.15,0.02291666666666667,16
53,-0.140625,0.09663949869661645,-0.30833333333333335,-0.175,0.016666666666666666,16
54,-0.1625,0.13507970897872773,-0.38333333333333336,-0.15,0.027083333333333334,16
55,-0.15416666666666667,0.12296962136144754,-0.32499999999999996,-0.15833333333333333,0.10208333333333333,16
56,-0.19375,0.10990447240924983,-0.31666666666666665,-0.18333333333333332,0.03125,16
57,-0.11666666666666667,0.11843892002959913,-0.35416666666666663,-0.08333333333333333,0.043750000000000004,16
58,-0.12291666666666667,0.09857931803600817,-0.29375,-0.11666666666666667,0.016666666666666666,16
59,-0.09791666666666667,0.1410372045084401,-0.35208333333333336,-0.09166666666666667,0.09375,16
60,-0.16145833333333334,0.144303734214792,-0.4625,-0.15,0.05416666666666667,16
61,-0.09791666666666667,0.1167968024200815,-0.28125,-0.09166666666666667,0.10416666666666667,16
62,-0.13229166666666667,0.11777284367940402,-0.27708333333333335,-0.15833333333333333,0.13125,16
63,-0.14479166666666665,0.12770935290511984,-0.31666666666666665,-0.16666666666666666,0.07916666666666666,16
64,-0.12604166666666666,0.10832832520475273,-0.23333333333333334,-0.18333333333333332,0.07083333333333333,16
65,-0.11354166666666667,0.12627389075383363,-0.32499999999999996,-0.08333333333333334,0.09375,16
66,-0.11770833333333333,0.08259437993727069,-0.27708333333333335,-0.09166666666666667,-0.0125,16
67,-0.03645833333333333,0.08764249310250263,-0.16041666666666665,-0.05,0.13125,16
68,-0.15729166666666666,0.08374248515206868,-0.26666666666666666,-0.15833333333333333,-0.02291666666666667,16
69,-0.12291666666666666,0.11575161985907584,-0.30624999999999997,-0.15,0.06458333333333333,16
70,-0.18333333333333335,0.10639287779003087,-0.34791666666666665,-0.18333333333333335,-0.02291666666666667,16
71,-0.12916666666666665,0.06468406123441676,-0.22708333333333333,-0.11666666666666667,-0.0020833333333333363,16
72,-0.11458333333333333,0.12935134646896154,-0.29166666666666663,-0.1,0.1375,16
73,-0.109375,0.07452832002743058,-0.21666666666666667,-0.11666666666666667,0.035416666666666666,16
74,-0.20208333333333334,0.1375473403353672,-0.46875,-0.18333333333333332,0.01458333333333333,16
75,-0.13854166666666667,0.10453580427298581,-0.31875,-0.125,0.010416666666666666,16
76,-0.203125,0.1078866995071939,-0.36041666666666666,-0.23333333333333334,-0.03958333333333333,16
77,-0.14479166666666665,0.05391568456086472,-0.25,-0.15,-0.05625,16
78,-0.16354166666666664,0.07844379401485145,-0.29375,-0.15833333333333333,-0.04583333333333334,16
79,-0.08645833333333333,0.09132868563296224,-0.22083333333333333,-0.10833333333333334,0.043750000000000004,16
80,-0.16874999999999998,0.10439558180306291,-0.32499999999999996,-0.175,0.05,16
81,-0.18958333333333333,0.12745846273285358,-0.41875,-0.175,0.0,16
82,-0.1802083333333333,0.13555681849935347,-0.35,-0.19166666666666665,0.13541666666666666,16
83,-0.17916666666666664,0.1315637783653912,-0.4625,-0.15833333333333333,0.020833333333333332,16
84,-0.10104166666666667,0.13837709523657124,-0.33333333333333337,-0.08333333333333333,0.11875,16
85,-0.12395833333333334,0.12331767214754295,-0.29791666666666666,-0.13333333333333333,0.07708333333333334,16
86,-0.08124999999999999,0.10356073768030474,-0.21666666666666667,-0.08333333333333334,0.11249999999999999,16
87,-0.08541666666666667,0.09626262543456603,-0.25416666666666665,-0.058333333333333334,0.04791666666666666,16
88,-0.121875,0.12986621721987593,-0.3416666666666667,-0.10833333333333334,0.05416666666666667,16
89,-0.13124999999999998,0.1227399860137953,-0.32499999999999996,-0.16666666666666666,0.043750000000000004,16
90,-0.196875,0.07100927902980943,-0.32708333333333334,-0.18333333333333335,-0.08541666666666667,16
91,-0.11145833333333333,0.09367473830880031,-0.2625,-0.13333333333333333,0.05208333333333333,16
92,-0.11458333333333333,0.08697760727145043,-0.2604166666666667,-0.1,0.027083333333333334,16
93,-0.109375,0.0985958272584483,-0.2375,-0.13333333333333333,0.07708333333333334,16
94,-0.16979166666666667,0.09578236869475393,-0.33541666666666664,-0.175,-0.016666666666666666,16
95,-0.07395833333333333,0.09427514953286706,-0.17083333333333334,-0.09166666666666667,0.1375,16
96,-0.14270833333333333,0.11516424714052728,-0.40208333333333335,-0.11666666666666667,-0.016666666666666666,16
97,-0.11875,0.11037735149124671,-0.33125,-0.11666666666666667,0.05208333333333333,16
98,-0.14687499999999998,0.06749967849717672,-0.25,-0.15,-0.008333333333333335,16
99,-0.14791666666666667,0.14226283870982534,-0.3,-0.19166666666666665,0.11458333333333333,16
100,-0.11249999999999999,0.12226167292601008,-0.30416666666666664,-0.11666666666666667,0.11041666666666666,16
101,-0.08541666666666667,0.11053452829068593,-0.2791666666666667,-0.075,0.08750000000000001,16
102,-0.12916666666666665,0.1039998664529057,-0.3208333333333333,-0.10833333333333334,0.06041666666666667,16
103,-0.14270833333333333,0.11784652654806778,-0.29375,-0.15,0.06875,16
104,-0.14583333333333331,0.14246100831065633,-0.42708333333333337,-0.13333333333333333,0.0375,16
105,-0.12291666666666665,0.08246948088703952,-0.25416666666666665,-0.125,0.025,16
106,-0.12812500000000002,0.12606749046751817,-0.3541666666666667,-0.14166666666666666,0.09166666666666667,16
107,-0.11666666666666667,0.10688129448650549,-0.31666666666666665,-0.10833333333333334,0.05416666666666667,16
108,-0.09270833333333334,0.11148753511541598,-0.29791666666666666,-0.1,0.11458333333333333,16
109,-0.134375,0.08110965442946153,-0.26666666666666666,-0.13333333333333333,0.02291666666666667,16
110,-0.13020833333333331,0.08921314014762623,-0.27708333333333335,-0.13333333333333333,-0.00625,16
111,-0.13541666666666666,0.092772683659218,-0.29375,-0.13333333333333333,-0.00625,16
112,-0.14479166666666665,0.10029795022553774,-0.3458333333333333,-0.14166666666666666,0.020833333333333332,16
113,-0.140625,0.13410826239149723,-0.35833333333333334,-0.14166666666666666,0.09375,16
114,-0.16979166666666667,0.11550293857493171,-0.27708333333333335,-0.2,0.10416666666666669,16
115,-0.13229166666666667,0.10482603810069753,-0.27708333333333335,-0.11666666666666667,0.05625000000000001,16
116,-0.15000000000000002,0.13819269959814165,-0.3979166666666667,-0.16666666666666666,0.05833333333333333,16
117,-0.17395833333333333,0.11531489947819694,-0.3104166666666667,-0.2,0.03125,16
118,-0.103125,0.10610181660137169,-0.2833333333333333,-0.09166666666666667,0.05,16
119,-0.17916666666666667,0.1243734296383275,-0.39375000000000004,-0.175,0.041666666666666664,16
120,-0.13437500000000002,0.14499386361536515,-0.4041666666666667,-0.14166666666666666,0.12708333333333333,16
121,-0.178125,0.09960316225178574,-0.35833333333333334,-0.15833333333333333,-0.0020833333333333363,16
122,-0.18958333333333333,0.08717698313711532,-0.35208333333333336,-0.15833333333333333,-0.07291666666666666,16
123,-0.15208333333333335,0.12358574958303242,-0.31666666666666665,-0.18333333333333332,0.075,16
124,-0.09895833333333333,0.09022901995293237,-0.275,-0.075,0.04791666666666666,16
125,-0.16041666666666668,0.12146029872623675,-0.38125,-0.19166666666666665,0.0375,16
126,-0.14791666666666667,0.11301963325015703,-0.3104166666666667,-0.175,0.06041666666666667,16
127,-0.09375,0.1213172780128389,-0.32708333333333334,-0.11666666666666667,0.09375,16
128,-0.13125,0.11871344466590313,-0.28125,-0.15833333333333333,0.10625,16
129,-0.24270833333333333,0.12527313908017154,-0.46666666666666673,-0.23333333333333334,-0.05208333333333333,16
130,-0.14479166666666665,0.10748364701199899,-0.33125,-0.14166666666666666,0.010416666666666666,16
131,-0.13124999999999998,0.08475352336169997,-0.26458333333333334,-0.11666666666666667,0.012499999999999997,16
132,-0.10416666666666666,0.13482241406136197,-0.37083333333333335,-0.058333333333333334,0.08750000000000001,16
133,-0.096875,0.14120251783047874,-0.34375,-0.125,0.16666666666666666,16
134,-0.13020833333333331,0.13822017836891012,-0.3666666666666667,-0.14166666666666666,0.14166666666666666,16
135,-0.196875,0.10804749952117253,-0.38958333333333334,-0.21666666666666667,-0.0125,16
136,-0.16145833333333331,0.08793912627809965,-0.35000000000000003,-0.15,-0.03333333333333333,16
137,-0.08333333333333334,0.09298297335175582,-0.23958333333333331,-0.09166666666666667,0.05416666666666667,16
138,-0.08124999999999999,0.14504249856124546,-0.3375,-0.06666666666666667,0.19583333333333333,16
139,-0.12499999999999999,0.12665570127975553,-0.38333333333333336,-0.09166666666666667,0.016666666666666666,16
140,-0.17083333333333334,0.12631255326020097,-0.35,-0.14166666666666666,-0.00625,16
141,-0.11145833333333333,0.12986621721987593,-0.3,-0.13333333333333333,0.12708333333333333,16
142,-0.12291666666666665,0.13068662156301827,-0.30833333333333335,-0.16666666666666666,0.11458333333333333,16
143,-0.17916666666666667,0.12054563451241193,-0.4166666666666667,-0.175,-0.03333333333333333,16
144,-0.084375,0.1386277927782,-0.28125,-0.09166666666666667,0.20833333333333331,16
145,-0.16666666666666666,0.13894443333777556,-0.38958333333333334,-0.19166666666666665,0.043750000000000004,16
146,-0.11875,0.07814583055629605,-0.21666666666666667,-0.14166666666666666,0.0375,16
147,-0.14375,0.11915136848190672,-0.36875,-0.15,0.027083333333333334,16
148,-0.08645833333333333,0.13517205471176355,-0.3208333333333333,-0.075,0.14791666666666667,16
149,-0.14270833333333333,0.09109075716924668,-0.30416666666666664,-0.15,0.020833333333333332,16
150,-0.20208333333333334,0.14587796935947678,-0.41458333333333336,-0.21666666666666667,0.09791666666666667,16
151,-0.134375,0.08238391454040042,-0.275,-0.13333333333333333,0.010416666666666666,16
152,-0.12604166666666666,0.09964672842653245,-0.3145833333333333,-0.13333333333333333,0.010416666666666666,16
153,-0.13958333333333334,0.10472765606297338,-0.2708333333333333,-0.16666666666666666,0.06458333333333333,16
154,-0.11458333333333333,0.08309862781324638,-0.21041666666666667,-0.14166666666666666,0.075,16
155,-0.15208333333333332,0.11131708339493789,-0.3145833333333333,-0.15833333333333333,0.041666666666666664,16
156,-0.12708333333333333,0.09145335028186655,-0.33333333333333337,-0.1,-0.008333333333333335,16
157,-0.16770833333333335,0.14912578001099908,-0.4104166666666667,-0.125,0.06875,16
158,-0.15208333333333332,0.13792547806696195,-0.42083333333333334,-0.13333333333333333,0.06875,16
159,-0.20520833333333333,0.1117597171390479,-0.3770833333333333,-0.21666666666666667,-0.00625,16
160,-0.15000000000000002,0.09483172230617534,-0.28125,-0.16666666666666666,0.025,16
161,-0.19270833333333331,0.11410411151176318,-0.4166666666666667,-0.175,-0.016666666666666666,16
162,-0.17916666666666667,0.12254534308210618,-0.3875,-0.15,-0.00625,16
163,-0.140625,0.1099192806739968,-0.35416666666666663,-0.125,0.03958333333333333,16
164,-0.16770833333333332,0.08926177754535003,-0.3,-0.16666666666666666,-0.016666666666666666,16
165,-0.16875,0.12526014596297844,-0.35416666666666663,-0.175,0.07708333333333334,16
166,-0.19479166666666664,0.12537703554346252,-0.3875,-0.225,0.02916666666666666,16
167,-0.14583333333333331,0.0911919526176637,-0.3125,-0.13333333333333333,0.002083333333333333,16
168,-0.07291666666666667,0.11679680242008149,-0.26666666666666666,-0.05,0.09375,16
169,-0.14479166666666665,0.08180234265526196,-0.27708333333333335,-0.14166666666666666,-0.004166666666666673,16
170,-0.14375,0.14287171304666604,-0.3333333333333333,-0.15833333333333333,0.15416666666666667,16
171,-0.1875,0.09363418772601763,-0.375,-0.19166666666666665,-0.06666666666666667,16
172,-0.16979166666666667,0.16053499423801654,-0.4166666666666667,-0.18333333333333335,0.16041666666666665,16
173,-0.14791666666666667,0.09787233038788622,-0.30833333333333335,-0.13333333333333333,0.004166666666666666,16
174,-0.046875,0.11398994077207963,-0.2,-0.04166666666666667,0.15416666666666667,16
175,-0.19166666666666665,0.09013878188659974,-0.35833333333333334,-0.2,-0.020833333333333332,16
176,-0.11458333333333333,0.1340961253479508,-0.3145833333333333,-0.13333333333333333,0.14166666666666666,16
177,-0.15729166666666666,0.12665141766763696,-0.4,-0.125,-0.0020833333333333363,16
178,-0.11354166666666665,0.11505112842896317,-0.29791666666666666,-0.14166666666666666,0.1375,16
179,-0.19166666666666665,0.13718398027628606,-0.4,-0.15,-0.016666666666666666,16
180,-0.13229166666666664,0.08749379938347376,-0.2833333333333333,-0.14166666666666666,0.0375,16
181,-0.11875,0.12400646824527609,-0.3145833333333333,-0.13333333333333333,0.08333333333333333,16
182,-0.171875,0.16369419638629695,-0.43333333333333335,-0.20833333333333334,0.15833333333333333,16
183,-0.175,0.1159202311936963,-0.3854166666666667,-0.175,-0.02291666666666667,16
184,-0.190625,0.0918499587945229,-0.33125,-0.20833333333333334,-0.014583333333333334,16
185,-0.12395833333333334,0.09147114564774572,-0.29791666666666666,-0.13333333333333333,0.004166666666666666,16
186,-0.15729166666666666,0.09609904287591353,-0.2708333333333333,-0.19166666666666665,0.05833333333333332,16
187,-0.16354166666666667,0.1716159664208303,-0.375,-0.20833333333333331,0.15,16
188,-0.07291666666666666,0.08204736944798006,-0.22083333333333333,-0.058333333333333334,0.043750000000000004,16
189,-0.17395833333333333,0.14941654466438595,-0.43333333333333335,-0.16666666666666666,0.12916666666666668,16
190,-0.17291666666666666,0.08309862781324638,-0.2875,-0.15833333333333333,-0.03958333333333333,16
191,-0.10625,0.13448396744593757,-0.30416666666666664,-0.14166666666666666,0.09375,16
192,-0.051041666666666666,0.11280341029862528,-0.23125,-0.06666666666666667,0.1375,16
193,-0.146875,0.08604317997054993,-0.29791666666666666,-0.11666666666666667,-0.018750000000000003,16
194,-0.16458333333333333,0.14552049779250267,-0.3875,-0.14166666666666666,0.07083333333333333,16
195,-0.13229166666666667,0.13711673225353968,-0.41458333333333336,-0.125,0.075,16
196,-0.17604166666666665,0.14624569675530438,-0.4104166666666667,-0.16666666666666666,0.08958333333333333,16
197,-0.16145833333333331,0.10987978753316432,-0.375,-0.15,0.012499999999999997,16
198,-0.1375,0.13572081229085275,-0.3104166666666667,-0.18333333333333335,0.08125,16
199,-0.18854166666666666,0.13472177477016187,-0.42708333333333337,-0.175,0.033333333333333326,16
200,-0.12812500000000002,0.14394235318927737,-0.36458333333333337,-0.14166666666666666,0.175,16
201,-0.19270833333333334,0.09609904287591353,-0.375,-0.2,-0.04583333333333334,16
202,-0.14166666666666666,0.14018836534383936,-0.375,-0.125,0.06875,16
203,-0.10625000000000001,0.12188835396925063,-0.33333333333333337,-0.10833333333333334,0.09791666666666667,16
204,-0.16875,0.07380412326632646,-0.27708333333333335,-0.175,-0.035416666666666666,16
205,-0.16979166666666667,0.16585413918896058,-0.4104166666666667,-0.15,0.043750000000000004,16
206,-0.15625,0.1213172780128389,-0.32916666666666666,-0.175,0.11458333333333333,16
207,-0.13229166666666667,0.12282394101359519,-0.35625,-0.10833333333333334,0.05,16
208,-0.16875,0.13081939947033,-0.35416666666666663,-0.15833333333333333,0.07708333333333334,16
209,-0.1875,0.10248644896874036,-0.38958333333333334,-0.175,-0.03333333333333333,16
210,-0.159375,0.09717694878416382,-0.3416666666666667,-0.15833333333333333,-0.008333333333333335,16
211,-0.15625,0.10571762046971062,-0.32708333333333334,-0.15,0.004166666666666666,16
212,-0.16041666666666665,0.0978723303878862,-0.33749999999999997,-0.16666666666666666,0.03333333333333333,16
213,-0.15625,0.10015179451434929,-0.32499999999999996,-0.16666666666666666,0.018750000000000003,16
