time_index,sample_mean,sample_std,q025,q500,q975,num_finite_samples
0,0.16999999999999998,0.014560219778561038,0.14609999999999998,0.16999999999999998,0.1906,8
1,0.1825,0.044087980221371,0.12279999999999999,0.184,0.2615,8
2,0.1815,0.029253204952620144,0.1421,0.178,0.2337,8
3,0.196,0.04454211490264018,0.1607,0.184,0.2891,8
4,0.1775,0.024243555844801312,0.1414,0.176,0.2132,8
5,0.1785,0.04732599708405518,0.1009,0.178,0.23929999999999998,8
6,0.1615,0.0540717116429654,0.08560000000000001,0.156,0.2509,8
7,0.1925,0.02517439175034821,0.1527,0.196,0.2252,8
8,0.1905,0.04009675797368162,0.12510000000000002,0.19,0.2589,8
9,0.158,0.029051678092667902,0.1108,0.16,0.19790000000000002,8
10,0.197,0.02636285265292813,0.1607,0.198,0.2372,8
11,0.15650000000000003,0.035351803348627066,0.1042,0.156,0.2132,8
12,0.1765,0.0282444684849972,0.1388,0.16999999999999998,0.2212,8
13,0.16549999999999998,0.054696892050645804,0.0988,0.16,0.26270000000000004,8
14,0.16549999999999998,0.04715665382530869,0.1047,0.16199999999999998,0.24550000000000002,8
15,0.1925,0.037546637665708496,0.148,0.192,0.2492,8
16,0.1765,0.03029438891940222,0.14609999999999998,0.166,0.23820000000000002,8
17,0.1965,0.038337318633415135,0.156,0.196,0.2707,8
18,0.17049999999999998,0.0645271260788825,0.08960000000000001,0.166,0.2787,8
19,0.1865,0.04595378112843382,0.1162,0.194,0.2525,8
20,0.2165,0.04797655677515844,0.1298,0.224,0.2786,8
21,0.1965,0.03165043443619692,0.1607,0.188,0.24259999999999998,8
22,0.191,0.035142566781611165,0.144,0.202,0.232,8
23,0.1755,0.04379212257929502,0.10679999999999999,0.176,0.2306,8
24,0.157,0.03713488925525428,0.1094,0.16,0.21580000000000002,8
25,0.16749999999999998,0.05312014683714645,0.0802,0.174,0.245,8
26,0.22349999999999998,0.040617114619332574,0.17479999999999998,0.21,0.2937,8
27,0.183,0.044530888156424635,0.1103,0.196,0.24380000000000002,8
28,0.185,0.038561638969317684,0.1136,0.202,0.2233,8
29,0.169,0.046162755550335166,0.1087,0.16799999999999998,0.2431,8
30,0.189,0.046508063816933946,0.1171,0.188,0.26430000000000003,8
31,0.16399999999999998,0.04436214602563767,0.1047,0.174,0.2349,8
32,0.16299999999999998,0.032848135411313685,0.1134,0.16999999999999998,0.204,8
33,0.1995,0.04645158770160606,0.1239,0.19,0.2749,8
34,0.201,0.04325505750776434,0.1395,0.202,0.25930000000000003,8
35,0.184,0.04565084884205331,0.1188,0.186,0.25370000000000004,8
36,0.20650000000000002,0.04824676154935169,0.131,0.21,0.27530000000000004,8
37,0.179,0.052297227459971535,0.0839,0.19,0.25610000000000005,8
38,0.20500000000000002,0.05774945887192364,0.1381,0.192,0.305,8
39,0.1705,0.05086993218002163,0.0983,0.172,0.2556,8
40,0.1735,0.04832959755677674,0.11410000000000001,0.172,0.2306,8
41,0.187,0.03345145736735546,0.1494,0.172,0.2386,8
42,0.191,0.03845776904605881,0.132,0.198,0.23929999999999998,8
43,0.1975,0.0359409237499539,0.1487,0.202,0.2525,8
44,0.1925,0.04244702580864765,0.14070000000000002,0.18,0.2532,8
45,0.202,0.030983866769659342,0.16870000000000002,0.196,0.26030000000000003,8
46,0.1725,0.031268994227509145,0.1221,0.178,0.2184,8
47,0.1725,0.046062457598352265,0.11410000000000001,0.16999999999999998,0.2511,8
48,0.1895,0.04223446459942402,0.128,0.202,0.2497,8
49,0.2025,0.035323504922360124,0.14300000000000002,0.208,0.2589,8
