time_index,sample_mean,sample_std,q025,q500,q975,num_finite_samples
0,-0.12499999999999999,0.05179768334587948,-0.2163,-0.122,-0.061399999999999996,8
1,-0.177,0.02628687885618983,-0.2158,-0.184,-0.1381,8
2,-0.20700000000000002,0.03576310948449534,-0.2697,-0.204,-0.15689999999999998,8
3,-0.1895,0.045163591531232325,-0.23529999999999998,-0.20400000000000001,-0.1167,8
4,-0.15799999999999997,0.06161168720299746,-0.2233,-0.174,-0.04199999999999999,8
5,-0.173,0.026057628441590767,-0.1993,-0.18,-0.1268,8
6,-0.1905,0.04551648053178101,-0.2624,-0.182,-0.12819999999999998,8
7,-0.191,0.04439594576084623,-0.2518,-0.182,-0.11519999999999998,8
8,-0.1835,0.027381563140186135,-0.216,-0.192,-0.1421,8
9,-0.1915,0.027888169534768685,-0.2273,-0.192,-0.1527,8
10,-0.186,0.04476605857119878,-0.2419,-0.184,-0.10579999999999999,8
11,-0.1745,0.04462902642899573,-0.2365,-0.178,-0.0983,8
12,-0.15600000000000003,0.04935585071701226,-0.2172,-0.16,-0.0802,8
13,-0.186,0.029664793948382655,-0.2339,-0.182,-0.1454,8
14,-0.21300000000000002,0.03902563260217572,-0.25930000000000003,-0.22,-0.1404,8
15,-0.1925,0.025253712598348785,-0.228,-0.188,-0.1574,8
16,-0.192,0.0434971263418631,-0.2676,-0.19,-0.1303,8
17,-0.18,0.06545227268781428,-0.2681,-0.192,-0.05609999999999998,8
18,-0.1945,0.05614044887601096,-0.298,-0.184,-0.1202,8
19,-0.194,0.041085277168348276,-0.2452,-0.196,-0.1414,8
20,-0.16399999999999998,0.019798989873223337,-0.19790000000000002,-0.158,-0.144,8
21,-0.20850000000000002,0.01943579172557681,-0.2306,-0.212,-0.1703,8
22,-0.194,0.04280186911806539,-0.25980000000000003,-0.194,-0.1355,8
23,-0.1815,0.037996710383926664,-0.22920000000000001,-0.196,-0.1188,8
24,-0.188,0.017088007490635056,-0.208,-0.188,-0.16140000000000002,8
25,-0.2015,0.04979708826829135,-0.2513,-0.222,-0.11950000000000001,8
26,-0.176,0.054405882034941774,-0.2419,-0.182,-0.0773,8
27,-0.184,0.028774989139876316,-0.2252,-0.182,-0.1428,8
28,-0.201,0.04676537180435969,-0.2626,-0.2,-0.1263,8
29,-0.2025,0.04103352288068867,-0.2624,-0.20600000000000002,-0.14609999999999998,8
30,-0.2025,0.054071711642965405,-0.297,-0.172,-0.152,8
31,-0.179,0.052678268764263694,-0.2405,-0.202,-0.1035,8
32,-0.16599999999999998,0.038470768123342686,-0.2125,-0.16999999999999998,-0.08999999999999998,8
33,-0.187,0.021702534414210703,-0.2212,-0.182,-0.1574,8
34,-0.164,0.037947331922020544,-0.2153,-0.16399999999999998,-0.103,8
35,-0.15650000000000003,0.028031232580819555,-0.19979999999999998,-0.156,-0.107,8
36,-0.2125,0.01901972660161023,-0.23929999999999998,-0.212,-0.1828,8
37,-0.19,0.047116875957558986,-0.2532,-0.194,-0.1157,8
38,-0.1875,0.04066632513517787,-0.2473,-0.188,-0.12940000000000002,8
39,-0.181,0.041653331199317065,-0.2582,-0.172,-0.12819999999999998,8
40,-0.1895,0.04039492542386977,-0.253,-0.188,-0.1289,8
41,-0.1905,0.06225552184344775,-0.2909,-0.18,-0.10039999999999999,8
42,-0.2285,0.02774436879801017,-0.2666,-0.226,-0.1894,8
43,-0.201,0.0447548880012005,-0.2652,-0.198,-0.1251,8
44,-0.1755,0.04415597354832073,-0.2601,-0.168,-0.11950000000000001,8
45,-0.173,0.05002999100539595,-0.2575,-0.16399999999999998,-0.103,8
46,-0.1805,0.04614921451119184,-0.24760000000000001,-0.186,-0.10109999999999998,8
47,-0.1735,0.059931210566782314,-0.2464,-0.194,-0.0722,8
48,-0.19,0.0357211421989835,-0.2485,-0.182,-0.1428,8
49,-0.1645,0.04163832369344376,-0.2375,-0.166,-0.1049,8
