unit_index,sample_mean,sample_std,q025,q500,q975,num_finite_samples
0,0.195,0.2403643068344383,-0.219,0.24000000000000002,0.466,8
1,0.16000000000000003,0.17888543819998318,-0.191,0.22000000000000003,0.32,8
2,0.25,0.176351920885484,-0.07099999999999998,0.26,0.49900000000000005,8
3,0.05,0.16941074346097418,-0.179,0.02,0.35800000000000004,8
4,0.185,0.14274102423620197,-0.019,0.18,0.445,8
5,0.26,0.1876166303929372,-0.07799999999999999,0.33999999999999997,0.44,8
6,0.21500000000000002,0.12479983974348685,-0.0049999999999999975,0.2,0.36,8
7,0.22,0.17435595774162696,0.047,0.16,0.539,8
8,0.23500000000000001,0.1880824287380403,-0.052,0.26,0.466,8
9,0.225,0.10943034314119644,0.047,0.24,0.36,8
10,0.195,0.18808242873804026,-0.125,0.24,0.426,8
11,0.215,0.12318684994754919,0.021,0.24,0.353,8
12,0.15000000000000002,0.11445523142259598,-0.026,0.16,0.313,8
13,0.17,0.20371548787463362,-0.09899999999999999,0.1,0.473,8
14,0.165,0.12874393189583733,-0.08499999999999999,0.18,0.313,8
15,0.23500000000000004,0.12399596767637244,-0.0049999999999999975,0.28,0.386,8
16,0.19999999999999998,0.1833030277982336,-0.09899999999999999,0.22,0.459,8
17,0.275,0.10851267207105353,0.127,0.26,0.433,8
18,0.185,0.11478240283248997,0.0,0.2,0.313,8
19,0.19,0.2833725463060951,-0.24,0.26,0.539,8
20,0.20500000000000002,0.13181426326464069,0.014000000000000002,0.22000000000000003,0.41200000000000003,8
21,0.25,0.09746794344808964,0.061,0.28,0.353,8
22,0.29000000000000004,0.1452583904633395,0.08,0.32,0.473,8
23,0.075,0.15419143945109273,-0.08,0.06,0.339,8
24,0.19,0.09327379053088815,0.047,0.22,0.313,8
25,0.16999999999999998,0.15459624833740307,-0.052,0.12,0.445,8
26,0.23500000000000004,0.11390785749894518,0.054,0.22,0.393,8
27,0.14,0.15874507866387544,-0.125,0.14,0.32,8
28,0.155,0.1434398828778105,-0.059,0.14,0.386,8
29,0.25,0.15198684153570663,-0.011999999999999997,0.28,0.433,8
30,0.195,0.12399596767637246,-0.026,0.22,0.34600000000000003,8
31,0.145,0.14823967080373593,-0.073,0.18,0.32,8
32,0.13,0.15716233645501712,0.0,0.1,0.4570000000000001,8
33,0.21000000000000002,0.12609520212918493,-0.011999999999999997,0.22,0.386,8
34,0.275,0.13919410907075053,0.08,0.33999999999999997,0.459,8
35,0.28,0.2039607805437114,-0.066,0.32,0.52,8
36,0.19000000000000003,0.2188606862823929,-0.165,0.22,0.433,8
37,0.185,0.19993749023132204,-0.08499999999999999,0.14,0.551,8
38,0.185,0.1370218960604472,-0.019,0.16,0.393,8
39,0.065,0.13847382424126228,-0.11299999999999999,0.06,0.31800000000000006,8
40,0.16,0.161245154965971,-0.066,0.16,0.386,8
41,0.16,0.1673320053068151,-0.066,0.16,0.393,8
42,0.18000000000000002,0.18110770276274832,-0.125,0.2,0.445,8
43,0.16,0.1442220510185596,-0.059,0.16,0.386,8
44,0.125,0.16424067705656845,-0.139,0.14,0.353,8
45,0.16999999999999998,0.16822603841260722,-0.04,0.12,0.393,8
46,0.07,0.16583123951776998,-0.2,0.12,0.266,8
47,0.29500000000000004,0.08703447592764606,0.134,0.32,0.393,8
48,0.2,0.1442220510185596,-0.052,0.24000000000000002,0.386,8
49,0.20500000000000002,0.12874393189583733,0.007000000000000001,0.2,0.36,8
50,0.13,0.13228756555322954,-0.125,0.14,0.273,8
51,0.315,0.1678541033159452,0.021,0.33999999999999997,0.513,8
52,0.09000000000000001,0.11445523142259598,-0.04,0.1,0.266,8
53,0.255,0.1776935564391686,0.04,0.28,0.513,8
54,0.17,0.09746794344808964,0.014000000000000002,0.18,0.313,8
55,0.23500000000000001,0.1880824287380403,-0.092,0.28,0.473,8
56,0.19,0.1053565375285274,0.014000000000000002,0.22,0.313,8
57,0.26,0.16852299546352717,0.021,0.24000000000000002,0.539,8
58,0.20500000000000002,0.2344674817538671,-0.106,0.22,0.506,8
59,0.095,0.10943034314119646,-0.04,0.1,0.29200000000000004,8
60,0.175,0.161167614612862,-0.08,0.22,0.37900000000000006,8
61,0.2,0.14696938456699069,-0.07799999999999999,0.22000000000000003,0.353,8
62,0.23,0.15198684153570666,0.014000000000000002,0.26,0.48500000000000004,8
63,0.245,0.09260129588726067,0.127,0.24,0.41900000000000004,8
64,0.24,0.20591260281974,-0.066,0.28,0.558,8
65,0.195,0.23189437250610456,-0.283,0.28,0.41900000000000004,8
66,0.2,0.13856406460551018,-0.07099999999999998,0.22,0.353,8
67,0.195,0.09473647660748208,0.047,0.2,0.32,8
68,0.27,0.0888819441731559,0.134,0.28,0.393,8
69,0.26,0.14560219778561037,0.054,0.26,0.5180000000000001,8
70,0.10500000000000001,0.16725728683677732,-0.146,0.16,0.28,8
71,0.21500000000000002,0.08470537173048708,0.094,0.2,0.37200000000000005,8
72,0.17,0.14387494569938158,-0.092,0.2,0.32,8
