unit_index,sample_mean,sample_std,q025,q500,q975,num_finite_samples
0,0.355,0.15676415406590882,0.094,0.4,0.52,8
1,0.28500000000000003,0.11390785749894516,0.094,0.30000000000000004,0.459,8
2,0.25,0.10535653752852739,0.094,0.24,0.426,8
3,0.25,0.14106735979665885,0.021,0.26,0.48500000000000004,8
4,0.23,0.18520259177452134,-0.045,0.2,0.513,8
5,0.30500000000000005,0.10185774393731682,0.167,0.32,0.433,8
6,0.23500000000000001,0.11565033506220379,0.087,0.2,0.4,8
7,0.22000000000000003,0.16492422502470644,-0.052,0.24,0.48500000000000004,8
8,0.16000000000000003,0.0938083151964686,0.047,0.14,0.313,8
9,0.23500000000000001,0.17022044530549205,-0.019,0.22,0.506,8
10,0.36,0.12328828005937953,0.167,0.4,0.513,8
11,0.185,0.08470537173048709,0.054,0.16,0.313,8
12,0.36,0.14,0.20700000000000002,0.33999999999999997,0.6380000000000001,8
13,0.21000000000000002,0.11269427669584645,0.014000000000000002,0.24,0.32,8
14,0.22500000000000003,0.1413329402510257,-0.011999999999999997,0.22,0.433,8
15,0.255,0.15992185591719477,0.054,0.22,0.539,8
16,0.14,0.10392304845413264,-0.052,0.14,0.273,8
17,0.28,0.08485281374238571,0.167,0.26,0.426,8
18,0.29500000000000004,0.08930285549745876,0.167,0.30000000000000004,0.433,8
19,0.09,0.033166247903554,0.04,0.1,0.12,8
20,0.235,0.05809475019311125,0.167,0.2,0.32,8
21,0.295,0.1989346626407776,0.021,0.3,0.6050000000000001,8
22,0.185,0.09785192895390464,0.047,0.2,0.339,8
23,0.275,0.1713913650100261,0.047,0.26,0.5720000000000001,8
24,0.29,0.10723805294763608,0.16,0.28,0.44,8
25,0.195,0.16545392107774295,-0.125,0.26,0.353,8
26,0.175,0.10758717395675008,0.021,0.16,0.37200000000000005,8
27,0.19,0.06855654600401044,0.094,0.16,0.306,8
28,0.44,0.11489125293076058,0.29400000000000004,0.42000000000000004,0.652,8
29,0.33,0.11958260743101397,0.167,0.30000000000000004,0.513,8
30,0.21,0.1072380529476361,0.047,0.24,0.37900000000000006,8
31,0.455,0.09151502608861564,0.327,0.44,0.593,8
32,0.175,0.11302654555457316,0.08,0.14,0.386,8
33,0.385,0.1310534242208116,0.20700000000000002,0.38,0.56,8
34,0.28,0.17088007490635063,-0.038,0.30000000000000004,0.49900000000000005,8
35,0.42,0.14966629547095764,0.148,0.44,0.6,8
36,0.27,0.11090536506409418,0.094,0.26,0.433,8
37,0.13,0.07141428428542851,0.04,0.12,0.25900000000000006,8
38,0.15500000000000003,0.12874393189583733,0.0,0.18,0.37200000000000005,8
39,0.16,0.1131370849898476,0.014000000000000002,0.12,0.37200000000000005,8
40,0.125,0.06461423991660044,0.08,0.1,0.25900000000000006,8
41,0.195,0.12874393189583733,0.0,0.24,0.32,8
42,0.27,0.15066519173319365,0.028000000000000004,0.30000000000000004,0.5180000000000001,8
43,0.39499999999999996,0.10476163419878481,0.254,0.38,0.579,8
44,0.28500000000000003,0.12874393189583733,0.068,0.28,0.473,8
45,0.2,0.09999999999999999,0.054,0.2,0.353,8
46,0.26,0.150996688705415,-0.056999999999999995,0.30000000000000004,0.393,8
47,0.185,0.14823967080373593,0.04,0.12,0.433,8
48,0.28,0.06000000000000001,0.20700000000000002,0.26,0.386,8
49,0.37,0.1717556403731767,0.068,0.4,0.553,8
50,0.060000000000000005,0.12806248474865697,-0.04,0.0,0.325,8
51,0.34500000000000003,0.07729812416870153,0.28,0.32,0.49900000000000005,8
52,0.28500000000000003,0.1922888452302941,-0.019,0.32,0.546,8
