time_index,sample_mean,sample_std,q025,q500,q975,num_finite_samples
0,-0.2235,0.03343276835680827,-0.256,-0.23399999999999999,-0.16419999999999998,8
1,-0.2625,0.028909341050947536,-0.3116,-0.26,-0.215,8
2,-0.2635,0.039871669139879246,-0.3342,-0.26,-0.216,8
3,-0.28950000000000004,0.042092160790341955,-0.336,-0.294,-0.21689999999999998,8
4,-0.2155,0.04818454108944071,-0.2982,-0.216,-0.1397,8
5,-0.2155,0.05116395215383581,-0.3034,-0.21,-0.1383,8
6,-0.1595,0.028102490992792793,-0.19390000000000002,-0.16599999999999998,-0.12,8
7,-0.2175,0.04625743183532782,-0.3046,-0.214,-0.1543,8
8,-0.26,0.043726422218150894,-0.3245,-0.264,-0.1936,8
9,-0.30900000000000005,0.04421538193886829,-0.3812,-0.29400000000000004,-0.2581,8
10,-0.2165,0.030557323181195046,-0.2631,-0.222,-0.1689,8
11,-0.304,0.04551922670696417,-0.3492,-0.32,-0.21139999999999998,8
12,-0.23399999999999999,0.027129319932501065,-0.2798,-0.226,-0.20070000000000002,8
13,-0.28650000000000003,0.05688365318788869,-0.36119999999999997,-0.28,-0.1848,8
14,-0.20950000000000002,0.03751999466950922,-0.2692,-0.192,-0.16419999999999998,8
15,-0.2575,0.04736823830374103,-0.3389,-0.254,-0.1967,8
16,-0.16,0.026153393661244043,-0.19790000000000002,-0.162,-0.1162,8
17,-0.21949999999999997,0.028526303651191826,-0.2553,-0.222,-0.17809999999999998,8
18,-0.30300000000000005,0.045243784103454476,-0.3857,-0.28600000000000003,-0.24889999999999998,8
19,-0.2455,0.03741323295306088,-0.2833,-0.258,-0.18089999999999998,8
20,-0.272,0.04142463035441595,-0.3429,-0.27,-0.2148,8
21,-0.186,0.0364417343165772,-0.2438,-0.18,-0.1362,8
22,-0.28750000000000003,0.04584484703868037,-0.37420000000000003,-0.28200000000000003,-0.2296,8
23,-0.2935,0.02904737509655562,-0.34049999999999997,-0.292,-0.2534,8
24,-0.217,0.04339354790749426,-0.28099999999999997,-0.218,-0.1392,8
25,-0.2025,0.059158684907627886,-0.28759999999999997,-0.21,-0.11099999999999999,8
26,-0.3295,0.04732599708405519,-0.4194,-0.32,-0.26890000000000003,8
27,-0.2665,0.04321747331809208,-0.3304,-0.28,-0.208,8
28,-0.2605,0.03472391107003934,-0.3281,-0.256,-0.2247,8
29,-0.306,0.04472135954999579,-0.35059999999999997,-0.326,-0.2258,8
30,-0.28250000000000003,0.04156621224023186,-0.33390000000000003,-0.28600000000000003,-0.2143,8
31,-0.262,0.033763886032268264,-0.3165,-0.258,-0.2115,8
32,-0.203,0.01977371993328518,-0.2351,-0.20400000000000001,-0.1696,8
33,-0.279,0.05985816569190874,-0.3841,-0.28200000000000003,-0.1995,8
34,-0.2725,0.04830890187118726,-0.3266,-0.28,-0.1943,8
35,-0.267,0.0857846140050767,-0.3977,-0.266,-0.1321,8
36,-0.15999999999999998,0.05087238936790762,-0.24810000000000001,-0.16,-0.08299999999999999,8
37,-0.2355,0.04096034667822039,-0.3095,-0.228,-0.1861,8
38,-0.2875,0.01617868968736343,-0.3073,-0.288,-0.2569,8
39,-0.2655,0.03831122550898104,-0.3139,-0.266,-0.19449999999999998,8
40,-0.242,0.02849561369755001,-0.28049999999999997,-0.254,-0.1981,8
41,-0.32299999999999995,0.03882009788756334,-0.3593,-0.33,-0.24459999999999998,8
42,-0.23399999999999999,0.049030602688525056,-0.2833,-0.238,-0.14009999999999997,8
43,-0.304,0.034525353003264134,-0.36970000000000003,-0.288,-0.2701,8
44,-0.2565,0.06407612659953783,-0.3372,-0.262,-0.1609,8
45,-0.303,0.04241462012089699,-0.3739,-0.298,-0.2567,8
46,-0.2455,0.0495958667632697,-0.31980000000000003,-0.25,-0.1795,8
47,-0.243,0.03887158345115362,-0.3189,-0.23399999999999999,-0.1981,8
48,-0.2265,0.037996710383926664,-0.2706,-0.238,-0.1538,8
49,-0.2585,0.04621417531450714,-0.33530000000000004,-0.23399999999999999,-0.2174,8
