category,name,estimate,true,squared_error
scalar,beta,0.2231355756718308,0.2,0.0005352548616670081
scalar,xi,0.7644313465229946,0.8,0.0012651291101672911
scalar,eta,0.09050724074401863,0.1,9.011247829202013e-05
metric,final_loss,0.49982012580054586,,
metric,field_rmse,0.4554074474107787,,
metric,interaction_fro_error,0.1517757969757676,,
metric,penalized_objective,0.537580577450512,,
metric,mple_loss_without_penalty,0.49982012580054586,,
metric,lambda_uv_ridge,0.1,,
metric,u_frobenius_norm,74.10736079569345,,
metric,v_frobenius_norm,1.7320508075688776,,
metric,effective_rank,3.0,,
latent_diagnostic,estimated_field_max_abs_entry,1.7862123293357723,,
latent_diagnostic,estimated_field_rank,3.0,3.0,
latent_diagnostic,true_field_max_abs_entry,5.073226207244923,,
latent_diagnostic,true_field_rank,3.0,,
