time_index,sample_mean,sample_std,q025,q500,q975,num_finite_samples
0,0.16449999999999998,0.028244468484997204,0.1117,0.16999999999999998,0.1946,8
1,0.22599999999999998,0.011832159566199232,0.20679999999999998,0.224,0.24259999999999998,8
2,0.19,0.037682887362833546,0.1428,0.178,0.2504,8
3,0.17099999999999999,0.028195744359743372,0.1249,0.172,0.21580000000000002,8
4,0.136,0.04171330722922842,0.057800000000000004,0.136,0.1793,8
5,0.14900000000000002,0.023216373532487802,0.1214,0.14200000000000002,0.19110000000000002,8
6,0.193,0.034161381705077445,0.122,0.202,0.2226,8
7,0.16899999999999998,0.035763109484495334,0.1089,0.172,0.2153,8
8,0.182,0.03714835124201342,0.13670000000000002,0.176,0.2445,8
9,0.2015,0.042092160790341955,0.14609999999999998,0.192,0.26990000000000003,8
10,0.203,0.04053393639902249,0.1324,0.20600000000000002,0.2553,8
11,0.228,0.032984845004941296,0.1887,0.218,0.27530000000000004,8
12,0.1845,0.0313328900677866,0.1395,0.182,0.241,8
13,0.1975,0.025685599078082644,0.151,0.20400000000000001,0.23249999999999998,8
14,0.2,0.03588871688985273,0.1522,0.188,0.25980000000000003,8
15,0.164,0.05083306010855533,0.07990000000000001,0.16999999999999998,0.24550000000000002,8
16,0.17700000000000002,0.03474190553208042,0.1287,0.174,0.22590000000000002,8
17,0.16799999999999998,0.03504283093587046,0.1221,0.156,0.2153,8
18,0.196,0.03872983346207417,0.1454,0.192,0.2513,8
19,0.16699999999999998,0.03398529093593285,0.12940000000000002,0.16,0.2278,8
20,0.1745,0.03298105516808096,0.1216,0.172,0.2205,8
21,0.213,0.025592967784139456,0.184,0.21,0.2572,8
22,0.18,0.034641016151377546,0.1388,0.174,0.24430000000000002,8
23,0.1685,0.04692280895257657,0.116,0.156,0.2346,8
24,0.199,0.039179076048319474,0.1527,0.196,0.26830000000000004,8
25,0.14600000000000002,0.054405882034941774,0.08750000000000001,0.122,0.2386,8
26,0.2015,0.04681612969906846,0.14350000000000002,0.19,0.2765,8
27,0.1385,0.023574350468252566,0.1094,0.14,0.1817,8
28,0.184,0.04547526800360829,0.0895,0.192,0.2233,8
29,0.2005,0.029559262507714908,0.1694,0.19,0.2518,8
30,0.1785,0.0293214938227915,0.1263,0.178,0.2186,8
31,0.16400000000000003,0.04431703961232068,0.1254,0.15,0.2554,8
32,0.1575,0.024652586071242096,0.12279999999999999,0.158,0.2017,8
33,0.171,0.06342712353559793,0.0632,0.178,0.2511,8
34,0.16999999999999998,0.01939071942966532,0.144,0.168,0.19790000000000002,8
35,0.1985,0.045384468709019826,0.1329,0.198,0.2685,8
36,0.181,0.03427827300200522,0.1381,0.174,0.2313,8
37,0.22450000000000003,0.04929249435766058,0.1534,0.226,0.30810000000000004,8
38,0.1775,0.04625743183532782,0.1056,0.184,0.232,8
39,0.217,0.03814446224552131,0.15689999999999998,0.218,0.2751,8
40,0.1295,0.022444375687463443,0.0995,0.12,0.1633,8
41,0.20900000000000002,0.02463736998950984,0.17809999999999998,0.20600000000000002,0.2511,8
42,0.19799999999999998,0.04874423042781577,0.12090000000000001,0.20400000000000001,0.2586,8
43,0.1955,0.03408445393430852,0.1343,0.2,0.23929999999999998,8
44,0.113,0.04897958758503383,0.0548,0.096,0.18,8
45,0.194,0.038522720568516446,0.1447,0.194,0.248,8
46,0.172,0.03566510900025401,0.1167,0.174,0.2186,8
47,0.16,0.024979991993593593,0.1247,0.168,0.1965,8
48,0.1825,0.04991743182496471,0.1002,0.198,0.23929999999999998,8
49,0.1855,0.04098475326264634,0.1124,0.196,0.2417,8
